tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,tf,period,std,depth,direction,variant,total_n
742.0,0.001171309345010219,0.03544392600715115,-0.06829878562900603,0.07064140431902648,319.0,0.023759459918023307,0.054480544083755106,-0.0830224064861367,0.1305413263221833,EUR_USD,H4,10,1.5,0.0,long,A,1061
728.0,-0.08347824395540719,0.055528007421286156,-0.19231313850112805,0.025356650590313667,313.0,-0.13740536429188696,0.06846807343835463,-0.27160278823106204,-0.00320794035271188,EUR_USD,H4,10,1.5,0.0,long,B,1041
506.0,0.0007754138711874381,0.04275287093948513,-0.0830202131702034,0.08457104091257829,218.0,0.04944407024977561,0.06584243895648688,-0.07960711010493866,0.1784952506044899,EUR_USD,H4,10,1.5,0.0,long,C,724
506.0,-0.07476766797431285,0.04348990414985136,-0.16000788010802153,0.010472544159395816,218.0,-0.05196300921829425,0.06396079746575924,-0.17732617225118236,0.07340015381459386,EUR_USD,H4,10,1.5,0.0,long,D,724
525.0,0.05095790549973875,0.04194073738946139,-0.031245939783605584,0.13316175078308307,226.0,0.010118210988404326,0.06549261049948019,-0.11824730559057683,0.13848372756738547,EUR_USD,H4,10,1.5,0.1,long,A,751
505.0,-0.09391600977787161,0.07507552829158841,-0.2410640452293849,0.05323202567364167,217.0,-0.031850500554890894,0.09993600108933061,-0.22772506268997889,0.1640240615801971,EUR_USD,H4,10,1.5,0.1,long,B,722
270.0,-0.007058536444279836,0.058034698333781755,-0.12080654517849208,0.1066894722899324,116.0,0.016295378946026,0.09134809450337457,-0.16274688628058814,0.19533764417264016,EUR_USD,H4,10,1.5,0.1,long,C,386
270.0,-0.12723266967129584,0.05730407031998251,-0.23954864749846155,-0.014916691844130123,116.0,0.15308288477609486,0.08847527107108154,-0.02032864652322494,0.32649441607541463,EUR_USD,H4,10,1.5,0.1,long,D,386
216.0,0.1344754014014794,0.06480162610650368,0.007464214232732191,0.2614865885702266,93.0,0.09299796643049943,0.10129386352040377,-0.10553800606949196,0.29153393893049084,EUR_USD,H4,10,1.5,0.25,long,A,309
189.0,-0.015601400213394146,0.17130956260557229,-0.3513681429203158,0.32016534249352757,82.0,-0.33938470052168285,0.15264224694554276,-0.6385635045349467,-0.04020589650841905,EUR_USD,H4,10,1.5,0.25,long,B,271
71.0,-0.009437408415660598,0.11414230252788732,-0.23315632137031975,0.21428150453899855,31.0,0.03429164348961888,0.17765027712311568,-0.31390289967168783,0.3824861866509256,EUR_USD,H4,10,1.5,0.25,long,C,102
71.0,-0.1535906574084239,0.11054937019522768,-0.3702674229910701,0.06308610817422233,31.0,0.10780267317000315,0.16446683298461304,-0.21455231947983838,0.43015766581984466,EUR_USD,H4,10,1.5,0.25,long,D,102
,,,,,,,,,,EUR_USD,H4,10,1.5,0.5,long,A,0
,,,,,,,,,,EUR_USD,H4,10,1.5,0.5,long,B,0
,,,,,,,,,,EUR_USD,H4,10,1.5,0.5,long,C,0
,,,,,,,,,,EUR_USD,H4,10,1.5,0.5,long,D,0
,,,,,,,,,,EUR_USD,H4,10,1.5,0.75,long,A,0
,,,,,,,,,,EUR_USD,H4,10,1.5,0.75,long,B,0
,,,,,,,,,,EUR_USD,H4,10,1.5,0.75,long,C,0
,,,,,,,,,,EUR_USD,H4,10,1.5,0.75,long,D,0
748.0,0.04095607495915255,0.03534933145780756,-0.02832861469815027,0.11024076461645538,321.0,-0.002524941400818131,0.0541017361869584,-0.10856434432725659,0.10351446152562033,EUR_USD,H4,10,1.5,0.0,short,A,1069
725.0,-0.032842695473146444,0.05339914589027134,-0.13750502141807824,0.07181963047178537,312.0,-0.06048710551007565,0.08054122482534146,-0.2183479061677449,0.0973736951475936,EUR_USD,H4,10,1.5,0.0,short,B,1037
494.0,0.0953321133584058,0.04354119134075247,0.009991378330530959,0.18067284838628064,213.0,0.03189953244782898,0.06659193227431771,-0.09862065480983373,0.16241971970549168,EUR_USD,H4,10,1.5,0.0,short,C,707
494.0,0.007336580197353023,0.0461573942414808,-0.08313191251594934,0.09780507291065538,213.0,0.023971893856036045,0.07129121359318934,-0.11575888478661506,0.16370267249868714,EUR_USD,H4,10,1.5,0.0,short,D,707
539.0,0.03649811644094829,0.0415100812950754,-0.044861642897399495,0.11785787577929607,231.0,-0.06763644432827107,0.06408225428477053,-0.19323766272642132,0.05796477406987918,EUR_USD,H4,10,1.5,0.1,short,A,770
512.0,-0.03322800965715672,0.08644986926949547,-0.20266975342536783,0.1362137341110544,220.0,-0.24697989880534485,0.10350186405977396,-0.44984355236250184,-0.044116245248187885,EUR_USD,H4,10,1.5,0.1,short,B,732
