tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,std,depth,direction,variant,total_n
224,0.11181645275877414,0.06634201444680454,-0.01821389555696276,0.24184680107451104,97,0.21649484536082475,0.09964154410582803,0.021197418913401822,0.4117922718082477,AUD_USD,50,2.0,0.0,short,A,321
221,0.12269141324801984,0.06507327857158939,-0.004852212752295346,0.250235039248335,96,0.21978901188451846,0.0938834953321519,0.03577736103350074,0.40380066273553616,AUD_CAD,20,1.5,0.25,short,A,317
334,0.1283109225246403,0.0533705194088524,0.023704704483289596,0.232917140565991,144,0.13219595841977,0.07789803176201585,-0.02048418383378106,0.28487610067332103,AUD_CAD,20,2.0,0.0,short,A,478
154,0.15340767230828492,0.07779831096020441,0.0009229828262842799,0.30589236179028556,66,0.23073281620834205,0.11079745655886415,0.013569801352968314,0.4478958310637158,AUD_CAD,50,1.5,0.25,short,A,220
207,0.13308798097929794,0.06647875213804903,0.002789626788721855,0.26338633516987403,89,0.2273813965200566,0.09467485033991797,0.04181868985381737,0.4129441031862958,EUR_CAD,50,2.0,0.0,long,A,296
364,0.07286915161910973,0.05160552431968007,-0.0282776760474632,0.17401597928568266,157,0.1561688341165515,0.07653929222015715,0.0061518213650434694,0.3061858468680595,EUR_NZD,30,1.5,0.1,long,A,521
739,0.07379112715262079,0.03594309757214245,0.0033426559112215842,0.14423959839402,318,0.15672470168606983,0.052952533342848274,0.052937736334087215,0.26051166703805245,CAD_CHF,10,1.5,0.0,short,A,1057
585,0.08627516525205649,0.04039338761450161,0.007104125527633329,0.16544620497647966,251,0.10617565667014052,0.05968905858346643,-0.010814898153453684,0.22316621149373472,CAD_CHF,10,1.5,0.0,short,C,836
499,0.05845422360647551,0.043730008626127734,-0.02725659330073485,0.14416504051368587,214,0.24526464812487866,0.06387140455289422,0.12007669520120598,0.3704526010485514,CAD_CHF,10,1.5,0.1,short,A,713
531,0.09882676632751679,0.04228747616047622,0.015943313052983396,0.1817102196020502,228,0.20504495139582618,0.06254158181592895,0.08246345103660545,0.3276264517550469,CAD_CHF,20,1.5,0.0,short,A,759
371,0.10808380798629709,0.05074489710144694,0.008623809667461096,0.20754380630513308,160,0.16276896594775467,0.07486972350439007,0.01602430787915013,0.3095136240163592,CAD_CHF,20,1.5,0.0,short,C,531
435,0.09279630939907571,0.04685625077976851,0.0009580578707294313,0.18463456092742198,187,0.23478866446826988,0.06891614919622156,0.09971301204367561,0.36986431689286414,CAD_CHF,30,1.5,0.0,short,A,622
238,0.12613389852969642,0.06290607513849349,0.002837991258249184,0.24942980580114366,103,0.1988057438181071,0.0966587123214787,0.009354667668008854,0.3882568199682053,USD_JPY,50,1.5,0.1,long,A,341
207,0.15080927859349008,0.06697968382189756,0.019529098302570852,0.2820894588844093,89,0.1848269659515717,0.10427641779116846,-0.01955481291911848,0.38920874482226187,USD_JPY,50,2.0,0.0,long,A,296
121,0.18870264510720064,0.08688219845870239,0.018413536128143948,0.35899175408625733,53,0.3156168093387602,0.1309366635945365,0.05898094869346865,0.5722526699840518,USD_JPY,50,2.0,0.0,long,C,174
346,0.06983534124245731,0.051125954559361385,-0.030371529693890995,0.1700422121788056,149,0.17756354716942957,0.06758871268899729,0.04508967029899488,0.31003742403986423,EUR_GBP,50,1.5,0.0,long,A,495
146,0.16364221626478534,0.08131174107002538,0.004271203767535592,0.3230132287620351,63,0.17012105029178765,0.11903333925437681,-0.0631842946467909,0.40342639523036616,GBP_AUD,30,2.0,0.1,long,A,209
545,0.05975807570466004,0.04241139598983047,-0.02336826043540769,0.14288441184472778,234,0.21244057134027747,0.06060402730967389,0.09365667781331664,0.3312244648672383,GBP_NZD,20,1.5,0.0,long,A,779
189,0.09796440467236518,0.0722188806284904,-0.04358460135947599,0.23951341070420634,82,0.10012745062764339,0.10254163971223447,-0.10085416320833618,0.30110906446362296,GBP_NZD,30,2.0,0.0,long,C,271
155,0.13267325337499222,0.07917968535877076,-0.022518929928198456,0.2878654366781829,67,0.30830663546774895,0.11202593995361985,0.08873579315865404,0.5278774777768438,GBP_NZD,50,1.5,0.25,long,A,222
120,0.16303628560936503,0.08942304837172549,-0.012232889199216918,0.33830546041794696,52,0.20745906115012508,0.13026806213494913,-0.047866340634375226,0.4627844629346254,GBP_NZD,50,2.0,0.1,long,A,172
102,0.15259170856003731,0.09703649250589673,-0.03759981675152027,0.34278323387159493,44,0.2296933468383409,0.14138199639183396,-0.04741536608965366,0.5068020597663354,GBP_NZD,50,2.5,0.0,long,A,146
143,0.20312202731546006,0.07780194371412748,0.05063021763577019,0.3556138369951499,62,0.2878338265815871,0.1223109583008741,0.04810434831187391,0.5275633048513003,CHF_JPY,50,1.5,0.25,long,A,205
206,0.17587017316438985,0.06560716611159619,0.04728012758566133,0.30446021874311835,89,0.23358057194427437,0.10195363193279666,0.033751453355992916,0.43340969053255585,CHF_JPY,50,2.0,0.0,long,A,295
345,0.004141197321521046,0.053182796110043264,-0.10009708305416375,0.10837947769720584,149,0.10305996990198762,0.08100173659523827,-0.05570343382467938,0.2618233736286546,USD_CZK,30,1.5,0.1,short,A,494
422,0.01175266726302635,0.04841900329676048,-0.08314857919862419,0.10665391372467688,181,0.08233490217057018,0.07382409366251569,-0.06236032140796055,0.22703012574910092,NZD_CHF,20,1.5,0.1,short,A,603
375,0.016901651680777927,0.05121315248331135,-0.08347612718651232,0.11727943054806816,162,0.14118117657634166,0.07725259196044051,-0.010233903666121758,0.2925962568188051,NZD_CHF,30,1.5,0.1,short,A,537
250,0.055575713972161225,0.06260098204998152,-0.06712221084580255,0.178273638790125,108,0.08584673500070407,0.09555021334914704,-0.10143168316362412,0.2731251531650323,NZD_CHF,50,1.5,0.0,short,C,358
196,0.10463874143004491,0.07100477422234522,-0.03453061604575171,0.24380809890584154,85,0.20820562552247374,0.10612001354733823,0.0002103989696908004,0.4162008520752567,USD_NOK,10,1.5,0.25,long,A,281
368,0.0588064670481161,0.051824208805814495,-0.0427689822112803,0.1603819163075125,159,0.1364621268516369,0.07858174707675698,-0.01755809741880679,0.29048235112208054,USD_NOK,10,2.0,0.0,long,A,527
308,0.0641920010063097,0.05660934076509948,-0.04676230689328527,0.17514630890590466,133,0.16134245641263542,0.08566381228556762,-0.006558615667077106,0.32924352849234795,USD_NOK,10,2.0,0.0,long,C,441
142,0.14084507042253527,0.08337570551713454,-0.022571312391048426,0.304261453236119,61,0.2459016393442623,0.12513541889807514,0.0006362183040350133,0.49116706038448954,USD_NOK,20,2.0,0.1,long,A,203
