pair,tf,period,threshold,recovery,direction,n,w,l,t,wr_decisive,ci_low,ci_high
EUR_USD,H4,14,100,1,long,1162,535,525,102,0.5047169811320755,0.4746178599021606,0.5348161023619904
EUR_USD,H4,14,100,2,long,964,438,441,85,0.49829351535836175,0.4652391282643434,0.5313479024523801
EUR_USD,H4,14,100,3,long,709,327,325,57,0.5015337423312883,0.46315416084876243,0.5399133238138142
EUR_USD,H4,14,100,4,long,500,229,226,45,0.5032967032967033,0.4573545933182066,0.5492388132752
EUR_USD,H4,14,150,1,long,621,289,286,46,0.5026086956521739,0.4617404267494327,0.5434769645549151
EUR_USD,H4,14,150,2,long,555,246,263,46,0.48330058939096265,0.4398870868378688,0.5267140919440565
EUR_USD,H4,14,150,3,long,451,199,220,32,0.47494033412887826,0.4271243701650187,0.5227562980927378
EUR_USD,H4,14,150,4,long,335,149,159,27,0.4837662337662338,0.4279549910285212,0.5395774765039464
EUR_USD,H4,14,200,1,long,256,127,111,18,0.5336134453781513,0.4702331898713046,0.5969937008849979
EUR_USD,H4,14,200,2,long,242,116,106,20,0.5225225225225225,0.45681599184562854,0.5882290531994165
EUR_USD,H4,14,200,3,long,221,101,103,17,0.4950980392156863,0.4264876126460325,0.5637084657853401
EUR_USD,H4,14,200,4,long,178,86,74,18,0.5375,0.4602424053086041,0.6147575946913959
EUR_USD,H4,14,250,1,long,85,38,43,4,0.4691358024691358,0.3604545664045016,0.57781703853377
EUR_USD,H4,14,250,2,long,82,39,38,5,0.5064935064935064,0.3948215601896798,0.6181654527973331
EUR_USD,H4,14,250,3,long,77,34,37,6,0.4788732394366197,0.362672506110634,0.5950739727626053
EUR_USD,H4,14,250,4,long,71,32,34,5,0.48484848484848486,0.36427422192870273,0.605422747768267
EUR_USD,H4,14,100,1,short,1092,536,467,89,0.5343968095712861,0.5035261785469238,0.5652674405956484
EUR_USD,H4,14,100,2,short,901,439,392,70,0.5282791817087846,0.49433777566193876,0.5622205877556306
EUR_USD,H4,14,100,3,short,661,318,293,50,0.5204582651391162,0.48084491011987374,0.5600716201583587
EUR_USD,H4,14,100,4,short,492,235,218,39,0.5187637969094923,0.4727518143741316,0.5647757794448529
EUR_USD,H4,14,150,1,short,577,271,248,58,0.5221579961464354,0.47918303225705966,0.5651329600358111
EUR_USD,H4,14,150,2,short,522,247,227,48,0.5210970464135021,0.4761242426285483,0.5660698501984559
EUR_USD,H4,14,150,3,short,427,195,192,40,0.5038759689922481,0.4540612661637985,0.5536906718206976
EUR_USD,H4,14,150,4,short,332,154,149,29,0.5082508250825083,0.45195896192787127,0.5645426882371453
EUR_USD,H4,14,200,1,short,266,125,121,20,0.508130081300813,0.4456558239333179,0.5706043386683083
EUR_USD,H4,14,200,2,short,255,121,112,22,0.51931330472103,0.45515928307892717,0.5834673263631328
EUR_USD,H4,14,200,3,short,223,106,97,20,0.5221674876847291,0.453452604227827,0.5908823711416311
EUR_USD,H4,14,200,4,short,185,92,77,16,0.5443786982248521,0.46929160526444863,0.6194657911852555
EUR_USD,H4,14,250,1,short,109,51,49,9,0.51,0.4120196019603921,0.6079803980396079
EUR_USD,H4,14,250,2,short,106,49,47,10,0.5104166666666666,0.4104175437683141,0.6104157895650192
EUR_USD,H4,14,250,3,short,97,45,43,9,0.5113636363636364,0.40692226929689,0.6158050034303827
EUR_USD,H4,14,250,4,short,79,38,34,7,0.5277777777777778,0.41246203956855504,0.6430935159870006
EUR_USD,H4,20,100,1,long,1043,510,440,93,0.5368421052631579,0.5051331385769914,0.5685510719493244
EUR_USD,H4,20,100,2,long,833,401,348,84,0.5353805073431241,0.49966184772951483,0.5710991669567335
EUR_USD,H4,20,100,3,long,604,297,258,49,0.5351351351351351,0.49363928425414705,0.5766309860161232
EUR_USD,H4,20,100,4,long,430,202,189,39,0.5166240409207161,0.4670907113092485,0.5661573705321837
EUR_USD,H4,20,150,1,long,526,235,248,43,0.4865424430641822,0.44196705355939647,0.5311178325689679
EUR_USD,H4,20,150,2,long,455,204,208,43,0.49514563106796117,0.4468667719715343,0.543424490164388
EUR_USD,H4,20,150,3,long,355,156,172,27,0.47560975609756095,0.4215627267339341,0.5296567854611879
EUR_USD,H4,20,150,4,long,272,117,132,23,0.46987951807228917,0.40788733260695503,0.5318717035376234
EUR_USD,H4,20,200,1,long,226,103,112,11,0.4790697674418605,0.41229290567552623,0.5458466292081947
EUR_USD,H4,20,200,2,long,207,93,98,16,0.4869109947643979,0.41602498461072496,0.5577970049180709
EUR_USD,H4,20,200,3,long,182,80,89,13,0.47337278106508873,0.39809513828845,0.5486504238417275
EUR_USD,H4,20,200,4,long,152,69,70,13,0.49640287769784175,0.41328251370950586,0.5795232416861776
EUR_USD,H4,20,250,1,long,80,36,41,3,0.4675324675324675,0.35608680706664153,0.5789781279982935
EUR_USD,H4,20,250,2,long,76,36,35,5,0.5070422535211268,0.39074918745643583,0.6233353195858177
EUR_USD,H4,20,250,3,long,73,30,38,5,0.4411764705882353,0.32315931914056084,0.5591936220359097
