tr_n,tr_w,tr_l,tr_t,tr_wr,tr_ci_low,tr_ci_high,te_n,te_w,te_l,te_t,te_wr,te_ci_low,te_ci_high,pair,tf,period,threshold,recovery,direction,total_n
813,383,354,76,0.519674355495251,0.48360354859374943,0.5557451623967525,349,152,171,26,0.47058823529411764,0.4161539986453642,0.5250224719428711,EUR_USD,H4,14,100,1,long,1162
674,305,300,69,0.5041322314049587,0.46429092630112906,0.5439735365087883,290,133,141,16,0.4854014598540146,0.4262227348751338,0.5445801848328955,EUR_USD,H4,14,100,2,long,964
496,227,223,46,0.5044444444444445,0.4582486265350466,0.5506402623538423,213,100,102,11,0.49504950495049505,0.4261003253458361,0.563998684555154,EUR_USD,H4,14,100,3,long,709
350,160,153,37,0.5111821086261981,0.4558030879029299,0.5665611293494662,150,69,73,8,0.4859154929577465,0.4037083546765564,0.5681226312389366,EUR_USD,H4,14,100,4,long,500
434,204,191,39,0.5164556962025316,0.46717325695005985,0.5657381354550034,187,85,95,7,0.4722222222222222,0.39929014566125215,0.5451542987831923,EUR_USD,H4,14,150,1,long,621
388,171,178,39,0.4899713467048711,0.4375237023138569,0.5424189910958852,167,75,85,7,0.46875,0.39142566531566536,0.5460743346843346,EUR_USD,H4,14,150,2,long,555
315,141,147,27,0.4895833333333333,0.43184881280924303,0.5473178538574236,136,58,73,5,0.44274809160305345,0.3576882529238897,0.5278079302822172,EUR_USD,H4,14,150,3,long,451
234,106,106,22,0.5,0.43269332366514235,0.5673066763348577,101,43,53,5,0.4479166666666667,0.34843996330856697,0.5473933700247664,EUR_USD,H4,14,150,4,long,335
179,92,73,14,0.5575757575757576,0.48179036602481484,0.6333611491267004,77,35,38,4,0.4794520547945205,0.36484862856667355,0.5940554810223675,EUR_USD,H4,14,200,1,long,256
169,83,70,16,0.5424836601307189,0.4635418662127144,0.6214254540487234,73,33,36,4,0.4782608695652174,0.36039429681531093,0.5961274423151238,EUR_USD,H4,14,200,2,long,242
154,75,65,14,0.5357142857142857,0.4531007275049942,0.6183278439235772,67,26,38,3,0.40625,0.2859225861516275,0.5265774138483725,EUR_USD,H4,14,200,3,long,221
124,62,47,15,0.5688073394495413,0.4758334288826219,0.6617812500164607,54,24,27,3,0.47058823529411764,0.33359841052463896,0.6075780600635963,EUR_USD,H4,14,200,4,long,178
59,26,29,4,0.4727272727272727,0.3407808227374621,0.6046737227170833,26,12,14,0,0.46153846153846156,0.26991411350270844,0.6531628095742147,EUR_USD,H4,14,250,1,long,85
57,26,26,5,0.5,0.3640984519248188,0.6359015480751812,25,13,12,0,0.52,0.32415686277022626,0.7158431372297738,EUR_USD,H4,14,250,2,long,82
53,22,26,5,0.4583333333333333,0.3173745217106679,0.5992921449559987,24,12,11,1,0.5217391304347826,0.3175882379179313,0.7258900229516339,EUR_USD,H4,14,250,3,long,77
49,22,23,4,0.4888888888888889,0.3428351903625469,0.6349425874152308,22,10,11,1,0.47619047619047616,0.26257954568917985,0.6898014066917725,EUR_USD,H4,14,250,4,long,71
764,380,323,61,0.5405405405405406,0.5037008355874928,0.5773802454935884,328,156,144,28,0.52,0.4634649560007247,0.5765350439992754,EUR_USD,H4,14,100,1,short,1092
630,306,272,52,0.5294117647058824,0.488719723183391,0.5701038062283738,271,133,120,18,0.525691699604743,0.464161016994349,0.5872223822151371,EUR_USD,H4,14,100,2,short,901
462,220,207,35,0.5152224824355972,0.4678189427800392,0.5626260220911552,199,98,86,15,0.532608695652174,0.46051594429515674,0.6047014470091912,EUR_USD,H4,14,100,3,short,661
344,161,157,26,0.5062893081761006,0.4513379848338767,0.5612406315183245,148,74,61,13,0.5481481481481482,0.46419515278120094,0.6321011435150954,EUR_USD,H4,14,100,4,short,492
403,191,172,40,0.5261707988980716,0.47480464591608224,0.577536951880061,174,80,76,18,0.5128205128205128,0.4343835148577907,0.5912575107832349,EUR_USD,H4,14,150,1,short,577
365,170,161,34,0.513595166163142,0.459749410098894,0.5674409222273901,157,77,66,14,0.5384615384615384,0.4567526419167397,0.6201704350063372,EUR_USD,H4,14,150,2,short,522
298,136,135,27,0.5018450184501845,0.44231466330344654,0.5613753735969224,129,59,57,13,0.5086206896551724,0.41764349913848897,0.5995978801718558,EUR_USD,H4,14,150,3,short,427
232,107,105,20,0.5047169811320755,0.4374132999989787,0.5720206622651723,100,47,44,9,0.5164835164835165,0.41380744348095166,0.6191595894860814,EUR_USD,H4,14,150,4,short,332
186,87,86,13,0.5028901734104047,0.4283833978826087,0.5773969489382006,80,38,35,7,0.5205479452054794,0.40594451897763245,0.6351513714333263,EUR_USD,H4,14,200,1,short,266
178,83,80,15,0.50920245398773,0.43245593177513725,0.5859489762003228,77,38,32,7,0.5428571428571428,0.4261558146727558,0.6595584710415299,EUR_USD,H4,14,200,2,short,255
156,77,68,11,0.5310344827586206,0.4498068331109518,0.6122621324062895,67,29,29,9,0.5,0.3713196957974719,0.6286803042025281,EUR_USD,H4,14,200,3,short,223
129,67,53,9,0.5583333333333333,0.46948290241668517,0.6471837642499816,56,25,24,7,0.5102040816326531,0.3702332391879001,0.6501749240774061,EUR_USD,H4,14,200,4,short,185
76,37,34,5,0.5211267605633803,0.40492602723739457,0.6373274938893659,33,14,15,4,0.4827586206896552,0.3008854149362746,0.6646318264430358,EUR_USD,H4,14,250,1,short,109
74,36,32,6,0.5294117647058824,0.41077509639553506,0.6480484330162296,32,13,15,4,0.4642857142857143,0.2795561822666026,0.649015246304826,EUR_USD,H4,14,250,2,short,106
67,34,28,5,0.5483870967741935,0.4245111430070425,0.6722630505413445,30,11,15,4,0.4230769230769231,0.23317121377589872,0.6129826323779475,EUR_USD,H4,14,250,3,short,97
