n,fires,sum_R_raw,sum_R_net,mean_R_raw,mean_R_net,spread_delta,nw_t,clustered_t,ci_low,n_A,mean_A,n_B,mean_B,n_hold,mean_hold,verdict,canary_R,edge_vs_canary,strategy,pair,direction,entry_mode,quarantined
294,294,43.39336051138888,35.878265627815225,0.14759646432445198,0.12203491710141233,0.025561547223039646,1.9471469256660938,6732555988005347.0,-0.0008055498227489688,119,0.07633189328389749,120,0.18017790620225738,55,0.0940622105956463,HOLD,0.09300998625621576,0.02902493084519657,bb,CHF_JPY,long,mid,True
221,221,44.37135724194448,37.760683847074134,0.20077537213549537,0.17086282283743953,0.02991254929805584,3.854435882263127,7085791737622424.0,0.08397821948927058,93,0.16715845520216358,89,0.2116138843653714,39,0.08670030268602201,RESTORE,-0.01547411326226097,0.1863369360997005,bb,AUD_CAD,short,mid,True
1059,1059,133.5630628455063,95.6370824901687,0.12612187237536004,0.09030885976408753,0.03581301261127251,2.5799134496564324,1.345972278329766e+16,0.021699827487759282,427,0.05557425832034777,442,0.06442667248753933,190,0.22858044709414632,RESTORE,0.06690803262407624,0.023400827140011293,bb,CAD_CHF,short,mid,True
295,295,44.11352643817959,37.721854160016015,0.149537377756541,0.1278706920678509,0.021666685688690096,2.578719180411554,4470634956283482.5,0.03068036659278746,137,0.013231109476854852,110,0.19101562976126524,48,0.3103640184989109,RESTORE,0.02857375207788825,0.09929693998996265,bb,EUR_CAD,long,mid,True
334,334,65.17753587864217,59.95780667297918,0.19514232298994663,0.17951439123646462,0.01562793175348201,2.2357719834701455,3750360497088629.0,0.022142257841463203,131,0.19682146433309397,139,0.1077983904495508,64,0.2998471652008798,RESTORE,0.1131946433238714,0.06631974791259322,bb,USD_JPY,long,mid,True
811,811,112.35233919922572,85.60363302234848,0.13853556004836712,0.1055531849844001,0.03298237506396702,1.7822960140937683,,-0.01052418989241978,341,0.11904815250902989,330,0.09971901578900556,140,0.08643527004569615,HOLD,0.08556110500203476,0.019992079982365338,cci,CHF_JPY,long,mid,True
915,915,113.19332354394336,98.30084307977691,0.12370855032124958,0.10743261538773433,0.016275934933515257,1.583503826748048,3074358612946450.5,-0.025543334908761456,336,0.1653065335592274,397,0.01291984264154815,182,0.20675093557792246,HOLD,-0.0008399883086687128,0.10827260369640304,cci,EUR_USD,short,mid,True
440,440,67.02810453128632,58.26505210376301,0.1523366012074689,0.13242057296309775,0.019916028244371137,2.6479659402424742,2852200727643800.5,0.03440408450935839,168,0.3110085674119339,183,-0.08118760560192162,89,0.2345274674574131,HOLD,0.038186415811007415,0.09423415715209034,cci,USD_CAD,long,mid,True
1120,1120,147.32867949791742,99.06506584040181,0.13154346383742627,0.08845095164321591,0.043092512194210356,2.4491107494299102,1.1153734840106682e+16,0.0176644977186403,457,0.037021648882944576,456,0.07048808064683672,207,0.24156332138134598,RESTORE,0.07751818520447862,0.010932766438737293,cci,CAD_CHF,short,mid,True
588,588,84.5855295668909,73.60328252344645,0.14385294144029065,0.125175650550079,0.01867729089021164,2.184022585899766,1.0358741117057464e+16,0.012839689987162603,235,0.14305023479606968,245,0.14297306666731505,108,0.04590811123035087,RESTORE,0.09049446243709487,0.03468118811298414,cci,USD_JPY,long,mid,True
256,256,42.24555960904355,36.06914390674713,0.16502171722282638,0.14089509338573097,0.024126623837095407,2.3434995506502716,2137381356026304.8,0.023056631262106622,93,0.12126777296878935,109,0.21583344277270886,54,0.02343325478563826,RESTORE,0.10061713758346316,0.04027795580226781,ema,CHF_JPY,long,mid,True
393,393,80.25272570319797,71.77197981110783,0.20420540891398975,0.1826259028272464,0.02157950608674336,2.770479854435698,8978673931470777.0,0.05342562404943485,175,0.0893120649025416,158,0.20315840366101903,60,0.40072234457870065,RESTORE,0.037829870797257456,0.14479603202998892,ema,EUR_CAD,long,mid,True
349,349,57.882715213436725,49.92932841898667,0.16585305218749777,0.14306397827789877,0.022789073909599,3.657420426147762,2.8107713107825936e+16,0.06639644631466118,116,0.24101151156091988,171,0.07333546856069517,62,0.15212303151679182,RESTORE,-0.009999178172215123,0.1530631564501139,ema,EUR_GBP,short,mid,True
283,283,68.98703205434089,61.62780498800329,0.24377043128742362,0.21776609536396924,0.026004335923454386,2.2921123822728435,2238281932093816.2,0.03155291043708261,110,0.14563841988775664,115,0.1760633949288134,58,0.43724635144028473,RESTORE,-0.021923200975164665,0.2396892963391339,ema,GBP_CAD,long,mid,True
562,562,80.17643894295273,61.11956705687491,0.1426627027454675,0.10875367803714396,0.033909024708323535,1.3910307244945732,1563966246718113.0,-0.044483202499949984,226,0.18192336274917842,232,0.0561856508128672,104,0.0670174623747634,HOLD,0.08413171327530153,0.024621964761842433,rsi,CHF_JPY,long,mid,True
