instrument,name,type,ftmo,oanda,listed_for_financing,financing_present,pip_size,dollar_per_pip_per_lot,median_h4_spread_r,expected_swap_per_lot_day_abs
EUR_USD,EUR/USD,forex,EURUSD.sim,EUR_USD,True,True,0.0001,10.0,0.02640136231027276,0.0272
GBP_USD,GBP/USD,forex,GBPUSD.sim,GBP_USD,True,True,0.0001,10.0,0.029523506149867484,0.0109
AUD_USD,AUD/USD,forex,AUDUSD.sim,AUD_USD,True,True,0.0001,10.0,0.03885758694385883,0.0168
USD_CAD,USD/CAD,forex,USDCAD.sim,USD_CAD,True,True,0.0001,10.0,0.028311473912453314,0.0269
USD_JPY,USD/JPY,forex,USDJPY.sim,USD_JPY,True,True,0.01,1000.0,0.024634442469771412,0.0418
XAU_USD,Gold/USD,commodity,XAUUSD.sim,XAU_USD,False,False,0.01,1.0,0.04026238189030273,nan
XAG_USD,Silver/USD,commodity,XAGUSD.sim,XAG_USD,False,False,0.001,5.0,0.18013328758170058,nan
WTICO_USD,WTI Crude Oil/USD,commodity,USOIL.sim,WTICO_USD,False,False,0.01,10.0,0.1012098323477908,nan
BCO_USD,Brent Crude Oil/USD,commodity,UKOIL.sim,BCO_USD,False,False,0.01,10.0,0.09986316969372698,nan
NATGAS_USD,Natural Gas/USD,commodity,NATGAS.sim,NATGAS_USD,False,False,0.001,10.0,0.46940486169321827,nan
XCU_USD,Copper/USD,commodity,XCUUSD.sim,XCU_USD,False,False,0.0001,2.5,0.09778803465608318,nan
