instrument,family,cell,timeframe,entry_mode,direction,n,mean_r,nw_lag,nw_se,ci_low,ci_high
BCO_USD,mr_under_limit,atr_range_exp,H4,limit,1,2388,0.012353687183814362,0,0.025486298056136385,-0.03759945700621295,0.06230683137384167
BCO_USD,mr_under_limit,atr_range_exp,H4,market,1,2388,-0.1989855614578301,0,0.024638598400291,-0.24727721432240046,-0.15069390859325976
BCO_USD,mr_under_limit,bb_p20_2,H4,limit,1,918,-0.005601931669598627,0,0.04106544468499632,-0.08609020325219142,0.07488633991299416
BCO_USD,mr_under_limit,bb_p20_2,H4,market,1,918,-0.2096941939608954,0,0.03979012932318336,-0.2876828474343348,-0.131705540487456
BCO_USD,mr_under_limit,cci20_lt-100,H4,limit,1,3065,-0.013959719203421869,0,0.022467519476909448,-0.05799605737816438,0.030076618971320645
BCO_USD,mr_under_limit,cci20_lt-100,H4,market,1,3065,-0.2266961439426732,0,0.02168053947269933,-0.2691900013091639,-0.1842022865761825
BCO_USD,mr_under_limit,ema50_dist_low,H4,limit,1,4771,-0.026060889177063708,0,0.01799564775728892,-0.06133235878134999,0.009210580427222573
BCO_USD,mr_under_limit,ema50_dist_low,H4,market,1,4771,-0.24074902151245986,0,0.01732066089966292,-0.2746975168757992,-0.20680052614912053
BCO_USD,mr_under_limit,macd_hist_low,H4,limit,1,1721,-0.055846838732703,0,0.029783453003422094,-0.1142224066194103,0.0025287291540043028
BCO_USD,mr_under_limit,macd_hist_low,H4,market,1,1721,-0.2576171667328067,0,0.02861810947394097,-0.31370866130173103,-0.20152567216388242
BCO_USD,mr_under_limit,rsi14_lt30,H4,limit,1,805,0.05911945482198356,0,0.044069069685371,-0.027255921761343595,0.14549483140531072
BCO_USD,mr_under_limit,rsi14_lt30,H4,market,1,805,-0.14879605940337748,0,0.043070829276381783,-0.23321488478508579,-0.06437723402166919
BCO_USD,mr_under_limit,sma50_dist_low,H4,limit,1,5096,-0.02705597594152501,0,0.01740141239904077,-0.061162744243644915,0.007050792360594898
BCO_USD,mr_under_limit,sma50_dist_low,H4,market,1,5096,-0.23883681452732905,0,0.016752138201182334,-0.2716710054016464,-0.20600262365301167
BCO_USD,mr_under_limit,stoch14_k20,H4,limit,1,3128,0.03618373445715039,0,0.02230968852343083,-0.007543255048774039,0.07991072396307482
BCO_USD,mr_under_limit,stoch14_k20,H4,market,1,3128,-0.19464414386821152,0,0.021612357481162997,-0.23700436453129098,-0.15228392320513207
BCO_USD,trend,donchian55,D1,limit,-1,88,-0.49216914731694106,0,0.1159564783723854,-0.7194438449268165,-0.26489444970706566
BCO_USD,trend,donchian55,D1,limit,1,171,-0.2509658838038903,0,0.0903456787722979,-0.4280434141975942,-0.0738883534101864
BCO_USD,trend,donchian55,D1,market,-1,88,-0.5775428814783615,0,0.11016566127273478,-0.7934675775729216,-0.36161818538380136
BCO_USD,trend,donchian55,D1,market,1,171,-0.4262808314198958,0,0.08475737496444581,-0.5924052863502096,-0.260156376489582
BCO_USD,trend,donchian55,H4,limit,-1,445,-0.1053761227983934,0,0.05867670956836571,-0.22038247355239018,0.009630227955603393
BCO_USD,trend,donchian55,H4,limit,1,697,-0.0915540761318287,0,0.04653333598477285,-0.18275941466198348,-0.00034873760167392076
BCO_USD,trend,donchian55,H4,market,-1,445,-0.335865989019309,0,0.055438790153212736,-0.4445260177196059,-0.22720596031901202
BCO_USD,trend,donchian55,H4,market,1,697,-0.3137979549139967,0,0.04411470929109456,-0.40026278512454205,-0.22733312470345135
BCO_USD,trend,supertrend10x3,D1,limit,-1,1483,-0.3559554462553829,0,0.029793641101788924,-0.4143509828148892,-0.2975599096958766
BCO_USD,trend,supertrend10x3,D1,limit,1,1673,-0.27494448053090936,0,0.02887990105264731,-0.3315490865940981,-0.21833987446772063
BCO_USD,trend,supertrend10x3,D1,market,-1,1483,-0.5027523797742615,0,0.027834606814187205,-0.5573082091300684,-0.4481965504184545
BCO_USD,trend,supertrend10x3,D1,market,1,1673,-0.44665549210000133,0,0.027028858066086292,-0.49963205390953047,-0.3936789302904722
BCO_USD,trend,supertrend10x3,H4,limit,-1,7714,-0.024388353143046805,0,0.014145271041926429,-0.05211308438522261,0.003336378099128994
BCO_USD,trend,supertrend10x3,H4,limit,1,8371,0.040544797443482404,0,0.013634745533529412,0.013820696197764756,0.06726889868920005
BCO_USD,trend,supertrend10x3,H4,market,-1,7714,-0.25042285725183544,0,0.013573327732268669,-0.27702657960708205,-0.22381913489658883
BCO_USD,trend,supertrend10x3,H4,market,1,8371,-0.1949468404282484,0,0.013187428678971776,-0.22079420063903307,-0.1690994802174637
BCO_USD,trend,tsmom63,D1,limit,-1,1436,-0.41092212074730555,0,0.029617262235882333,-0.46897195472963493,-0.3528722867649762
BCO_USD,trend,tsmom63,D1,limit,1,1666,-0.29269813563074515,0,0.028671088306532658,-0.34889346871154914,-0.23650280254994113
BCO_USD,trend,tsmom63,D1,market,-1,1436,-0.5485954182450369,0,0.027538987479369066,-0.6025718337046002,-0.4946190027854735
BCO_USD,trend,tsmom63,D1,market,1,1666,-0.4651383854101869,0,0.026695000352747186,-0.5174605861015714,-0.41281618471880244
BCO_USD,trend,tsmom63,H4,limit,-1,6978,-0.03449103881037681,0,0.014868598813802796,-0.06363349248543029,-0.005348585135323328
BCO_USD,trend,tsmom63,H4,limit,1,9051,0.025212734286318823,0,0.013099336160407638,-0.0004619645880801458,0.050887433160717796
BCO_USD,trend,tsmom63,H4,market,-1,6978,-0.2538975984386421,0,0.01426917571087445,-0.28186518283195605,-0.2259300140453282
BCO_USD,trend,tsmom63,H4,market,1,9051,-0.2066627767701989,0,0.012648723688075935,-0.23145427519882772,-0.18187127834157008
NATGAS_USD,mr_under_limit,atr_range_exp,H4,limit,1,2797,-0.5329881912728277,0,0.023054666363937205,-0.5781753373461447,-0.4878010451995108
NATGAS_USD,mr_under_limit,atr_range_exp,H4,market,1,2797,-0.7040123832772122,0,0.021973767147622694,-0.7470809668865527,-0.6609437996678716
