instrument,timeframe,entry_mode,direction,n,mean_r,nw_lag,nw_se,ci_low,ci_high
BCO_USD,D1,limit,-1,3165,-0.05890703303672939,0,0.01780187651042236,-0.09379871099715721,-0.024015355076301564
BCO_USD,D1,limit,1,3165,-0.036429735146761615,0,0.017797686610810562,-0.07131320090395032,-0.0015462693895729115
BCO_USD,D1,market,-1,3165,-0.2561988503823544,0,0.017424234542365337,-0.29035035008539045,-0.22204735067931836
BCO_USD,D1,market,1,3165,-0.23724150441079048,0,0.017490759631515397,-0.2715233932885607,-0.2029596155330203
BCO_USD,H4,limit,-1,16096,0.1279548273532798,1,0.00934897537290351,0.1096308356223889,0.14627881908417067
BCO_USD,H4,limit,1,16096,0.17314221209902786,1,0.009258080782699222,0.15499637376493738,0.19128805043311833
BCO_USD,H4,market,-1,16096,-0.10988849382883405,1,0.009580920061948488,-0.1286670971502531,-0.09110989050741501
BCO_USD,H4,market,1,16096,-0.0696300445246591,1,0.00959597742663784,-0.08843816028086926,-0.05082192876844893
NATGAS_USD,D1,limit,-1,3164,-0.47510098108536797,0,0.017289909249868948,-0.5089892032151111,-0.44121275895562484
NATGAS_USD,D1,limit,1,3164,-0.44592440421993335,0,0.017395245947685985,-0.48001908627739787,-0.4118297221624688
NATGAS_USD,D1,market,-1,3164,-0.6096894920715833,0,0.0165248167766113,-0.6420781329537415,-0.5773008511894251
NATGAS_USD,D1,market,1,3164,-0.5806123744988905,0,0.016688794457654768,-0.6133224116358938,-0.5479023373618871
NATGAS_USD,H4,limit,-1,16053,-0.14442312951360683,0,0.007875271530899416,-0.15985866171416968,-0.128987597313044
NATGAS_USD,H4,limit,1,16053,-0.1303926707272845,0,0.00783818359838028,-0.14575551058010985,-0.11502983087445914
NATGAS_USD,H4,market,-1,16053,-0.369200963017949,0,0.007881574623033693,-0.38464884927909504,-0.353753076756803
NATGAS_USD,H4,market,1,16053,-0.34378515288900113,0,0.007889377067755915,-0.3592483319418027,-0.32832197383619954
WTICO_USD,D1,limit,-1,3166,-0.11201170268950807,0,0.017775374143652906,-0.14685143601106776,-0.07717196936794837
WTICO_USD,D1,limit,1,3166,-0.07816940435161503,0,0.017785318368108274,-0.11302862835310724,-0.04331018035012281
WTICO_USD,D1,market,-1,3166,-0.296606324492031,0,0.017267755261844018,-0.3304511248052453,-0.2627615241788167
WTICO_USD,D1,market,1,3166,-0.2656524394636039,0,0.017379625770724938,-0.2997165059742248,-0.231588372952983
WTICO_USD,H4,limit,-1,16055,0.12475816079153289,1,0.00929893652493477,0.10653224520266075,0.14298407638040503
WTICO_USD,H4,limit,1,16055,0.1510084618077009,1,0.009236057453587158,0.13290578919867005,0.16911113441673173
WTICO_USD,H4,market,-1,16055,-0.12215993446360442,1,0.009513974200018063,-0.14080732389563982,-0.10351254503156901
WTICO_USD,H4,market,1,16055,-0.08628326053025033,1,0.009535585524538098,-0.10497300815834501,-0.06759351290215565
XAG_USD,D1,limit,-1,3166,0.00935565457978179,0,0.01771115017336307,-0.025358199760009824,0.044069508919573404
XAG_USD,D1,limit,1,3166,-0.00819830612361979,0,0.017683538942631482,-0.0428580424511775,0.026461430203937916
XAG_USD,D1,market,-1,3166,-0.21957231446443834,0,0.017686900390971733,-0.2542386392307429,-0.18490598969813374
XAG_USD,D1,market,1,3166,-0.21136005925281484,0,0.017646050478423974,-0.24594631819052581,-0.17677380031510387
XAG_USD,H4,limit,-1,16061,0.11742208567083688,2,0.010774102525126186,0.09630484472158955,0.1385393266200842
XAG_USD,H4,limit,1,16061,0.12135662038192485,2,0.010768938452266326,0.10024950101548286,0.14246373974836685
XAG_USD,H4,market,-1,16061,-0.14012057728321964,2,0.011185016308216444,-0.16204320924732388,-0.1181979453191154
XAG_USD,H4,market,1,16061,-0.12430587085149059,2,0.011157660486811053,-0.14617488540564025,-0.10243685629734092
XAU_USD,D1,limit,-1,3166,0.10324145766561307,1,0.021243454408475134,0.061604287025001814,0.14487862830622433
XAU_USD,D1,limit,1,3166,0.2800050065488276,1,0.02034943061374632,0.2401201225458848,0.31988989055177036
XAU_USD,D1,market,-1,3166,-0.146342510705384,1,0.021292393384183615,-0.1880756017383839,-0.10460941967238413
XAU_USD,D1,market,1,3166,0.05896386958520349,1,0.021413913174304727,0.016992599763566228,0.10093513940684076
XAU_USD,H4,limit,-1,16063,0.12933011893317045,6,0.01658198349096086,0.09682943129088717,0.16183080657545373
XAU_USD,H4,limit,1,16063,0.29657731102977464,6,0.015730496715462703,0.26574553746746776,0.3274090845920815
XAU_USD,H4,market,-1,16063,-0.1226428660713602,7,0.017688245471738435,-0.15731182719596754,-0.08797390494675286
XAU_USD,H4,market,1,16063,0.06257831355933535,7,0.017715841549312973,0.027855264122681925,0.09730136299598878
XCU_USD,D1,limit,-1,3164,0.06783620440457788,0,0.017660335421847907,0.03322194697775599,0.10245046183139978
XCU_USD,D1,limit,1,3164,0.12574113384375116,0,0.017502766227662937,0.0914357120375318,0.1600465556499705
XCU_USD,D1,market,-1,3164,-0.13329951481892396,0,0.017719923274064714,-0.1680305644360908,-0.09856846520175713
XCU_USD,D1,market,1,3164,-0.09726917347884813,0,0.017756079381280303,-0.13207108906615753,-0.06246725789153874
XCU_USD,H4,limit,-1,16053,0.14695635193541912,2,0.011130405630640978,0.1251407568993628,0.16877194697147543
XCU_USD,H4,limit,1,16053,0.21995892012553847,2,0.01089733423520748,0.1986001450245318,0.24131769522654514
XCU_USD,H4,market,-1,16053,-0.09549302040657004,2,0.011450238445831795,-0.11793548776040036,-0.07305055305273972
XCU_USD,H4,market,1,16053,-0.01737678045142146,2,0.01145077727043913,-0.039820303901482154,0.005066742998639233
