instrument,family,timeframe,entry_mode,n,mean_r,nw_lag,nw_se,ci_low,ci_high,matched_baseline_mean_r,raw_minus_avg_direction_baseline_r
BCO_USD,mr_under_limit,H4,limit,21904,0.15379796547904068,1,0.007603359172613399,0.13889538150071842,0.16870054945736293,0.15054851972615382,0.0032494457528868537
BCO_USD,mr_under_limit,H4,market,21904,-0.0896610820277906,1,0.007785124463855856,-0.10491992597694809,-0.07440223807863312,-0.08975926917674656,9.818714895595826e-05
BCO_USD,trend,D1,limit,6517,-0.03205946828771408,0,0.012398581899082184,-0.05636068880991516,-0.007758247765513003,-0.0476683840917455,0.015608915804031419
BCO_USD,trend,D1,market,6517,-0.23398479238335845,0,0.012192210308629083,-0.25788152458827146,-0.21008806017844545,-0.24672017739657243,0.012735385013213973
BCO_USD,trend,H4,limit,33261,0.14520333748884537,1,0.006422463356313771,0.1326153093104704,0.15779136566722035,0.15054851972615382,-0.0053451822373084545
BCO_USD,trend,H4,market,33261,-0.09344316914061256,1,0.006620999500759691,-0.10642032816210155,-0.08046601011912356,-0.08975926917674656,-0.0036838999638659914
NATGAS_USD,mr_under_limit,H4,limit,27213,-0.16992676703068965,0,0.00603794376807796,-0.18176113681612246,-0.15809239724525684,-0.13740790012044568,-0.03251886691024397
NATGAS_USD,mr_under_limit,H4,market,27213,-0.38547933224665204,0,0.0060375887130276595,-0.39731300612418624,-0.37364565836911784,-0.3564930579534751,-0.02898627429317696
NATGAS_USD,trend,D1,limit,6513,-0.4538422335706472,0,0.012112133829397992,-0.47758201587626725,-0.4301024512650271,-0.46051269265265066,0.006670459082003477
NATGAS_USD,trend,D1,market,6513,-0.5935754903747459,0,0.01158332930899977,-0.6162788158203855,-0.5708721649291063,-0.5951509332852369,0.001575442910491054
NATGAS_USD,trend,H4,limit,33230,-0.12669079713378908,0,0.005455498011507913,-0.1373835732363446,-0.11599802103123358,-0.13740790012044568,0.010717102986656596
NATGAS_USD,trend,H4,market,33230,-0.3450757577917896,0,0.005487981802004855,-0.35583220212371913,-0.3343193134598601,-0.3564930579534751,0.011417300161685462
WTICO_USD,mr_under_limit,H4,limit,22520,0.1121676171895813,1,0.007557575209766604,0.09735476977843877,0.12698046460072385,0.1378833112996169,-0.02571569411003559
WTICO_USD,mr_under_limit,H4,market,22520,-0.12267763311449391,1,0.007639381553988927,-0.1376508209603122,-0.1077044452686756,-0.10422159749692737,-0.018456035617566535
