drag_pct_per_day,drag_bp_per_day,instrument,family,cell,timeframe,entry_mode,direction,n,mean_r,baseline_mean_r,excess_r,drag_pct_per_day_to_zero_excess,excess_ci_low,excess_ci_high
5e-05,0.5,BCO_USD,mr_under_limit,rsi14_lt30,H4,limit,1,807,0.1761643468607335,0.1707480872647005,0.005416259596033007,nan,nan,nan
5e-05,0.5,BCO_USD,mr_under_limit,rsi14_lt30,H4,market,1,807,-0.06182812410555093,-0.07219600294082873,0.010367878835277802,nan,nan,nan
5e-05,0.5,BCO_USD,mr_under_limit,stoch14_k20,H4,limit,1,3130,0.19590003819350063,0.1707480872647005,0.025151950928800126,nan,nan,nan
5e-05,0.5,BCO_USD,mr_under_limit,stoch14_k20,H4,market,1,3130,-0.048821349282174784,-0.07219600294082873,0.023374653658653946,nan,nan,nan
5e-05,0.5,BCO_USD,trend,donchian55,D1,limit,1,171,0.06682349976460837,-0.04251820276129558,0.10934170252590394,0.014636632666161269,nan,nan
5e-05,0.5,BCO_USD,trend,donchian55,D1,market,1,171,-0.14378369056375054,-0.2434832105719279,0.09969952000817736,0.011730445383861825,nan,nan
5e-05,0.5,BCO_USD,trend,supertrend10x3,D1,limit,1,1673,0.028308379051841366,-0.04251820276129558,0.07082658181313695,0.0169763634506227,nan,nan
5e-05,0.5,BCO_USD,trend,supertrend10x3,D1,market,1,1673,-0.1833426892657822,-0.2434832105719279,0.060140521306145694,0.012192056672466978,nan,nan
5e-05,0.5,BCO_USD,trend,supertrend10x3,H4,limit,-1,7716,0.12887547297338972,0.1279548273532798,0.0009206456201099333,nan,nan,nan
5e-05,0.5,BCO_USD,trend,supertrend10x3,H4,limit,1,8371,0.1744964556460498,0.1707480872647005,0.0037483683813492874,0.0008489848518204861,nan,nan
5e-05,0.5,BCO_USD,trend,supertrend10x3,H4,market,1,8371,-0.06422759136054436,-0.07219600294082873,0.00796841158028437,0.001693389163107512,nan,nan
5e-05,0.5,BCO_USD,trend,tsmom63,D1,limit,1,1666,-0.009861997458645543,-0.04251820276129558,0.03265620530265004,0.007522578685907438,nan,nan
5e-05,0.5,BCO_USD,trend,tsmom63,D1,market,1,1666,-0.2284395408443507,-0.2434832105719279,0.015043669727577202,0.0026587970822220244,nan,nan
5e-05,0.5,BCO_USD,trend,tsmom63,H4,limit,1,9051,0.1726984567236728,0.1707480872647005,0.0019503694589722842,0.0005228052957970685,nan,nan
5e-05,0.5,NATGAS_USD,mr_under_limit,atr_range_exp,H4,limit,1,2797,-0.13032876229299964,-0.13207080980824548,0.0017420475152458426,nan,nan,nan
5e-05,0.5,NATGAS_USD,mr_under_limit,atr_range_exp,H4,market,1,2797,-0.3293167029006744,-0.3455086625133704,0.01619195961269604,nan,nan,nan
5e-05,0.5,NATGAS_USD,mr_under_limit,bb_p20_2,H4,limit,1,829,-0.11508704777167762,-0.13207080980824548,0.01698376203656786,0.004089179537212857,nan,nan
5e-05,0.5,NATGAS_USD,mr_under_limit,bb_p20_2,H4,market,1,829,-0.3292220181297313,-0.3455086625133704,0.016286644383639137,0.003006456847861502,nan,nan
5e-05,0.5,NATGAS_USD,trend,donchian55,D1,limit,1,159,-0.30301330160297074,-0.4512325584550787,0.14821925685210796,nan,nan,nan
5e-05,0.5,NATGAS_USD,trend,donchian55,D1,market,1,159,-0.46599539099047255,-0.5859410723497122,0.11994568135923961,nan,nan,nan
5e-05,0.5,NATGAS_USD,trend,donchian55,H4,limit,1,641,-0.0787075987084242,-0.13207080980824548,0.053363211099821284,0.08489404486773108,nan,nan
5e-05,0.5,NATGAS_USD,trend,donchian55,H4,market,1,641,-0.29654552484945856,-0.3455086625133704,0.04896313766391186,nan,nan,nan
5e-05,0.5,NATGAS_USD,trend,supertrend10x3,D1,market,1,1607,-0.5824804927321375,-0.5859410723497122,0.0034605796175746217,0.005943616799547437,nan,nan
5e-05,0.5,NATGAS_USD,trend,supertrend10x3,H4,limit,1,7665,-0.12040012603439605,-0.13207080980824548,0.01167068377384943,0.021514420988869694,nan,nan
5e-05,0.5,NATGAS_USD,trend,supertrend10x3,H4,market,1,7665,-0.33168068828725955,-0.3455086625133704,0.013827974226110873,0.034721218031565276,nan,nan
5e-05,0.5,NATGAS_USD,trend,tsmom63,D1,limit,1,1635,-0.42378491140037833,-0.4512325584550787,0.027447647054700375,nan,nan,nan
5e-05,0.5,NATGAS_USD,trend,tsmom63,D1,market,1,1635,-0.5688258466753943,-0.5859410723497122,0.01711522567431789,nan,nan,nan
5e-05,0.5,NATGAS_USD,trend,tsmom63,H4,limit,-1,7767,-0.13164958989026385,-0.14442312951360683,0.012773539623342989,nan,nan,nan
5e-05,0.5,NATGAS_USD,trend,tsmom63,H4,limit,1,8205,-0.11020349678821632,-0.13207080980824548,0.021867313020029158,0.10760693191261538,nan,nan
5e-05,0.5,NATGAS_USD,trend,tsmom63,H4,market,-1,7767,-0.35866887737728514,-0.369200963017949,0.01053208564066388,nan,nan,nan
5e-05,0.5,NATGAS_USD,trend,tsmom63,H4,market,1,8205,-0.3192594482839058,-0.3455086625133704,0.026249214229464635,0.1288072390432864,nan,nan
5e-05,0.5,WTICO_USD,mr_under_limit,rsi14_lt30,H4,limit,1,841,0.167572038868635,0.14882731367108715,0.018744725197547857,nan,nan,nan
5e-05,0.5,WTICO_USD,mr_under_limit,rsi14_lt30,H4,market,1,841,-0.07029283851351484,-0.08859349617854265,0.01830065766502781,nan,nan,nan
5e-05,0.5,WTICO_USD,mr_under_limit,stoch14_k20,H4,limit,1,3099,0.1489271721768206,0.14882731367108715,9.985850573346333e-05,nan,nan,nan
5e-05,0.5,WTICO_USD,mr_under_limit,stoch14_k20,H4,market,1,3099,-0.08791091831466265,-0.08859349617854265,0.000682577863879999,nan,nan,nan
5e-05,0.5,WTICO_USD,trend,donchian55,D1,limit,1,173,0.03126203746083438,-0.08404432538762259,0.11530636284845697,0.011252426762397242,nan,nan
5e-05,0.5,WTICO_USD,trend,donchian55,D1,market,1,173,-0.2115922014478466,-0.2716584407270278,0.06006623927918117,0.005146234173147484,nan,nan
5e-05,0.5,WTICO_USD,trend,supertrend10x3,D1,limit,1,1615,-0.004619031025057318,-0.08404432538762259,0.07942529436256528,0.023153552398105265,nan,nan
5e-05,0.5,WTICO_USD,trend,supertrend10x3,D1,market,1,1615,-0.21890278530507973,-0.2716584407270278,0.052755655421948044,0.01233686932853153,nan,nan
5e-05,0.5,WTICO_USD,trend,supertrend10x3,H4,limit,-1,7715,0.13696687721804185,0.12475816079153289,0.012208716426508961,nan,nan,nan
5e-05,0.5,WTICO_USD,trend,supertrend10x3,H4,limit,1,8331,0.1652649687673381,0.14882731367108715,0.016437655096250947,0.004505598712869655,nan,nan
5e-05,0.5,WTICO_USD,trend,supertrend10x3,H4,market,-1,7715,-0.11748558569260713,-0.12215993446360442,0.004674348770997289,nan,nan,nan
5e-05,0.5,WTICO_USD,trend,supertrend10x3,H4,market,1,8331,-0.06926225284115246,-0.08859349617854265,0.019331243337390183,0.005508721404436833,nan,nan
5e-05,0.5,WTICO_USD,trend,tsmom63,D1,limit,1,1696,-0.049362258091974774,-0.08404432538762259,0.034682067295647816,0.01065077146426627,nan,nan
5e-05,0.5,WTICO_USD,trend,tsmom63,D1,market,1,1696,-0.26405052697504666,-0.2716584407270278,0.00760791375198111,0.0017030460989768531,nan,nan
5e-05,0.5,WTICO_USD,trend,tsmom63,H4,limit,1,9021,0.16636338676035622,0.14882731367108715,0.017536073089269077,0.0051651029344947025,nan,nan
5e-05,0.5,WTICO_USD,trend,tsmom63,H4,market,1,9021,-0.07927095854835822,-0.08859349617854265,0.009322537630184424,0.0028185746067703405,nan,nan
5e-05,0.5,XAG_USD,mr_under_limit,atr_range_exp,H4,limit,1,2258,0.14308081959902721,0.11797529294278655,0.025105526656240662,nan,nan,nan
