instrument,timeframe,entry_mode,direction,n,mean_r,nw_lag,nw_se,ci_low,ci_high
BCO_USD,D1,limit,-1,3165,-0.05890703303672939,0,0.01780187651042236,-0.09379871099715721,-0.024015355076301564
BCO_USD,D1,limit,1,3165,-0.036429735146761615,0,0.017797686610810562,-0.07131320090395032,-0.0015462693895729115
BCO_USD,D1,market,-1,3165,-0.2561988503823544,0,0.017424234542365337,-0.29035035008539045,-0.22204735067931836
BCO_USD,D1,market,1,3165,-0.23724150441079048,0,0.017490759631515397,-0.2715233932885607,-0.2029596155330203
BCO_USD,H4,limit,-1,16096,0.1279548273532798,1,0.00934897537290351,0.1096308356223889,0.14627881908417067
BCO_USD,H4,limit,1,16096,0.17314221209902786,1,0.009258080782699222,0.15499637376493738,0.19128805043311833
BCO_USD,H4,market,-1,16096,-0.10988849382883405,1,0.009580920061948488,-0.1286670971502531,-0.09110989050741501
BCO_USD,H4,market,1,16096,-0.0696300445246591,1,0.00959597742663784,-0.08843816028086926,-0.05082192876844893
CORN_USD,D1,limit,-1,3087,-0.05409550057822336,0,0.017756158842168294,-0.08889757190887322,-0.019293429247573504
CORN_USD,D1,limit,1,3087,-0.07138685466847808,0,0.017819966997466418,-0.10631398998351226,-0.0364597193534439
CORN_USD,D1,market,-1,3087,-0.2859338491450236,0,0.01797681440181304,-0.3211684053725772,-0.25069929291747006
CORN_USD,D1,market,1,3087,-0.28787748374171945,0,0.017991517808443963,-0.3231408586462696,-0.2526141088371693
CORN_USD,H4,limit,-1,15558,-0.012244740615233568,3,0.012794207011723175,-0.03732138635821099,0.012831905127743853
CORN_USD,H4,limit,1,15558,0.008555829518383023,3,0.012709236275495766,-0.016354273581588676,0.033465932618354725
CORN_USD,H4,market,-1,15558,-0.2555028593031031,3,0.013131211071963538,-0.2812400330041517,-0.2297656856020546
CORN_USD,H4,market,1,15558,-0.2319676176060611,3,0.013202178625800792,-0.25784388771263067,-0.20609134749949154
NATGAS_USD,D1,limit,-1,3164,-0.47510098108536797,0,0.017289909249868948,-0.5089892032151111,-0.44121275895562484
NATGAS_USD,D1,limit,1,3164,-0.44592440421993335,0,0.017395245947685985,-0.48001908627739787,-0.4118297221624688
NATGAS_USD,D1,market,-1,3164,-0.6096894920715833,0,0.0165248167766113,-0.6420781329537415,-0.5773008511894251
NATGAS_USD,D1,market,1,3164,-0.5806123744988905,0,0.016688794457654768,-0.6133224116358938,-0.5479023373618871
NATGAS_USD,H4,limit,-1,16053,-0.14442312951360683,0,0.007875271530899416,-0.15985866171416968,-0.128987597313044
NATGAS_USD,H4,limit,1,16053,-0.1303926707272845,0,0.00783818359838028,-0.14575551058010985,-0.11502983087445914
NATGAS_USD,H4,market,-1,16053,-0.369200963017949,0,0.007881574623033693,-0.38464884927909504,-0.353753076756803
NATGAS_USD,H4,market,1,16053,-0.34378515288900113,0,0.007889377067755915,-0.3592483319418027,-0.32832197383619954
SOYBN_USD,D1,limit,-1,3088,0.0471300843326182,0,0.017627665993101234,0.01257985898613978,0.08168030967909662
SOYBN_USD,D1,limit,1,3088,0.037312044577172465,0,0.017702589704332174,0.0026149687566814073,0.07200912039766352
SOYBN_USD,D1,market,-1,3088,-0.1935292925290891,0,0.017976812480096388,-0.228763844990078,-0.15829474006810018
SOYBN_USD,D1,market,1,3088,-0.18834794537883004,0,0.01800142480131055,-0.22363073798939873,-0.15306515276826135
SOYBN_USD,H4,limit,-1,15580,0.07087659169215711,4,0.013978606538006921,0.043478522877663545,0.09827466050665068
SOYBN_USD,H4,limit,1,15580,0.08385295342401042,4,0.013975500397891643,0.05646097264414279,0.11124493420387804
SOYBN_USD,H4,market,-1,15580,-0.16942503582732882,4,0.014593730649165498,-0.19802874789969319,-0.14082132375496445
SOYBN_USD,H4,market,1,15580,-0.15645969564761122,4,0.01466317988068829,-0.18519952821376026,-0.1277198630814622
SUGAR_USD,D1,limit,-1,2545,-0.12208774965034676,0,0.01984074800355166,-0.160975615737308,-0.08319988356338551
SUGAR_USD,D1,limit,1,2545,-0.09612837837906468,0,0.019812241577709302,-0.1349603718713749,-0.05729638488675445
SUGAR_USD,D1,market,-1,2545,-0.2764941478063979,0,0.019698303921026818,-0.31510282349161045,-0.23788547212118535
SUGAR_USD,D1,market,1,2545,-0.28749611244294015,0,0.01963607536728703,-0.32598282016282276,-0.24900940472305758
SUGAR_USD,H4,limit,-1,7774,0.04619582117730053,0,0.011126366536047426,0.02438814276664758,0.06800349958795349
SUGAR_USD,H4,limit,1,7774,0.041557344559870875,0,0.01113727217766631,0.019728291091644905,0.06338639802809684
SUGAR_USD,H4,market,-1,7774,-0.1720987741681354,1,0.013188070243570302,-0.1979473918455332,-0.1462501564907376
SUGAR_USD,H4,market,1,7774,-0.19036478908966875,1,0.013171591999341876,-0.2161811094083788,-0.1645484687709587
WHEAT_USD,D1,limit,-1,3088,-0.08615235497743337,0,0.017902965287987117,-0.12124216694188812,-0.05106254301297862
WHEAT_USD,D1,limit,1,3088,-0.14468768045461455,0,0.017971670481747398,-0.17991215459883947,-0.10946320631038965
WHEAT_USD,D1,market,-1,3088,-0.2880225286109909,0,0.01787832254172808,-0.32306404079277795,-0.2529810164292039
WHEAT_USD,D1,market,1,3088,-0.3424266736887112,0,0.017751268678411397,-0.3772191602983975,-0.3076341870790249
WHEAT_USD,H4,limit,-1,15566,0.036857954520127224,2,0.010929375518044772,0.015436378504759471,0.05827953053549498
WHEAT_USD,H4,limit,1,15566,0.01782950549703639,2,0.010931318633759362,-0.0035958790251319588,0.039254890019204736
WHEAT_USD,H4,market,-1,15566,-0.2061769081741969,2,0.011268611275978647,-0.22826338627511505,-0.18409043007327874
WHEAT_USD,H4,market,1,15566,-0.22570665248872857,2,0.011262620177341658,-0.24778138803631822,-0.2036319169411389
WTICO_USD,D1,limit,-1,3166,-0.11201170268950807,0,0.017775374143652906,-0.14685143601106776,-0.07717196936794837
WTICO_USD,D1,limit,1,3166,-0.07816940435161503,0,0.017785318368108274,-0.11302862835310724,-0.04331018035012281
WTICO_USD,D1,market,-1,3166,-0.296606324492031,0,0.017267755261844018,-0.3304511248052453,-0.2627615241788167
WTICO_USD,D1,market,1,3166,-0.2656524394636039,0,0.017379625770724938,-0.2997165059742248,-0.231588372952983
WTICO_USD,H4,limit,-1,16055,0.12475816079153289,1,0.00929893652493477,0.10653224520266075,0.14298407638040503
WTICO_USD,H4,limit,1,16055,0.1510084618077009,1,0.009236057453587158,0.13290578919867005,0.16911113441673173
WTICO_USD,H4,market,-1,16055,-0.12215993446360442,1,0.009513974200018063,-0.14080732389563982,-0.10351254503156901
WTICO_USD,H4,market,1,16055,-0.08628326053025033,1,0.009535585524538098,-0.10497300815834501,-0.06759351290215565
XAG_USD,D1,limit,-1,3166,0.00935565457978179,0,0.01771115017336307,-0.025358199760009824,0.044069508919573404
XAG_USD,D1,limit,1,3166,-0.00819830612361979,0,0.017683538942631482,-0.0428580424511775,0.026461430203937916
XAG_USD,D1,market,-1,3166,-0.21957231446443834,0,0.017686900390971733,-0.2542386392307429,-0.18490598969813374
XAG_USD,D1,market,1,3166,-0.21136005925281484,0,0.017646050478423974,-0.24594631819052581,-0.17677380031510387
XAG_USD,H4,limit,-1,16061,0.11742208567083688,2,0.010774102525126186,0.09630484472158955,0.1385393266200842
XAG_USD,H4,limit,1,16061,0.12135662038192485,2,0.010768938452266326,0.10024950101548286,0.14246373974836685
XAG_USD,H4,market,-1,16061,-0.14012057728321964,2,0.011185016308216444,-0.16204320924732388,-0.1181979453191154
XAG_USD,H4,market,1,16061,-0.12430587085149059,2,0.011157660486811053,-0.14617488540564025,-0.10243685629734092
XAU_USD,D1,limit,-1,3166,0.10324145766561307,1,0.021243454408475134,0.061604287025001814,0.14487862830622433
XAU_USD,D1,limit,1,3166,0.2800050065488276,1,0.02034943061374632,0.2401201225458848,0.31988989055177036
XAU_USD,D1,market,-1,3166,-0.146342510705384,1,0.021292393384183615,-0.1880756017383839,-0.10460941967238413
XAU_USD,D1,market,1,3166,0.05896386958520349,1,0.021413913174304727,0.016992599763566228,0.10093513940684076
XAU_USD,H4,limit,-1,16063,0.12933011893317045,6,0.01658198349096086,0.09682943129088717,0.16183080657545373
XAU_USD,H4,limit,1,16063,0.29657731102977464,6,0.015730496715462703,0.26574553746746776,0.3274090845920815
XAU_USD,H4,market,-1,16063,-0.1226428660713602,7,0.017688245471738435,-0.15731182719596754,-0.08797390494675286
XAU_USD,H4,market,1,16063,0.06257831355933535,7,0.017715841549312973,0.027855264122681925,0.09730136299598878
XCU_USD,D1,limit,-1,3164,0.06783620440457788,0,0.017660335421847907,0.03322194697775599,0.10245046183139978
XCU_USD,D1,limit,1,3164,0.12574113384375116,0,0.017502766227662937,0.0914357120375318,0.1600465556499705
XCU_USD,D1,market,-1,3164,-0.13329951481892396,0,0.017719923274064714,-0.1680305644360908,-0.09856846520175713
XCU_USD,D1,market,1,3164,-0.09726917347884813,0,0.017756079381280303,-0.13207108906615753,-0.06246725789153874
XCU_USD,H4,limit,-1,16053,0.14695635193541912,2,0.011130405630640978,0.1251407568993628,0.16877194697147543
XCU_USD,H4,limit,1,16053,0.21995892012553847,2,0.01089733423520748,0.1986001450245318,0.24131769522654514
XCU_USD,H4,market,-1,16053,-0.09549302040657004,2,0.011450238445831795,-0.11793548776040036,-0.07305055305273972
XCU_USD,H4,market,1,16053,-0.01737678045142146,2,0.01145077727043913,-0.039820303901482154,0.005066742998639233
XPD_USD,D1,limit,-1,3155,-0.5952659323631317,0,0.019428244401661215,-0.6333452913903878,-0.5571865733358757
XPD_USD,D1,limit,1,3155,-0.5096351581480465,0,0.019298807136740256,-0.5474608201360573,-0.4718094961600356
XPD_USD,D1,market,-1,3155,-0.774000531425418,0,0.01878586495907403,-0.8108208267452032,-0.7371802361056329
XPD_USD,D1,market,1,3155,-0.6865203412510915,0,0.01903107532579862,-0.7238212488896568,-0.6492194336125262
XPD_USD,H4,limit,-1,15953,-0.33388424689513035,1,0.010455532653209603,-0.3543770908954212,-0.3133914028948395
XPD_USD,H4,limit,1,15953,-0.2633868900418041,1,0.010142942423050352,-0.2832670571909828,-0.2435067228926254
XPD_USD,H4,market,-1,15953,-0.5755709916125373,1,0.01060311624226032,-0.5963530994473676,-0.5547888837777071
XPD_USD,H4,market,1,15953,-0.4968397184977627,1,0.010490503891007471,-0.5174011061241374,-0.47627833087138804
XPT_USD,D1,limit,-1,3162,-0.22449073565006425,0,0.018094522808525956,-0.2599560003547751,-0.18902547094535338
