drag_pct_per_day,drag_bp_per_day,instrument,family,cell,timeframe,entry_mode,direction,n,mean_r,baseline_mean_r,excess_r,drag_pct_per_day_to_zero_excess,excess_ci_low,excess_ci_high
5e-05,0.5,BCO_USD,mr_under_limit,rsi14_lt30,H4,limit,1,807,0.1761643468607335,0.1707480872647005,0.005416259596033007,nan,nan,nan
5e-05,0.5,BCO_USD,mr_under_limit,rsi14_lt30,H4,market,1,807,-0.06182812410555093,-0.07219600294082873,0.010367878835277802,nan,nan,nan
5e-05,0.5,BCO_USD,mr_under_limit,stoch14_k20,H4,limit,1,3130,0.19590003819350063,0.1707480872647005,0.025151950928800126,nan,nan,nan
5e-05,0.5,BCO_USD,mr_under_limit,stoch14_k20,H4,market,1,3130,-0.048821349282174784,-0.07219600294082873,0.023374653658653946,nan,nan,nan
5e-05,0.5,BCO_USD,trend,donchian55,D1,limit,1,171,0.06682349976460837,-0.04251820276129558,0.10934170252590394,0.014636632666161269,nan,nan
5e-05,0.5,BCO_USD,trend,donchian55,D1,market,1,171,-0.14378369056375054,-0.2434832105719279,0.09969952000817736,0.011730445383861825,nan,nan
5e-05,0.5,BCO_USD,trend,supertrend10x3,D1,limit,1,1673,0.028308379051841366,-0.04251820276129558,0.07082658181313695,0.0169763634506227,nan,nan
5e-05,0.5,BCO_USD,trend,supertrend10x3,D1,market,1,1673,-0.1833426892657822,-0.2434832105719279,0.060140521306145694,0.012192056672466978,nan,nan
5e-05,0.5,BCO_USD,trend,supertrend10x3,H4,limit,-1,7716,0.12887547297338972,0.1279548273532798,0.0009206456201099333,nan,nan,nan
5e-05,0.5,BCO_USD,trend,supertrend10x3,H4,limit,1,8371,0.1744964556460498,0.1707480872647005,0.0037483683813492874,0.0008489848518204861,nan,nan
5e-05,0.5,BCO_USD,trend,supertrend10x3,H4,market,1,8371,-0.06422759136054436,-0.07219600294082873,0.00796841158028437,0.001693389163107512,nan,nan
5e-05,0.5,BCO_USD,trend,tsmom63,D1,limit,1,1666,-0.009861997458645543,-0.04251820276129558,0.03265620530265004,0.007522578685907438,nan,nan
5e-05,0.5,BCO_USD,trend,tsmom63,D1,market,1,1666,-0.2284395408443507,-0.2434832105719279,0.015043669727577202,0.0026587970822220244,nan,nan
5e-05,0.5,BCO_USD,trend,tsmom63,H4,limit,1,9051,0.1726984567236728,0.1707480872647005,0.0019503694589722842,0.0005228052957970685,nan,nan
5e-05,0.5,CORN_USD,mr_under_limit,atr_range_exp,H4,limit,1,2433,0.04756064266320221,0.0036314069276472934,0.04392923573555491,0.004797637367124654,nan,nan
5e-05,0.5,CORN_USD,mr_under_limit,atr_range_exp,H4,market,1,2433,-0.1910676081462493,-0.23714957115621746,0.04608196300996817,0.004007131001652758,nan,nan
5e-05,0.5,CORN_USD,mr_under_limit,bb_p20_2,H4,limit,1,870,0.029580653163368845,0.0036314069276472934,0.025949246235721552,nan,nan,nan
5e-05,0.5,CORN_USD,mr_under_limit,bb_p20_2,H4,market,1,870,-0.18877995795229835,-0.23714957115621746,0.04836961320391911,0.03710869328381953,nan,nan
5e-05,0.5,CORN_USD,mr_under_limit,cci20_lt-100,H4,market,1,3155,-0.21772190849848172,-0.23714957115621746,0.01942766265773574,nan,nan,nan
5e-05,0.5,CORN_USD,mr_under_limit,ema50_dist_low,H4,market,1,3877,-0.22159191069521164,-0.23714957115621746,0.015557660461005818,nan,nan,nan
5e-05,0.5,CORN_USD,mr_under_limit,macd_hist_low,H4,limit,1,1752,0.060953940852326895,0.0036314069276472934,0.0573225339246796,nan,nan,nan
5e-05,0.5,CORN_USD,mr_under_limit,macd_hist_low,H4,market,1,1752,-0.1887671939998039,-0.23714957115621746,0.04838237715641355,nan,nan,nan
5e-05,0.5,CORN_USD,mr_under_limit,rsi14_lt30,H4,limit,1,1009,0.03563685032184845,0.0036314069276472934,0.03200544339420115,nan,nan,nan
5e-05,0.5,CORN_USD,mr_under_limit,rsi14_lt30,H4,market,1,1009,-0.18433152203190467,-0.23714957115621746,0.05281804912431279,nan,nan,nan
5e-05,0.5,CORN_USD,mr_under_limit,sma50_dist_low,H4,limit,1,4249,0.03442938898419627,0.0036314069276472934,0.03079798205654898,nan,nan,nan
5e-05,0.5,CORN_USD,mr_under_limit,sma50_dist_low,H4,market,1,4249,-0.18611912761213653,-0.23714957115621746,0.05103044354408093,nan,nan,nan
5e-05,0.5,CORN_USD,mr_under_limit,stoch14_k20,H4,limit,1,3533,0.009956709275179183,0.0036314069276472934,0.006325302347531889,nan,nan,nan
5e-05,0.5,CORN_USD,mr_under_limit,stoch14_k20,H4,market,1,3533,-0.2298124962304364,-0.23714957115621746,0.007337074925781062,nan,nan,nan
5e-05,0.5,CORN_USD,trend,donchian55,D1,limit,-1,109,-0.04073066056676684,-0.05409550057822336,0.013364840011456526,nan,nan,nan
5e-05,0.5,CORN_USD,trend,donchian55,D1,limit,1,145,-0.06241018353797799,-0.07987567876954706,0.017465495231569067,nan,nan,nan
5e-05,0.5,CORN_USD,trend,donchian55,D1,market,1,145,-0.18628976152740914,-0.29662221973135344,0.1103324582039443,nan,nan,nan
5e-05,0.5,CORN_USD,trend,donchian55,H4,limit,1,577,0.04534336883978164,0.0036314069276472934,0.041711961912134346,nan,nan,nan
5e-05,0.5,CORN_USD,trend,donchian55,H4,market,1,577,-0.19700895188734385,-0.23714957115621746,0.040140619268873606,nan,nan,nan
5e-05,0.5,CORN_USD,trend,supertrend10x3,D1,limit,1,1626,-0.03299274888400777,-0.07987567876954706,0.046882929885539285,0.008337304345993023,nan,nan
5e-05,0.5,CORN_USD,trend,supertrend10x3,D1,market,-1,1452,-0.27436516192123833,-0.2859338491450236,0.01156868722378529,nan,nan,nan
5e-05,0.5,CORN_USD,trend,supertrend10x3,D1,market,1,1626,-0.2603122657817855,-0.29662221973135344,0.03630995394956793,0.0056653808204986675,nan,nan
5e-05,0.5,CORN_USD,trend,tsmom63,D1,limit,1,1577,-0.061739065047937296,-0.07987567876954706,0.01813661372160976,0.00554024351385657,nan,nan
5e-05,0.5,CORN_USD,trend,tsmom63,D1,market,1,1577,-0.2783834570809421,-0.29662221973135344,0.018238762650411355,0.004173910386881251,nan,nan
5e-05,0.5,CORN_USD,trend,tsmom63,H4,limit,1,8178,0.013243105077766779,0.0036314069276472934,0.009611698150119485,0.0019419007430855231,nan,nan
5e-05,0.5,NATGAS_USD,mr_under_limit,atr_range_exp,H4,limit,1,2797,-0.13032876229299964,-0.13207080980824548,0.0017420475152458426,nan,nan,nan
5e-05,0.5,NATGAS_USD,mr_under_limit,atr_range_exp,H4,market,1,2797,-0.3293167029006744,-0.3455086625133704,0.01619195961269604,nan,nan,nan
5e-05,0.5,NATGAS_USD,mr_under_limit,bb_p20_2,H4,limit,1,829,-0.11508704777167762,-0.13207080980824548,0.01698376203656786,0.004089179537212857,nan,nan
5e-05,0.5,NATGAS_USD,mr_under_limit,bb_p20_2,H4,market,1,829,-0.3292220181297313,-0.3455086625133704,0.016286644383639137,0.003006456847861502,nan,nan
5e-05,0.5,NATGAS_USD,trend,donchian55,D1,limit,1,159,-0.30301330160297074,-0.4512325584550787,0.14821925685210796,nan,nan,nan
5e-05,0.5,NATGAS_USD,trend,donchian55,D1,market,1,159,-0.46599539099047255,-0.5859410723497122,0.11994568135923961,nan,nan,nan
5e-05,0.5,NATGAS_USD,trend,donchian55,H4,limit,1,641,-0.0787075987084242,-0.13207080980824548,0.053363211099821284,0.08489404486773108,nan,nan
5e-05,0.5,NATGAS_USD,trend,donchian55,H4,market,1,641,-0.29654552484945856,-0.3455086625133704,0.04896313766391186,nan,nan,nan
5e-05,0.5,NATGAS_USD,trend,supertrend10x3,D1,market,1,1607,-0.5824804927321375,-0.5859410723497122,0.0034605796175746217,0.005943616799547437,nan,nan
