instrument,granularity,row_count,min_timestamp,max_timestamp,weekday_hour_pattern_utc
XAU_USD,H4,16147,2015-12-31T22:00:00,2026-06-12T17:00:00,"0:01,02,05,06,09,10,13,14,17,18,21,22; 1:01,02,05,06,09,10,13,14,17,18,21,22; 2:01,02,05,06,09,10,13,14,17,18,21,22; 3:01,02,05,06,09,10,13,14,17,18,21,22; 4:01,02,05,06,09,10,13,14,17,18,21; 6:21,22"
XAU_USD,H1,61749,2016-01-01T13:00:00,2026-06-12T20:00:00,"0:00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23; 1:00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23; 2:00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23; 3:00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23; 4:00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21; 6:22,23"
XAG_USD,H4,16145,2015-12-31T22:00:00,2026-06-12T17:00:00,"0:01,02,05,06,09,10,13,14,17,18,21,22; 1:01,02,05,06,09,10,13,14,17,18,21,22; 2:01,02,05,06,09,10,13,14,17,18,21,22; 3:01,02,05,06,09,10,13,14,17,18,21,22; 4:01,02,05,06,09,10,13,14,17,18,21; 6:21,22"
XAG_USD,H1,61746,2016-01-01T04:00:00,2026-06-12T20:00:00,"0:00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23; 1:00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23; 2:00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23; 3:00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23; 4:00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21; 6:22,23"
WTICO_USD,H4,16139,2015-12-31T22:00:00,2026-06-12T17:00:00,"0:01,02,05,06,09,10,13,14,17,18,21,22; 1:01,02,05,06,09,10,13,14,17,18,21,22; 2:01,02,05,06,09,10,13,14,17,18,21,22; 3:01,02,05,06,09,10,13,14,17,18,21,22; 4:01,02,05,06,09,10,13,14,17,18; 6:01,13,17,21,22"
WTICO_USD,H1,61738,2016-01-01T15:00:00,2026-06-12T20:00:00,"0:00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23; 1:00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23; 2:00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23; 3:00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23; 4:00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21; 6:03,16,18,22,23"
BCO_USD,H4,16180,2016-01-03T22:00:00,2026-06-12T17:00:00,"0:01,02,05,06,09,10,13,14,17,18,21,22; 1:01,02,05,06,09,10,13,14,17,18,21,22; 2:01,02,05,06,09,10,13,14,17,18,21,22; 3:01,02,05,06,09,10,13,14,17,18,21,22; 4:01,02,05,06,09,10,13,14,17,18; 6:21,22"
BCO_USD,H1,58919,2016-01-04T01:00:00,2026-06-12T20:00:00,"0:00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23; 1:00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22; 2:00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23; 3:00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23; 4:00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21; 6:22,23"
NATGAS_USD,H4,16137,2016-01-03T22:00:00,2026-06-12T17:00:00,"0:01,02,05,06,09,10,13,14,17,18,21,22; 1:01,02,05,06,09,10,13,14,17,18,21,22; 2:01,02,05,06,09,10,13,14,17,18,21,22; 3:01,02,05,06,09,10,13,14,17,18,21,22; 4:01,02,05,06,09,10,13,14,17,18; 6:01,13,17,21,22"
NATGAS_USD,H1,61617,2016-01-03T23:00:00,2026-06-12T20:00:00,"0:00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23; 1:00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23; 2:00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23; 3:00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23; 4:00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21; 6:03,16,18,22,23"
XCU_USD,H4,16137,2016-01-03T22:00:00,2026-06-12T17:00:00,"0:01,02,05,06,09,10,13,14,17,18,21,22; 1:01,02,05,06,09,10,13,14,17,18,21,22; 2:01,02,05,06,09,10,13,14,17,18,21,22; 3:01,02,05,06,09,10,13,14,17,18,21,22; 4:01,02,05,06,09,10,13,14,17,18; 6:01,13,17,21,22"
