a,b,direction,total_cofire,max_pair_cofire,testable_pair_cells
stoch,atr,short,18597,1224,17
stoch,atr,long,17625,1127,17
rsi,atr,short,10716,760,17
cci,atr,short,11632,739,17
cci,atr,long,11451,728,17
rsi,atr,long,10265,673,17
stoch,rsi,short,7656,573,17
stoch,cci,short,9025,571,17
stoch,cci,long,8580,554,17
stoch,rsi,long,7189,510,17
atr,candle,long,7210,478,17
macd,atr,long,6094,408,17
macd,atr,short,6364,401,17
rsi,cci,short,5252,353,17
rsi,cci,long,5110,333,17
bb,ema,short,2280,173,17
bb,ema,long,2233,163,17
stoch,candle,long,2241,158,17
stoch,macd,short,1800,142,17
macd,rsi,short,1499,124,17
stoch,macd,long,1546,113,17
cci,candle,long,1423,109,17
atr,ichimoku,long,1535,107,17
macd,rsi,long,1348,104,17
macd,cci,short,1365,103,17
atr,ichimoku,short,1482,100,17
rsi,candle,long,1198,93,17
macd,candle,long,1131,90,17
macd,cci,long,1221,87,17
stoch,ema,long,791,65,14
stoch,ema,short,822,62,15
stoch,bb,long,644,49,7
bb,sma,long,569,48,3
stoch,bb,short,696,48,11
sma,ema,long,552,45,4
bb,sma,short,554,44,3
sma,ema,short,516,43,1
ema,cci,long,285,27,0
ema,cci,short,281,26,0
stoch,sma,short,294,23,0
bb,cci,long,253,23,0
stoch,sma,long,256,22,0
bb,cci,short,234,22,0
macd,ichimoku,long,221,21,0
macd,ichimoku,short,274,20,0
ichimoku,candle,long,202,19,0
sma,cci,long,137,13,0
sma,cci,short,133,13,0
stoch,ichimoku,short,97,10,0
cci,ichimoku,short,71,10,0
cci,ichimoku,long,92,9,0
stoch,ichimoku,long,103,9,0
sma,ichimoku,long,68,9,0
sma,ichimoku,short,59,8,0
macd,ema,short,23,5,0
bb,macd,short,28,4,0
ema,atr,long,12,4,0
macd,sma,short,29,4,0
sma,atr,long,24,4,0
macd,ema,long,21,4,0
sma,rsi,short,6,3,0
bb,macd,long,26,3,0
bb,atr,short,24,3,0
bb,atr,long,16,3,0
macd,sma,long,19,3,0
ema,atr,short,22,3,0
sma,atr,short,17,3,0
rsi,ichimoku,long,5,2,0
bb,ichimoku,long,7,2,0
bb,rsi,long,1,1,0
ema,rsi,long,1,1,0
bb,rsi,short,2,1,0
bb,ichimoku,short,1,1,0
sma,rsi,long,3,1,0
rsi,ichimoku,short,6,1,0
stoch,candle,short,0,0,0
bb,candle,short,0,0,0
bb,candle,long,0,0,0
macd,candle,short,0,0,0
sma,candle,long,0,0,0
sma,candle,short,0,0,0
ema,rsi,short,0,0,0
ema,ichimoku,long,0,0,0
ema,ichimoku,short,0,0,0
ema,candle,long,0,0,0
ema,candle,short,0,0,0
rsi,candle,short,0,0,0
cci,candle,short,0,0,0
atr,candle,short,0,0,0
ichimoku,candle,short,0,0,0
