left,right,pooled_corr,per_pair_min,per_pair_max,per_pair_finite_n
stoch,bb,-0.042023,-0.051545,-0.030692,17
stoch,macd,-0.075425,-0.091437,-0.059177,17
stoch,sma,-0.0105,-0.024337,0.003814,17
stoch,ema,-0.032546,-0.044056,-0.022901,17
stoch,rsi,0.300093,0.267794,0.32751,17
stoch,cci,0.226676,0.205928,0.245735,17
stoch,atr,0.145063,0.129512,0.165414,17
stoch,ichimoku,0.013842,-0.003304,0.030368,17
stoch,candle,0.036696,0.008987,0.05583,17
bb,macd,0.055191,0.031728,0.072626,17
bb,sma,0.078513,0.054729,0.107578,17
bb,ema,0.378892,0.331195,0.437314,17
bb,rsi,-0.062825,-0.066134,-0.058645,17
bb,cci,-0.055328,-0.065296,-0.047979,17
bb,atr,-0.036837,-0.057933,-0.012996,17
bb,ichimoku,0.003185,-0.011367,0.014884,17
bb,candle,0.017971,-0.007627,0.046198,17
macd,sma,0.025348,0.005825,0.040475,17
macd,ema,0.020174,-0.004094,0.050224,17
macd,rsi,0.000733,-0.015579,0.012717,17
macd,cci,-0.063056,-0.078409,-0.048312,17
macd,atr,-0.030045,-0.063251,0.015134,17
macd,ichimoku,-0.019651,-0.026105,-0.00419,17
macd,candle,0.018605,-0.005762,0.041635,17
sma,ema,0.071758,0.048045,0.099336,17
sma,rsi,-0.035615,-0.047347,-0.027091,17
sma,cci,-0.012754,-0.024544,0.010295,17
sma,atr,0.005432,-0.008811,0.022548,17
sma,ichimoku,0.007102,-0.011321,0.028806,17
sma,candle,0.02061,0.004571,0.048439,17
ema,rsi,-0.063058,-0.071264,-0.055518,17
ema,cci,-0.052843,-0.062769,-0.042404,17
ema,atr,-0.057301,-0.080918,-0.030325,17
ema,ichimoku,0.012289,0.001046,0.02689,17
ema,candle,0.014729,-0.005837,0.03676,17
rsi,cci,0.249061,0.230249,0.272014,17
rsi,atr,0.232971,0.188974,0.264298,17
rsi,ichimoku,-0.043899,-0.054496,-0.034361,17
rsi,candle,0.044005,0.022501,0.062837,17
cci,atr,0.116653,0.087262,0.141904,17
cci,ichimoku,-0.005082,-0.01304,0.004346,17
cci,candle,0.025975,0.013877,0.048032,17
atr,ichimoku,-0.022076,-0.036017,-0.010324,17
atr,candle,0.162029,0.14825,0.171072,17
ichimoku,candle,-0.002939,-0.012178,0.014936,17
