evaluator_pair,a,b,level,forex_pair,direction,entry_mode,cell,n,mean_R,SE,CI_low,both_n,eligible,positive_ci,beats_components,passes_p1a,component_best_mean_R
macd+stoch,macd,stoch,PAIR,AUD_CAD,long,mid,A_all,987,-0.024735019323729537,0.031022509072198466,-0.08553913710523853,90,True,,,,
macd+stoch,macd,stoch,PAIR,AUD_CAD,long,mid,B_all,1655,0.040107960738971334,0.02381123115918626,-0.006562052333033738,90,True,,,,
macd+stoch,macd,stoch,PAIR,AUD_CAD,long,mid,A_pure,897,-0.04093201090845114,0.032544090926446036,-0.10471842912428536,90,True,,,,
macd+stoch,macd,stoch,PAIR,AUD_CAD,long,mid,B_pure,1565,0.034553434703283016,0.024492859174635454,-0.013452569279002471,90,True,,,,
macd+stoch,macd,stoch,PAIR,AUD_CAD,long,mid,BOTH,90,0.13669499680399586,0.10165921427213079,-0.06255706316938048,90,True,False,True,False,0.040107960738971334
macd+stoch,macd,stoch,PAIR,AUD_CAD,long,limit,A_all,262,-0.03197421620245653,0.05957679703576409,-0.14874473839255414,13,False,,,,
macd+stoch,macd,stoch,PAIR,AUD_CAD,long,limit,B_all,609,0.0754989004841922,0.03901816822211347,-0.0009767092311502162,13,False,,,,
macd+stoch,macd,stoch,PAIR,AUD_CAD,long,limit,A_pure,249,-0.04333327866388159,0.06120698216739605,-0.16329896371197783,13,False,,,,
macd+stoch,macd,stoch,PAIR,AUD_CAD,long,limit,B_pure,596,0.07309746418223179,0.03948306494659089,-0.004289343113086347,13,False,,,,
macd+stoch,macd,stoch,PAIR,AUD_CAD,long,limit,BOTH,13,0.18559551863560816,0.26221467432926265,-0.32834524304974655,13,False,False,True,False,0.0754989004841922
macd+stoch,macd,stoch,PAIR,AUD_CAD,short,mid,A_all,987,0.010287589159812456,0.03090255943320877,-0.050281427329276734,106,True,,,,
macd+stoch,macd,stoch,PAIR,AUD_CAD,short,mid,B_all,1787,0.03189643286604156,0.022897576411081897,-0.012982816899678958,106,True,,,,
macd+stoch,macd,stoch,PAIR,AUD_CAD,short,mid,A_pure,881,0.010197496918544624,0.03264914534671452,-0.05379482796101585,106,True,,,,
macd+stoch,macd,stoch,PAIR,AUD_CAD,short,mid,B_pure,1681,0.033211820235644965,0.023580933434509187,-0.013006809295993044,106,True,,,,
macd+stoch,macd,stoch,PAIR,AUD_CAD,short,mid,BOTH,106,0.011036374674500742,0.09616880161072779,-0.1774544764825257,106,True,False,False,False,0.03189643286604156
macd+stoch,macd,stoch,PAIR,AUD_CAD,short,limit,A_all,258,0.048014792410651895,0.05996199928298988,-0.06951072618400828,19,False,,,,
macd+stoch,macd,stoch,PAIR,AUD_CAD,short,limit,B_all,664,0.08045222418364047,0.037515400616024305,0.006922038976232836,19,False,,,,
macd+stoch,macd,stoch,PAIR,AUD_CAD,short,limit,A_pure,239,0.05703993744895731,0.06214043912570894,-0.06475532323743222,19,False,,,,
macd+stoch,macd,stoch,PAIR,AUD_CAD,short,limit,B_pure,645,0.08475194645936414,0.038027564699809176,0.01021791964773816,19,False,,,,
macd+stoch,macd,stoch,PAIR,AUD_CAD,short,limit,BOTH,19,-0.06551203201855835,0.23251039198681026,-0.5212324003127065,19,False,False,False,False,0.08045222418364047
macd+rsi,macd,rsi,PAIR,AUD_CAD,long,mid,A_all,987,-0.024735019323729537,0.031022509072198466,-0.08553913710523853,75,True,,,,
macd+rsi,macd,rsi,PAIR,AUD_CAD,long,mid,B_all,664,0.01008634796575618,0.037599667942762365,-0.06360900120205805,75,True,,,,
macd+rsi,macd,rsi,PAIR,AUD_CAD,long,mid,A_pure,912,-0.03955487756346159,0.03222246928161615,-0.10271091735542925,75,True,,,,
macd+rsi,macd,rsi,PAIR,AUD_CAD,long,mid,B_pure,589,-0.008426569127493757,0.03982438291203351,-0.08648235963507944,75,True,,,,
macd+rsi,macd,rsi,PAIR,AUD_CAD,long,mid,BOTH,75,0.15547445687141243,0.11335034502700318,-0.06669221938151382,75,True,False,True,False,0.01008634796575618
macd+rsi,macd,rsi,PAIR,AUD_CAD,long,limit,A_all,262,-0.03197421620245653,0.05957679703576409,-0.14874473839255414,10,False,,,,
macd+rsi,macd,rsi,PAIR,AUD_CAD,long,limit,B_all,190,0.09980248935286955,0.06987947050764237,-0.0371612728421095,10,False,,,,
macd+rsi,macd,rsi,PAIR,AUD_CAD,long,limit,A_pure,252,-0.03689068207089121,0.060817994438888,-0.1560939511711117,10,False,,,,
macd+rsi,macd,rsi,PAIR,AUD_CAD,long,limit,B_pure,180,0.10024036522346799,0.07194126775008708,-0.040764519566702684,10,False,,,,
macd+rsi,macd,rsi,PAIR,AUD_CAD,long,limit,BOTH,10,0.0919207236820974,0.3090635259409781,-0.5138437871622197,10,False,False,False,False,0.09980248935286955
macd+rsi,macd,rsi,PAIR,AUD_CAD,short,mid,A_all,987,0.010287589159812456,0.03090255943320877,-0.050281427329276734,64,True,,,,
macd+rsi,macd,rsi,PAIR,AUD_CAD,short,mid,B_all,640,0.12445883127178008,0.03775109880666141,0.05046667761072372,64,True,,,,
macd+rsi,macd,rsi,PAIR,AUD_CAD,short,mid,A_pure,923,-0.0012634369791591936,0.03193746936012964,-0.06386087692501329,64,True,,,,
macd+rsi,macd,rsi,PAIR,AUD_CAD,short,mid,B_pure,576,0.11863480760666738,0.03974561659063792,0.04073339908901706,64,True,,,,
macd+rsi,macd,rsi,PAIR,AUD_CAD,short,mid,BOTH,64,0.17687504425779432,0.12140752678717999,-0.061083708245078444,64,True,False,True,False,0.12445883127178008
macd+rsi,macd,rsi,PAIR,AUD_CAD,short,limit,A_all,258,0.048014792410651895,0.05996199928298988,-0.06951072618400828,8,False,,,,
macd+rsi,macd,rsi,PAIR,AUD_CAD,short,limit,B_all,185,0.22296694663789499,0.06883398976472288,0.08805232669903815,8,False,,,,
macd+rsi,macd,rsi,PAIR,AUD_CAD,short,limit,A_pure,250,0.018530180201203145,0.06096122361578779,-0.10095381808574093,8,False,,,,
macd+rsi,macd,rsi,PAIR,AUD_CAD,short,limit,B_pure,177,0.189229456137645,0.07089526428801259,0.050274738133140345,8,False,,,,
macd+rsi,macd,rsi,PAIR,AUD_CAD,short,limit,BOTH,8,0.9694089239559253,0.030591076044076237,0.9094504149095358,8,False,False,True,False,0.22296694663789499
macd+cci,macd,cci,PAIR,AUD_CAD,long,mid,A_all,987,-0.024735019323729537,0.031022509072198466,-0.08553913710523853,63,True,,,,
macd+cci,macd,cci,PAIR,AUD_CAD,long,mid,B_all,1154,0.021955397614923582,0.028603714596381457,-0.03410788299398407,63,True,,,,
macd+cci,macd,cci,PAIR,AUD_CAD,long,mid,A_pure,924,-0.026346686035070482,0.03203286696279418,-0.08913110528214707,63,True,,,,
macd+cci,macd,cci,PAIR,AUD_CAD,long,mid,B_pure,1091,0.023286576557046506,0.029389586082521752,-0.034317012164696126,63,True,,,,
macd+cci,macd,cci,PAIR,AUD_CAD,long,mid,BOTH,63,-0.0010972408907288234,0.1254113550817704,-0.2469034968509988,63,True,False,False,False,0.021955397614923582
macd+cci,macd,cci,PAIR,AUD_CAD,long,limit,A_all,262,-0.03197421620245653,0.05957679703576409,-0.14874473839255414,8,False,,,,
macd+cci,macd,cci,PAIR,AUD_CAD,long,limit,B_all,468,0.10411980769201645,0.04478818202753289,0.016334970918052,8,False,,,,
macd+cci,macd,cci,PAIR,AUD_CAD,long,limit,A_pure,254,-0.036858374893977065,0.060774496892819246,-0.1559763888039028,8,False,,,,
macd+cci,macd,cci,PAIR,AUD_CAD,long,limit,B_pure,460,0.10378975526486334,0.04529874451995008,0.015004216005761184,8,False,,,,
macd+cci,macd,cci,PAIR,AUD_CAD,long,limit,BOTH,8,0.12309782225332026,0.3036104176728906,-0.47197859638554523,8,False,False,True,False,0.10411980769201645
macd+cci,macd,cci,PAIR,AUD_CAD,short,mid,A_all,987,0.010287589159812456,0.03090255943320877,-0.050281427329276734,81,True,,,,
macd+cci,macd,cci,PAIR,AUD_CAD,short,mid,B_all,1235,0.049425096995795004,0.027612852398036868,-0.004696093704357258,81,True,,,,
macd+cci,macd,cci,PAIR,AUD_CAD,short,mid,A_pure,906,0.009892612445257552,0.0322402305735154,-0.053298239478832624,81,True,,,,
macd+cci,macd,cci,PAIR,AUD_CAD,short,mid,B_pure,1154,0.05186208939729225,0.028553328622394042,-0.00410243470260007,81,True,,,,
macd+cci,macd,cci,PAIR,AUD_CAD,short,mid,BOTH,81,0.014705476855945154,0.10907457069719922,-0.19908068171056534,81,True,False,False,False,0.049425096995795004
macd+cci,macd,cci,PAIR,AUD_CAD,short,limit,A_all,258,0.048014792410651895,0.05996199928298988,-0.06951072618400828,16,False,,,,
macd+cci,macd,cci,PAIR,AUD_CAD,short,limit,B_all,478,0.10332573267589869,0.044002583431737165,0.017080669149693847,16,False,,,,
macd+cci,macd,cci,PAIR,AUD_CAD,short,limit,A_pure,242,0.039130260150969924,0.061920737299321585,-0.08223438495570037,16,False,,,,
macd+cci,macd,cci,PAIR,AUD_CAD,short,limit,B_pure,462,0.10058746046248074,0.04477012971555411,0.012838006219994688,16,False,,,,
macd+cci,macd,cci,PAIR,AUD_CAD,short,limit,BOTH,16,0.18239334283834174,0.24558093243655577,-0.2989452847373075,16,False,False,True,False,0.10332573267589869
bb+ema,bb,ema,PAIR,AUD_CAD,long,mid,A_all,346,0.08271577455592871,0.05174603781971157,-0.018706459570705963,111,True,,,,
bb+ema,bb,ema,PAIR,AUD_CAD,long,mid,B_all,296,0.053138575166028865,0.055766442589951525,-0.05616365231027612,111,True,,,,
bb+ema,bb,ema,PAIR,AUD_CAD,long,mid,A_pure,235,0.10491750012039214,0.06321731291144464,-0.01898843318603935,111,True,,,,
bb+ema,bb,ema,PAIR,AUD_CAD,long,mid,B_pure,185,0.06359444746532632,0.07108267741209152,-0.07572760026237306,111,True,,,,
bb+ema,bb,ema,PAIR,AUD_CAD,long,mid,BOTH,111,0.035712121333866476,0.09027516697925342,-0.14122720594547022,111,True,False,False,False,0.08271577455592871
bb+ema,bb,ema,PAIR,AUD_CAD,long,limit,A_all,251,0.05390950072580527,0.06117091400131633,-0.06598549071677473,78,True,,,,
bb+ema,bb,ema,PAIR,AUD_CAD,long,limit,B_all,221,0.0237478598644314,0.0651724021853469,-0.10399004841884851,78,True,,,,
bb+ema,bb,ema,PAIR,AUD_CAD,long,limit,A_pure,173,0.09635621120908423,0.07412343540483926,-0.04892572218440071,78,True,,,,
bb+ema,bb,ema,PAIR,AUD_CAD,long,limit,B_pure,143,0.05864767053869785,0.0817496355465215,-0.10158161513248429,78,True,,,,
bb+ema,bb,ema,PAIR,AUD_CAD,long,limit,BOTH,78,-0.04023512637172375,0.10819876747090448,-0.25230471061469656,78,True,False,False,False,0.05390950072580527
bb+ema,bb,ema,PAIR,AUD_CAD,short,mid,A_all,302,0.1169577929454324,0.05459103064076742,0.009959372889528265,104,True,,,,
bb+ema,bb,ema,PAIR,AUD_CAD,short,mid,B_all,273,0.1697806842692826,0.0577672207282129,0.05655693164198533,104,True,,,,
bb+ema,bb,ema,PAIR,AUD_CAD,short,mid,A_pure,198,0.0498646858633091,0.06728741268502503,-0.08201864299933996,104,True,,,,
bb+ema,bb,ema,PAIR,AUD_CAD,short,mid,B_pure,169,0.12368095347295127,0.07392045918316838,-0.021203146526058758,104,True,,,,
bb+ema,bb,ema,PAIR,AUD_CAD,short,mid,BOTH,104,0.24469274681332095,0.09252938528072972,0.0633351516630907,104,True,True,True,True,0.1697806842692826
bb+ema,bb,ema,PAIR,AUD_CAD,short,limit,A_all,226,0.12905899905494406,0.06373764457058655,0.0041332156965944306,76,True,,,,
bb+ema,bb,ema,PAIR,AUD_CAD,short,limit,B_all,205,0.23744491560344091,0.0661625254152928,0.10776636578946702,76,True,,,,
bb+ema,bb,ema,PAIR,AUD_CAD,short,limit,A_pure,150,0.04775376294905356,0.07794929204629909,-0.10502684946169266,76,True,,,,
bb+ema,bb,ema,PAIR,AUD_CAD,short,limit,B_pure,129,0.2067592120515199,0.08342184767887967,0.04325239060091576,76,True,,,,
bb+ema,bb,ema,PAIR,AUD_CAD,short,limit,BOTH,76,0.28952985979025425,0.10908565159844484,0.07572198265730237,76,True,True,True,True,0.23744491560344091
stoch+rsi,stoch,rsi,PAIR,AUD_CAD,long,mid,A_all,1655,0.040107960738971334,0.02381123115918626,-0.006562052333033738,402,True,,,,
stoch+rsi,stoch,rsi,PAIR,AUD_CAD,long,mid,B_all,664,0.01008634796575618,0.037599667942762365,-0.06360900120205805,402,True,,,,
stoch+rsi,stoch,rsi,PAIR,AUD_CAD,long,mid,A_pure,1253,0.048925418511174316,0.0274115215655236,-0.004801163757251939,402,True,,,,
stoch+rsi,stoch,rsi,PAIR,AUD_CAD,long,mid,B_pure,262,0.006191639010557203,0.06040335929384447,-0.11219894520537796,402,True,,,,
stoch+rsi,stoch,rsi,PAIR,AUD_CAD,long,mid,BOTH,402,0.012624690618149567,0.048094199176086004,-0.081639939766979,402,True,False,False,False,0.040107960738971334
stoch+rsi,stoch,rsi,PAIR,AUD_CAD,long,limit,A_all,609,0.0754989004841922,0.03901816822211347,-0.0009767092311502162,111,True,,,,
stoch+rsi,stoch,rsi,PAIR,AUD_CAD,long,limit,B_all,190,0.09980248935286955,0.06987947050764237,-0.0371612728421095,111,True,,,,
stoch+rsi,stoch,rsi,PAIR,AUD_CAD,long,limit,A_pure,498,0.07812019072589316,0.04332568707477207,-0.0067981559406601055,111,True,,,,
stoch+rsi,stoch,rsi,PAIR,AUD_CAD,long,limit,B_pure,79,0.15047465270464516,0.11099403508123887,-0.06707365605458301,111,True,,,,
stoch+rsi,stoch,rsi,PAIR,AUD_CAD,long,limit,BOTH,111,0.06373851723764186,0.09008709762265585,-0.11283219410276361,111,True,False,False,False,0.09980248935286955
stoch+rsi,stoch,rsi,PAIR,AUD_CAD,short,mid,A_all,1787,0.03189643286604156,0.022897576411081897,-0.012982816899678958,393,True,,,,
stoch+rsi,stoch,rsi,PAIR,AUD_CAD,short,mid,B_all,640,0.12445883127178008,0.03775109880666141,0.05046667761072372,393,True,,,,
stoch+rsi,stoch,rsi,PAIR,AUD_CAD,short,mid,A_pure,1394,-0.003155816994075285,0.02602680183589481,-0.05416834859242911,393,True,,,,
stoch+rsi,stoch,rsi,PAIR,AUD_CAD,short,mid,B_pure,247,0.07390897810761955,0.0617430718515344,-0.04710744272138788,393,True,,,,
stoch+rsi,stoch,rsi,PAIR,AUD_CAD,short,mid,BOTH,393,0.1562293496726647,0.04767551636231683,0.06278533760252371,393,True,True,True,True,0.12445883127178008
stoch+rsi,stoch,rsi,PAIR,AUD_CAD,short,limit,A_all,664,0.08045222418364047,0.037515400616024305,0.006922038976232836,114,True,,,,
stoch+rsi,stoch,rsi,PAIR,AUD_CAD,short,limit,B_all,185,0.22296694663789499,0.06883398976472288,0.08805232669903815,114,True,,,,
stoch+rsi,stoch,rsi,PAIR,AUD_CAD,short,limit,A_pure,550,0.035538872917847186,0.04147555965758474,-0.0457532240110189,114,True,,,,
stoch+rsi,stoch,rsi,PAIR,AUD_CAD,short,limit,B_pure,71,0.10387307570266575,0.11519356306490845,-0.1219063079045548,114,True,,,,
stoch+rsi,stoch,rsi,PAIR,AUD_CAD,short,limit,BOTH,114,0.29713944520281843,0.0852868289155259,0.12997726052838768,114,True,True,True,True,0.22296694663789499
stoch+atr,stoch,atr,PAIR,AUD_CAD,long,mid,A_all,1655,0.040107960738971334,0.02381123115918626,-0.006562052333033738,1059,True,,,,
stoch+atr,stoch,atr,PAIR,AUD_CAD,long,mid,B_all,4080,-0.018146742263600402,0.01519904169408876,-0.04793686398401437,1059,True,,,,
stoch+atr,stoch,atr,PAIR,AUD_CAD,long,mid,A_pure,596,0.055507285639087696,0.03961011592402349,-0.022128541571998346,1059,True,,,,
stoch+atr,stoch,atr,PAIR,AUD_CAD,long,mid,B_pure,3021,-0.03552963959536277,0.017660788615441143,-0.0701447852816274,1059,True,,,,
stoch+atr,stoch,atr,PAIR,AUD_CAD,long,mid,BOTH,1059,0.03144129630037889,0.02980650052602866,-0.026979444730637285,1059,True,False,False,False,0.040107960738971334
stoch+atr,stoch,atr,PAIR,AUD_CAD,long,limit,A_all,609,0.0754989004841922,0.03901816822211347,-0.0009767092311502162,292,True,,,,
stoch+atr,stoch,atr,PAIR,AUD_CAD,long,limit,B_all,1177,0.06072126836376096,0.028264820665042687,0.005322219860277297,292,True,,,,
stoch+atr,stoch,atr,PAIR,AUD_CAD,long,limit,A_pure,317,0.05432280675325345,0.05417855928117869,-0.05186716943785678,292,True,,,,
stoch+atr,stoch,atr,PAIR,AUD_CAD,long,limit,B_pure,885,0.04826037537859316,0.03268673300865575,-0.01580562131837212,292,True,,,,
stoch+atr,stoch,atr,PAIR,AUD_CAD,long,limit,BOTH,292,0.09848801593867021,0.05630425155174921,-0.011868317102758236,292,True,False,True,False,0.0754989004841922
stoch+atr,stoch,atr,PAIR,AUD_CAD,short,mid,A_all,1787,0.03189643286604156,0.022897576411081897,-0.012982816899678958,1138,True,,,,
stoch+atr,stoch,atr,PAIR,AUD_CAD,short,mid,B_all,4027,0.006054288421970089,0.015299327196061335,-0.023932392882310128,1138,True,,,,
stoch+atr,stoch,atr,PAIR,AUD_CAD,short,mid,A_pure,649,0.02373524651525264,0.037891194013243285,-0.0505314937507042,1138,True,,,,
stoch+atr,stoch,atr,PAIR,AUD_CAD,short,mid,B_pure,2889,-0.0059585085039611345,0.018068716765472996,-0.0413731933642882,1138,True,,,,
stoch+atr,stoch,atr,PAIR,AUD_CAD,short,mid,BOTH,1138,0.03655074740177267,0.02874968812376989,-0.01979864132081631,1138,True,False,True,False,0.03189643286604156
stoch+atr,stoch,atr,PAIR,AUD_CAD,short,limit,A_all,664,0.08045222418364047,0.037515400616024305,0.006922038976232836,306,True,,,,
stoch+atr,stoch,atr,PAIR,AUD_CAD,short,limit,B_all,1207,0.046900518577499016,0.027934572830724144,-0.007851244170720306,306,True,,,,
stoch+atr,stoch,atr,PAIR,AUD_CAD,short,limit,A_pure,358,0.055521399711193964,0.051486895807730075,-0.04539291607195699,306,True,,,,
stoch+atr,stoch,atr,PAIR,AUD_CAD,short,limit,B_pure,901,0.025599678314885122,0.032451955885224114,-0.038006155220154145,306,True,,,,
stoch+atr,stoch,atr,PAIR,AUD_CAD,short,limit,BOTH,306,0.10961965935075103,0.054802668650016824,0.002206428796718063,306,True,True,True,True,0.08045222418364047
macd+stoch,macd,stoch,PAIR,AUD_JPY,long,mid,A_all,972,0.056103439726604004,0.03191731386774875,-0.0064544954541835425,73,True,,,,
macd+stoch,macd,stoch,PAIR,AUD_JPY,long,mid,B_all,1508,0.032792940283501604,0.025658447753721822,-0.017497617313793165,73,True,,,,
macd+stoch,macd,stoch,PAIR,AUD_JPY,long,mid,A_pure,899,0.0684455432861614,0.0331530054834429,0.0034656525386133064,73,True,,,,
macd+stoch,macd,stoch,PAIR,AUD_JPY,long,mid,B_pure,1435,0.039339201357157086,0.02629259761615051,-0.012194289970497915,73,True,,,,
macd+stoch,macd,stoch,PAIR,AUD_JPY,long,mid,BOTH,73,-0.0958904109589041,0.1173080600791336,-0.3258142087140059,73,True,False,False,False,0.056103439726604004
macd+stoch,macd,stoch,PAIR,AUD_JPY,long,limit,A_all,254,0.09171457034399283,0.06249095467328565,-0.030767700815647045,14,False,,,,
macd+stoch,macd,stoch,PAIR,AUD_JPY,long,limit,B_all,535,-0.00042032927795376216,0.0430662067004479,-0.08483009441083164,14,False,,,,
macd+stoch,macd,stoch,PAIR,AUD_JPY,long,limit,A_pure,240,0.10539792028072575,0.06420053729114523,-0.020435132809918904,14,False,,,,
macd+stoch,macd,stoch,PAIR,AUD_JPY,long,limit,B_pure,521,0.0034071474784927776,0.043636163139914426,-0.0821197322757395,14,False,,,,
macd+stoch,macd,stoch,PAIR,AUD_JPY,long,limit,BOTH,14,-0.14285714285714285,0.2745054065230065,-0.6808877396422355,14,False,False,False,False,0.09171457034399283
macd+stoch,macd,stoch,PAIR,AUD_JPY,short,mid,A_all,972,-0.009146214384550926,0.031925043451452896,-0.0717192995493986,110,True,,,,
macd+stoch,macd,stoch,PAIR,AUD_JPY,short,mid,B_all,1993,-0.05866786377114567,0.02223768964547313,-0.102253735476273,110,True,,,,
macd+stoch,macd,stoch,PAIR,AUD_JPY,short,mid,A_pure,862,-0.022268790373926685,0.033883894489304234,-0.08868122357296299,110,True,,,,
macd+stoch,macd,stoch,PAIR,AUD_JPY,short,mid,B_pure,1883,-0.06756804536188775,0.02286068929639056,-0.11237499638281326,110,True,,,,
macd+stoch,macd,stoch,PAIR,AUD_JPY,short,mid,BOTH,110,0.09368706291401177,0.09513465465903927,-0.09277686021770518,110,True,False,True,False,-0.009146214384550926
macd+stoch,macd,stoch,PAIR,AUD_JPY,short,limit,A_all,247,-0.07139970905425765,0.06339449986987605,-0.1956529287992147,11,False,,,,
macd+stoch,macd,stoch,PAIR,AUD_JPY,short,limit,B_all,795,-0.08406045015473629,0.03509703180274937,-0.15285063248812505,11,False,,,,
macd+stoch,macd,stoch,PAIR,AUD_JPY,short,limit,A_pure,236,-0.07896494973051542,0.06481432698621324,-0.20600103062349334,11,False,,,,
macd+stoch,macd,stoch,PAIR,AUD_JPY,short,limit,B_pure,784,-0.08651537994007061,0.03533136207215954,-0.1557648496015033,11,False,,,,
macd+stoch,macd,stoch,PAIR,AUD_JPY,short,limit,BOTH,11,0.09090909090909091,0.3149183286488867,-0.526330833242727,11,False,False,True,False,-0.07139970905425765
macd+rsi,macd,rsi,PAIR,AUD_JPY,long,mid,A_all,972,0.056103439726604004,0.03191731386774875,-0.0064544954541835425,55,True,,,,
macd+rsi,macd,rsi,PAIR,AUD_JPY,long,mid,B_all,591,-0.008460236886632826,0.04116787509268794,-0.0891492720683012,55,True,,,,
macd+rsi,macd,rsi,PAIR,AUD_JPY,long,mid,A_pure,917,0.06492098518457917,0.0328361754676963,0.0005620812678944209,55,True,,,,
macd+rsi,macd,rsi,PAIR,AUD_JPY,long,mid,B_pure,536,0.0,0.04323377011671169,-0.0847381894287549,55,True,,,,
macd+rsi,macd,rsi,PAIR,AUD_JPY,long,mid,BOTH,55,-0.09090909090909091,0.1355192713636236,-0.35652686278179313,55,True,False,False,False,0.056103439726604004
macd+rsi,macd,rsi,PAIR,AUD_JPY,long,limit,A_all,254,0.09171457034399283,0.06249095467328565,-0.030767700815647045,15,False,,,,
macd+rsi,macd,rsi,PAIR,AUD_JPY,long,limit,B_all,187,-0.0065025395446068075,0.0732464269152634,-0.15006553629852307,15,False,,,,
