status,pnl_pct,days_held,symbol,score_date
stopped_out,-3.0000000000000027,4,MET,2026-02-13
stopped_out,-3.0000000000000138,5,FHN,2026-02-13
stopped_out,-3.0000000000000138,10,GSSC,2026-02-13
stopped_out,-3.0000000000000027,6,EDU,2026-02-13
stopped_out,-3.0000000000000027,5,MSBI,2026-02-13
success,5.000000000000004,10,LQDT,2026-02-13
stopped_out,-4.92362982929021,10,EWI,2026-02-13
stopped_out,-3.0000000000000027,4,HOMB,2026-02-13
success,5.000000000000004,0,FRPT,2026-02-13
stopped_out,-3.0000000000000027,4,MBUU,2026-02-13
success,5.3840631730079025,13,BTAL,2026-02-17
success,5.000000000000004,3,EPU,2026-02-17
stopped_out,-3.747628083491461,9,TLK,2026-02-17
stopped_out,-3.0000000000000027,2,AMH,2026-02-17
success,5.000000000000004,7,REPX,2026-02-17
success,5.000000000000004,5,BAP,2026-02-17
stopped_out,-3.0000000000000027,9,RDVY,2026-02-17
stopped_out,-5.437274811660664,9,PUK,2026-02-17
stopped_out,-3.2011298105213637,8,RY,2026-02-17
success,5.000000000000004,13,PSO,2026-02-17
stopped_out,-3.0000000000000027,2,BK,2026-02-18
stopped_out,-5.73463268365818,7,CQQQ,2026-02-18
stopped_out,-2.9999999999999916,9,STZ,2026-02-18
stopped_out,-3.0000000000000027,11,ISRG,2026-02-18
stopped_out,-3.0000000000000138,6,BMI,2026-02-18
success,5.000000000000004,5,PFG,2026-02-18
stopped_out,-3.0000000000000027,4,UHAL,2026-02-18
stopped_out,-3.0000000000000027,4,DORM,2026-02-18
success,5.000000000000004,3,AVS,2026-02-18
stopped_out,-3.0000000000000027,2,ABNB,2026-02-18
stopped_out,-3.0000000000000027,11,AXS,2026-02-19
stopped_out,-3.0000000000000027,1,ZION,2026-02-19
stopped_out,-3.0000000000000027,2,NCDL,2026-02-19
stopped_out,-3.0000000000000027,0,TGS,2026-02-19
success,5.000000000000004,4,EBAY,2026-02-19
stopped_out,-3.0000000000000027,0,CMC,2026-02-19
success,5.000000000000004,0,FLG,2026-02-19
stopped_out,-2.9999999999999916,1,WAL,2026-02-19
stopped_out,-3.0000000000000027,3,LKQ,2026-02-19
stopped_out,-3.0000000000000027,3,MHK,2026-02-19
stopped_out,-2.9999999999999916,1,CPNG,2026-02-20
success,5.000000000000004,5,DOW,2026-02-20
stopped_out,-3.0000000000000027,4,WB,2026-02-20
