status,pnl_pct,days_held,symbol,score_date,bh_entry
time_profit,0.9604869531693039,6,DYLG,2026-02-13,27.03836319018059
time_profit,0.9461869618696106,6,AUGW,2026-02-13,32.543372960198155
time_loss,-0.36778024056142167,6,IBND,2026-02-13,32.62062295430594
no_fill,0.0,0,HBB,2026-02-13,18.633526893830677
no_fill,0.0,0,GLV,2026-02-13,6.246141663739425
no_fill,0.0,0,ETEC,2026-02-13,28.13128088605915
success,3.0000000000000027,2,DRLL,2026-02-13,33.74435703786801
no_fill,0.0,0,SOHU,2026-02-13,15.789718162226173
no_fill,0.0,0,DBEU,2026-02-13,49.90833374249882
time_profit,0.04786204732578625,6,VEMY,2026-02-13,28.621301259246046
time_profit,0.6467142097912326,6,SCHQ,2026-02-17,32.41932247471629
no_fill,0.0,0,AIT,2026-02-17,274.1197190600086
success,3.0000000000000027,4,AIPO,2026-02-17,25.888395850566614
time_profit,0.7077452724038924,6,BDC,2026-02-17,146.17237194797755
no_fill,0.0,0,DFAS,2026-02-17,75.27866584463077
no_fill,0.0,0,DLN,2026-02-17,92.88816526939115
no_fill,0.0,0,TKR,2026-02-17,105.24464007814845
time_profit,1.041402082804166,6,WTRG,2026-02-17,39.5036138087268
time_loss,-0.8809226130283787,6,AGO,2026-02-17,87.46358363693172
time_profit,0.46255167305699896,6,VMBS,2026-02-17,47.50206656979858
success,3.0000000000000027,5,GME,2026-02-18,23.679528855116796
stopped_out,-4.0000000000000036,4,SPXC,2026-02-18,240.79269123162047
success,3.0000000000000027,3,HTHT,2026-02-18,53.14357185024682
time_profit,2.7451401975539635,6,TSN,2026-02-18,63.66939382173828
no_fill,0.0,0,LNG,2026-02-18,223.48139494054374
success,3.0000000000000027,2,ADC,2026-02-18,76.5302062143196
success,3.28425821064553,4,EXEL,2026-02-18,44.32140517500987
stopped_out,-4.0000000000000036,4,SSD,2026-02-18,203.06688074994452
success,3.0000000000000027,1,OUT,2026-02-18,25.016519346228996
stopped_out,-4.0000000000000036,0,LNC,2026-02-18,41.565128649051985
time_profit,0.1467498870212136,6,CR,2026-02-19,204.54971137598824
success,3.0000000000000027,5,ES,2026-02-19,73.57676140215307
time_profit,0.4975297665881895,6,UDR,2026-02-19,37.26459753486476
success,3.0210746904959063,4,CFFI,2026-02-19,75.27003164771287
time_profit,0.17369846471557704,6,BSTZ,2026-02-19,22.965135290047293
success,3.0000000000000027,3,BMO,2026-02-19,143.42717037949313
success,3.0000000000000027,0,HROW,2026-02-19,50.696209417802834
success,3.3447009443861697,6,BP,2026-02-19,38.904385303846084
no_fill,0.0,0,FGBI,2026-02-19,9.089026822594764
no_fill,0.0,0,CTBI,2026-02-19,61.646839927890824
success,3.233279173220338,4,PBFS,2026-02-20,14.28802816120006
success,3.0000000000000027,0,ENR,2026-02-20,22.252134030964424
stopped_out,-4.0000000000000036,0,USB,2026-02-20,58.59349828008527
success,3.0000000000000027,1,AMX,2026-02-20,24.02699220134317
stopped_out,-4.0000000000000036,0,SSB,2026-02-20,105.31019983594454
success,3.6078949184474185,0,LINC,2026-02-20,29.920499807858214
success,3.0000000000000027,0,NE,2026-02-20,45.33597270927582
time_loss,-0.30975755295334917,6,BRCE,2026-02-20,26.529846532129945
stopped_out,-4.387264123237733,5,HLT,2026-02-20,315.27743500081607
stopped_out,-15.564424173318125,1,AXGN,2026-02-20,35.13443597631785
success,3.0000000000000027,2,PGNY,2026-02-23,21.133790713561023
stopped_out,-4.000000000000014,0,FUTU,2026-02-23,144.58450565012222
no_fill,0.0,0,SIGA,2026-02-23,6.662679209455093
success,3.0000000000000027,3,SD,2026-02-23,16.898007064184185
no_fill,0.0,0,IMAX,2026-02-23,36.529918843331615
stopped_out,-4.000000000000014,0,PTLO,2026-02-23,5.7363068141131315
no_fill,0.0,0,CUK,2026-02-23,29.85859408966218
success,3.1598737936178622,2,TRMK,2026-02-23,42.60571323296748
no_fill,0.0,0,ATS,2026-02-23,31.721477016188537
no_fill,0.0,0,ANSS,2026-02-23,372.36690560920516
no_fill,0.0,0,RZC,2026-02-24,25.546752605103656
no_fill,0.0,0,NGG,2026-02-24,92.08152512018758
success,3.0000000000000027,5,SAR,2026-02-24,23.00405339626909
stopped_out,-4.000000000000014,6,COO,2026-02-24,83.17882029408187
stopped_out,-4.0000000000000036,0,NOMD,2026-02-24,12.906303267978371
stopped_out,-6.484834766862835,4,DEO,2026-02-24,101.71072673047463
time_loss,-0.35510933735789507,6,ADAMG,2026-02-24,25.297751346574216
stopped_out,-4.0000000000000036,4,RDY,2026-02-24,14.685317524322127
no_fill,0.0,0,CCZ,2026-02-24,64.2695627057448
time_loss,-0.6571054210210536,6,PMTU,2026-02-24,25.72953853222857
success,3.0000000000000027,1,JBS,2026-02-25,16.277211706164486
success,3.0000000000000027,1,CPK,2026-02-25,133.59359074673154
no_fill,0.0,0,JHG,2026-02-25,49.97186638704533
no_fill,0.0,0,INGR,2026-02-25,115.57114567023487
no_fill,0.0,0,DUK,2026-02-25,128.16397533908494
stopped_out,-4.08034730080532,5,TT,2026-02-25,457.7481127636384
no_fill,0.0,0,FE,2026-02-25,50.312850157153534
time_loss,-0.45294413688977686,6,VICI,2026-02-25,30.07854834872242
stopped_out,-4.0000000000000036,6,UE,2026-02-25,20.91172355175679
stopped_out,-4.0000000000000036,3,TAK,2026-02-25,18.517195385433084
stopped_out,-4.0000000000000036,0,BCO,2026-02-26,135.41181177301203
time_loss,-0.5671108286255611,6,SWX,2026-02-26,88.21024987902159
success,3.0000000000000027,3,TTC,2026-02-26,98.28302651548655
time_profit,0.10237820388931951,6,CTO,2026-02-26,19.489810920312028
stopped_out,-4.0000000000000036,0,RNA,2026-02-26,72.69811887544867
time_profit,0.6086916153356547,6,EXAS,2026-02-26,103.08254519055053
stopped_out,-4.453307636026205,1,CSWC,2026-02-26,22.56579951005062
no_fill,0.0,0,PBOG,2026-02-26,30.18862850488587
stopped_out,-4.677760968229949,2,MMM,2026-02-26,165.34778406563098
no_fill,0.0,0,FTS,2026-02-26,56.54214373881404
stopped_out,-4.0000000000000036,3,WAB,2026-02-27,262.02904785908316
time_loss,-3.273185060847661,6,HWCPZ,2026-02-27,24.011143869938724
time_loss,-0.524773107612142,6,SR,2026-02-27,91.23500448922938
stopped_out,-4.0000000000000036,5,EPR,2026-02-27,58.922477339654264
time_loss,-1.037729639762508,6,CSR,2026-02-27,62.377307811647356
stopped_out,-4.000000000000014,4,ITW,2026-02-27,288.63020311905296
success,3.0000000000000027,0,ARI,2026-02-27,10.526270363092074
no_fill,0.0,0,EWCZ,2026-02-27,5.653880851454516
success,3.0000000000000027,6,AHR,2026-02-27,51.98097134463494
stopped_out,-4.0000000000000036,4,IEX,2026-02-27,207.7929747318029
no_fill,0.0,0,E,2026-03-06,47.59569050953766
no_fill,0.0,0,CGCT,2026-03-06,10.255757294381532
time_profit,0.0950570342205248,6,ALDF,2026-03-06,10.546253366246967
no_fill,0.0,0,PACH,2026-03-06,10.162082328599656
stopped_out,-4.0000000000000036,4,SAR,2026-03-06,23.114029507481543
no_fill,0.0,0,MCTA,2026-03-06,29.348582227578575
no_fill,0.0,0,CQP,2026-03-06,62.352604473024535
time_loss,-0.2596928910747587,6,KMI,2026-03-06,33.35662478326462
no_fill,0.0,0,FOLD,2026-03-06,14.316925554012158
time_loss,-0.5014009422157573,6,DTB,2026-03-06,17.377129088982205
time_loss,-3.8405311567277667,6,MCD,2026-03-09,329.6259312620953
no_fill,0.0,0,FUND,2026-03-09,9.664847813952811
no_fill,0.0,0,RDY,2026-03-09,14.295277793349829
no_fill,0.0,0,VCIC,2026-03-09,10.624600891092774
stopped_out,-3.9999999999999925,2,BKH,2026-03-09,71.94315493832211
stopped_out,-5.206075665858057,5,COR,2026-03-09,358.6727761175113
no_fill,0.0,0,PBA,2026-03-09,44.2634454203776
time_profit,0.09724855355055517,6,IPCX,2026-03-09,10.182793023373334
success,3.7342327404448206,4,SR,2026-03-09,91.47535901888945
no_fill,0.0,0,VACI,2026-03-09,9.888114469242517
no_fill,0.0,0,OYSE,2026-03-10,10.218981806382446
no_fill,0.0,0,SVAC,2026-03-10,10.126302398886013
success,3.0000000000000027,2,EXC,2026-03-10,48.81533376581602
time_loss,-3.4248335222231363,6,IRT,2026-03-10,16.09109315237468
stopped_out,-4.0000000000000036,6,EPR,2026-03-10,57.22461376534737
time_profit,0.18007202881153983,6,ECCX,2026-03-10,25.0090460988308
no_fill,0.0,0,CGABL,2026-03-10,17.460417383312222
time_loss,-1.1506943689824967,6,TRV,2026-03-10,300.2954832156715
stopped_out,-4.0000000000000036,5,GSK,2026-03-10,55.06746382138629
time_loss,-1.7836523440153185,6,XEL,2026-03-10,81.34647630466618
no_fill,0.0,0,APXT,2026-03-11,9.945813838997008
stopped_out,-4.0000000000000036,6,PLD,2026-03-11,132.76814774446365
no_fill,0.0,0,AGNCM,2026-03-11,24.803139543718075
no_fill,0.0,0,AVA,2026-03-11,38.63450511929108
success,3.0000000000000027,0,BKH,2026-03-11,69.28315542694196
no_fill,0.0,0,LPBB,2026-03-11,10.547442143411644
time_loss,0.0,6,BLUW,2026-03-11,10.349469501662117
no_fill,0.0,0,NGG,2026-03-11,89.36858806203622
success,3.0000000000000027,1,WELL,2026-03-11,203.76107089367937
no_fill,0.0,0,KCHV,2026-03-11,10.24097492356326
time_profit,0.37278657968311535,6,ALF,2026-03-12,10.736461407317277
no_fill,0.0,0,ESNT,2026-03-12,57.20262607956725
no_fill,0.0,0,EQR,2026-03-12,59.53835036546258
no_fill,0.0,0,LAMR,2026-03-12,132.80596176640196
no_fill,0.0,0,GGG,2026-03-12,85.91800393560564
no_fill,0.0,0,ZEUS,2026-03-12,47.60114187271612
