status,pnl_pct,days_held,symbol,score_date
success,5.2631578947368585,1,ZXZZT,2026-02-12
time_loss,0.0,13,TCBC,2026-02-12
time_loss,0.0,13,TFINP,2026-02-12
time_loss,0.0,13,UMBFP,2026-02-12
stopped_out,-2.9126213592232997,3,LIN,2026-02-13
stopped_out,-9.657494054788607,1,MSGS,2026-02-13
stopped_out,-2.9126213592232997,1,ET,2026-02-13
stopped_out,-2.9126213592232997,0,LPG,2026-02-13
stopped_out,-2.9126213592232997,1,INSW,2026-02-13
stopped_out,-2.912621359223311,1,FET,2026-02-13
stopped_out,-6.587686795448211,1,FRO,2026-02-13
stopped_out,-2.9126213592232997,10,HTO,2026-02-13
stopped_out,-3.8758620689655188,9,MLPX,2026-02-13
stopped_out,-2.912621359223311,8,KMI,2026-02-13
stopped_out,-3.11982982746396,8,PAA,2026-02-17
stopped_out,-2.9126213592232997,2,CMBT,2026-02-17
stopped_out,-2.9126213592232997,0,WT,2026-02-17
success,5.2631578947368585,5,RTX,2026-02-17
stopped_out,-2.912621359223311,2,SBLK,2026-02-17
stopped_out,-4.241516966067849,5,PSTL,2026-02-17
stopped_out,-2.9126213592232997,7,AQN,2026-02-17
stopped_out,-2.912621359223311,0,BLBD,2026-02-17
stopped_out,-2.9126213592232997,2,ASO,2026-02-17
stopped_out,-2.912621359223311,0,BWMX,2026-02-17
stopped_out,-2.912621359223311,6,PR,2026-02-18
stopped_out,-2.9126213592232997,1,ADI,2026-02-18
success,5.2631578947368585,5,CVE,2026-02-18
stopped_out,-2.912621359223311,3,CHD,2026-02-18
stopped_out,-2.9126213592232997,2,XES,2026-02-18
stopped_out,-2.9126213592232997,0,ESI,2026-02-18
success,5.2631578947368585,4,APA,2026-02-18
stopped_out,-4.720991227276839,7,WFRD,2026-02-18
success,5.263157894736836,3,MTB,2026-02-18
success,5.263157894736836,3,FANG,2026-02-18
success,5.263157894736836,3,LHX,2026-02-19
stopped_out,-2.9126213592232997,5,NTR,2026-02-19
stopped_out,-2.9126213592232997,6,HII,2026-02-19
success,5.263157894736836,4,WHD,2026-02-19
success,5.263157894736836,9,ATS,2026-02-19
stopped_out,-2.9126213592232997,5,CTVA,2026-02-19
stopped_out,-2.9126213592232997,3,AXIA,2026-02-19
stopped_out,-2.912621359223311,6,SU,2026-02-19
stopped_out,-2.912621359223311,4,VTOL,2026-02-19
stopped_out,-2.9126213592232997,5,CHRD,2026-02-19
stopped_out,-3.0452674897119336,2,KDEF,2026-02-20
success,5.2631578947368585,2,XPO,2026-02-20
stopped_out,-2.9126213592232997,0,MAMA,2026-02-20
stopped_out,-2.9126213592232997,2,OCS,2026-02-20
stopped_out,-2.912621359223311,1,KMT,2026-02-20
time_profit,0.25889967637540146,13,DBMF,2026-02-20
success,5.263157894736836,0,XP,2026-02-20
stopped_out,-2.912621359223311,1,FCX,2026-02-20
stopped_out,-2.912621359223311,1,TER,2026-02-20
stopped_out,-2.9126213592232997,3,E,2026-02-20
success,5.263157894736836,10,MDLZ,2026-02-23
success,5.263157894736836,0,BOOM,2026-02-23
success,5.922165820642977,2,ACAD,2026-02-23
stopped_out,-11.069698273443207,2,PRMB,2026-02-23
stopped_out,-2.912621359223311,1,OUT,2026-02-23
stopped_out,-2.9126213592232997,2,BCPC,2026-02-23
stopped_out,-5.60401631628491,4,XOM,2026-02-23
stopped_out,-2.9126213592232997,1,VMD,2026-02-23
stopped_out,-2.912621359223311,0,DNLI,2026-02-23
success,5.2631578947368585,2,GOLF,2026-02-23
stopped_out,-2.912621359223311,3,BWXT,2026-02-24
stopped_out,-2.9126213592232997,1,BCO,2026-02-24
success,5.263157894736836,5,AOS,2026-02-24
stopped_out,-2.912621359223311,0,DRTS,2026-02-24
success,5.263157894736836,4,PHG,2026-02-24
success,5.2631578947368585,6,MSA,2026-02-24
time_profit,3.985841128383183,12,FTCS,2026-02-24
stopped_out,-2.9126213592232997,1,IPI,2026-02-24
time_profit,0.20790020790022457,13,GNL,2026-02-24
stopped_out,-2.912621359223311,2,BIPC,2026-02-24
stopped_out,-2.9126213592232997,1,ERIC,2026-02-25
success,7.255645730416371,3,TM,2026-02-25
success,5.300731750847754,5,GSK,2026-02-25
success,5.2631578947368585,3,RGA,2026-02-25
success,5.263157894736836,6,STEL,2026-02-25
time_profit,3.858267716535435,13,GL,2026-02-25
time_loss,-2.342158859470478,13,GNL,2026-02-25
success,5.2631578947368585,5,ASGI,2026-02-25
stopped_out,-2.9126213592232997,0,BCO,2026-02-25
success,5.2631578947368585,6,BALL,2026-02-25
stopped_out,-2.912621359223311,2,NJR,2026-02-26
success,5.2631578947368585,4,EPR,2026-02-26
success,8.637469586374703,1,CUK,2026-02-26
stopped_out,-4.062500000000002,5,WSR,2026-02-26
success,5.263157894736836,3,UPS,2026-02-26
success,5.263157894736836,4,BALL,2026-02-26
success,8.769497400346605,1,CCL,2026-02-26
success,5.2631578947368585,2,BNS,2026-02-26
stopped_out,-2.912621359223311,0,TRS,2026-02-26
stopped_out,-2.9126213592232997,0,TKO,2026-02-26
success,5.2631578947368585,1,CCEP,2026-02-27
time_profit,3.1297641467132875,13,RSG,2026-02-27
success,5.267436189237529,4,TSN,2026-02-27
success,5.32386019689679,3,PG,2026-02-27
stopped_out,-2.912621359223311,0,RCI,2026-02-27
time_profit,3.567658855815936,13,OGE,2026-02-27
time_profit,1.6540317022742945,13,KRP,2026-02-27
success,5.396433258704558,13,LAMR,2026-02-27
stopped_out,-2.912621359223311,11,QSR,2026-02-27
success,5.263157894736836,2,AMCR,2026-02-27
stopped_out,-2.9126213592232997,2,PAA,2026-03-02
success,5.27692307692309,12,MO,2026-03-02
stopped_out,-2.912621359223311,0,LPTH,2026-03-02
stopped_out,-7.448338106622698,1,ROST,2026-03-02
stopped_out,-2.912621359223311,10,XOM,2026-03-02
success,5.263157894736836,1,SLB,2026-03-02
stopped_out,-2.912621359223311,3,CERY,2026-03-02
success,5.2631578947368585,0,SA,2026-03-02
time_profit,2.3744999354755603,13,TJX,2026-03-02
success,5.263157894736836,12,MCD,2026-03-02
stopped_out,-2.9126213592232997,0,PAA,2026-03-03
success,5.263157894736836,10,MO,2026-03-03
time_profit,2.2428115015974415,13,TJX,2026-03-03
stopped_out,-2.912621359223311,1,CTAS,2026-03-03
success,5.263157894736836,11,MCD,2026-03-03
stopped_out,-2.9126213592232997,7,XOM,2026-03-03
time_profit,0.5597165516917801,13,ROST,2026-03-03
stopped_out,-2.912621359223311,1,ADBE,2026-03-03
stopped_out,-3.6047234307022946,2,RWM,2026-03-03
stopped_out,-2.9126213592232997,4,CBL,2026-03-03
stopped_out,-2.912621359223311,3,AXIA,2026-03-04
success,5.2631578947368585,0,OLMA,2026-03-04
time_loss,-2.2082020389249446,13,ROST,2026-03-04
success,5.263157894736836,0,ELVA,2026-03-04
success,5.263157894736836,1,BCYC,2026-03-04
success,5.2631578947368585,0,LPTH,2026-03-04
success,5.263157894736836,0,IREN,2026-03-04
stopped_out,-2.912621359223311,1,SBGI,2026-03-04
success,5.263157894736836,0,ARMG,2026-03-04
success,5.2631578947368585,2,COLM,2026-03-04
time_profit,0.07538635506973979,5,BUG,2026-03-05
stopped_out,-2.912621359223311,6,XOM,2026-03-05
stopped_out,-2.924187725631766,1,INVX,2026-03-05
success,5.2631578947368585,4,AFRM,2026-03-05
success,5.263157894736836,1,RCS,2026-03-05
time_loss,-2.1289537712895434,5,RWM,2026-03-05
stopped_out,-2.9126213592232997,2,CBL,2026-03-05
stopped_out,-2.912621359223311,0,SBGI,2026-03-05
success,5.2631578947368585,2,CTAS,2026-03-05
success,12.562248995983927,5,ADBE,2026-03-05
success,6.720847411195319,13,NTES,2026-03-06
success,5.263157894736836,1,SD,2026-03-06
stopped_out,-2.9126213592232997,1,JD,2026-03-06
stopped_out,-2.912621359223311,0,WGS,2026-03-06
stopped_out,-2.912621359223311,0,XPEV,2026-03-06
success,5.2631578947368585,2,BBOT,2026-03-06
success,5.2631578947368585,9,OHI,2026-03-06
success,5.263157894736836,0,PSNY,2026-03-06
success,5.2631578947368585,9,CTO,2026-03-06
stopped_out,-2.9126213592232997,0,SVACW,2026-03-06
stopped_out,-2.912621359223311,0,UGP,2026-03-09
stopped_out,-3.165735567970207,2,ICL,2026-03-09
stopped_out,-2.9126213592232997,0,CLPT,2026-03-09
stopped_out,-2.9126213592232997,0,JBIO,2026-03-09
stopped_out,-2.912621359223311,0,VSEC,2026-03-09
stopped_out,-2.912621359223311,11,LAUR,2026-03-09
time_loss,-0.8234217749313766,13,KW,2026-03-09
stopped_out,-2.9126213592232997,12,RPRX,2026-03-09
time_profit,2.483201869704943,13,CGABL,2026-03-09
stopped_out,-2.912621359223311,0,CRESY,2026-03-09
stopped_out,-2.9126213592232997,0,BG,2026-03-10
success,5.263157894736836,0,BIOA,2026-03-10
stopped_out,-2.912621359223311,0,PBF,2026-03-10
success,5.263157894736836,1,UEC,2026-03-10
stopped_out,-2.9126213592232997,0,SEDG,2026-03-10
success,5.2631578947368585,2,NMG,2026-03-10
stopped_out,-2.912621359223311,0,NVEC,2026-03-10
stopped_out,-2.912621359223311,1,GDS,2026-03-10
stopped_out,-2.9126213592232997,0,GRDN,2026-03-10
success,5.2631578947368585,3,PRTC,2026-03-10
stopped_out,-2.9126213592232997,0,LI,2026-03-11
stopped_out,-2.912621359223311,1,JOYY,2026-03-11
stopped_out,-2.9126213592232997,0,MOS,2026-03-11
success,5.2631578947368585,1,FNV,2026-03-11
stopped_out,-2.9126213592232997,1,CORZ,2026-03-11
stopped_out,-2.912621359223311,1,AOSL,2026-03-11
stopped_out,-2.9126213592232997,2,BSTZ,2026-03-11
stopped_out,-2.9126213592232997,0,MGM,2026-03-11
stopped_out,-2.9126213592232997,0,SHMD,2026-03-11
stopped_out,-2.9126213592232997,0,VIST,2026-03-11
stopped_out,-2.9126213592232997,0,ABVX,2026-03-12
success,5.2631578947368585,4,ICL,2026-03-12
stopped_out,-2.912621359223311,12,DKS,2026-03-12
success,5.2631578947368585,5,CTRE,2026-03-12
success,5.263157894736836,4,HAS,2026-03-12
success,5.263157894736836,3,MTLS,2026-03-12
success,5.753414860902506,4,APD,2026-03-12
time_loss,-0.18185124568103062,13,NJR,2026-03-12
success,5.263157894736836,3,CCEP,2026-03-12
success,5.263157894736836,4,AEP,2026-03-12
time_loss,-2.8056112224449037,13,BGC,2026-03-13
stopped_out,-2.9126213592232997,0,GLXY,2026-03-13
stopped_out,-2.9126213592232997,0,BMNR,2026-03-13
stopped_out,-2.9126213592232997,4,NYT,2026-03-13
stopped_out,-2.912621359223311,1,WMK,2026-03-13
success,5.2631578947368585,2,TMUS,2026-03-13
success,5.263157894736836,4,MO,2026-03-13
success,5.263157894736836,3,CSX,2026-03-16
