status,pnl_pct,days_held,symbol,score_date
success,5.2631578947368585,4,MET,2026-02-13
stopped_out,-2.912621359223311,4,FHN,2026-02-13
time_profit,4.6507319861542,13,GSSC,2026-02-13
stopped_out,-2.912621359223311,3,EDU,2026-02-13
stopped_out,-2.9126213592232997,1,MSBI,2026-02-13
stopped_out,-2.912621359223311,1,LQDT,2026-02-13
stopped_out,-2.94733170561563,4,EWI,2026-02-13
success,5.2631578947368585,8,HOMB,2026-02-13
stopped_out,-2.9126213592232997,0,FRPT,2026-02-13
success,5.263157894736836,6,MBUU,2026-02-13
stopped_out,-2.9126213592232997,9,BTAL,2026-02-17
stopped_out,-2.9126213592232997,2,EPU,2026-02-17
stopped_out,-2.9126213592232997,6,TLK,2026-02-17
success,5.263157894736836,2,AMH,2026-02-17
stopped_out,-2.9126213592232997,1,REPX,2026-02-17
stopped_out,-2.912621359223311,0,BAP,2026-02-17
success,5.263157894736836,13,RDVY,2026-02-17
stopped_out,-2.9126213592232997,3,PUK,2026-02-17
success,5.2631578947368585,12,RY,2026-02-17
stopped_out,-2.9126213592232997,6,PSO,2026-02-17
stopped_out,-2.9126213592232997,5,BK,2026-02-18
success,6.08349900596421,7,CQQQ,2026-02-18
stopped_out,-2.9126213592232997,2,STZ,2026-02-18
stopped_out,-2.9126213592232997,5,ISRG,2026-02-18
stopped_out,-2.912621359223311,0,BMI,2026-02-18
stopped_out,-2.9126213592232997,1,PFG,2026-02-18
success,5.263157894736836,12,UHAL,2026-02-18
success,5.2631578947368585,4,DORM,2026-02-18
stopped_out,-3.093812375249483,3,AVS,2026-02-18
stopped_out,-2.912621359223311,1,ABNB,2026-02-18
stopped_out,-2.912621359223311,6,AXS,2026-02-19
success,5.263157894736836,2,ZION,2026-02-19
success,5.263157894736836,5,NCDL,2026-02-19
success,5.2631578947368585,1,TGS,2026-02-19
stopped_out,-2.9126213592232997,0,EBAY,2026-02-19
success,5.263157894736836,5,CMC,2026-02-19
stopped_out,-2.9126213592232997,0,FLG,2026-02-19
stopped_out,-2.9126213592232997,0,WAL,2026-02-19
stopped_out,-2.912621359223311,1,LKQ,2026-02-19
stopped_out,-2.9126213592232997,0,MHK,2026-02-19
success,5.2631578947368585,1,CPNG,2026-02-20
stopped_out,-2.9126213592232997,1,DOW,2026-02-20
stopped_out,-2.9126213592232997,0,WB,2026-02-20
success,5.2631578947368585,5,PUK,2026-02-20
success,9.177027827116646,5,DB,2026-02-20
success,7.900677200902928,5,BBVA,2026-02-20
success,5.263157894736836,0,SGI,2026-02-20
success,5.2631578947368585,1,SE,2026-02-20
success,6.023494126468387,5,UBS,2026-02-20
