status,pnl_pct,days_held,symbol,score_date,bh_entry
success,3.0927835051546504,4,MET,2026-02-13,76.59161892463621
success,3.0927835051546504,5,FHN,2026-02-13,24.21665515902299
time_loss,-0.5852510696921387,6,GSSC,2026-02-13,78.58785130733116
success,3.0927835051546504,6,EDU,2026-02-13,57.598485170791655
success,3.092783505154628,5,MSBI,2026-02-13,22.62528345769771
time_loss,-1.216389244558258,6,LQDT,2026-02-13,30.179073156940294
time_loss,-3.402187120291622,6,EWI,2026-02-13,55.15315899389999
success,3.0927835051546504,4,HOMB,2026-02-13,29.03056247326565
stopped_out,-3.8461538461538547,0,FRPT,2026-02-13,66.3014295318441
success,3.0927835051546504,4,MBUU,2026-02-13,30.81212166737803
time_profit,0.9420289855072372,6,BTAL,2026-02-17,13.898763413406474
stopped_out,-3.8461538461538436,2,EPU,2026-02-17,83.52495801751002
time_loss,-2.135561745589609,6,TLK,2026-02-17,20.937012771947952
no_fill,0.0,0,AMH,2026-02-17,31.242661200503637
stopped_out,-3.8461538461538547,1,REPX,2026-02-17,26.71015375254521
stopped_out,-3.8461538461538547,2,BAP,2026-02-17,327.76328725884593
time_loss,-1.1750239103702653,6,RDVY,2026-02-17,71.65106796947835
time_loss,-2.5534631343759884,6,PUK,2026-02-17,29.909578161133865
time_profit,0.06477065300594109,6,RY,2026-02-17,168.08161943391457
time_loss,-3.4562211981566726,6,PSO,2026-02-17,12.513157188969686
success,3.092783505154628,2,BK,2026-02-18,117.7866004639424
time_profit,2.4774342231611346,6,CQQQ,2026-02-18,53.15888549493563
time_loss,-1.241606486760427,6,STZ,2026-02-18,153.59687320911075
time_loss,-1.4992979220672664,6,ISRG,2026-02-18,495.9608850325991
success,3.0927835051546504,6,BMI,2026-02-18,155.79652334531215
stopped_out,-3.8461538461538436,2,PFG,2026-02-18,91.27421636728323
success,3.0927835051546504,4,UHAL,2026-02-18,50.619363031805904
success,3.0927835051546504,4,DORM,2026-02-18,127.46069930821044
stopped_out,-3.8461538461538547,3,AVS,2026-02-18,9.518731079229545
success,3.0927835051546504,2,ABNB,2026-02-18,122.00839023158588
time_loss,-3.227013375736598,6,AXS,2026-02-19,101.67688236162095
success,3.0927835051546504,1,ZION,2026-02-19,60.57139550506548
success,3.092783505154628,2,NCDL,2026-02-19,13.579493868036058
success,3.0927835051546504,0,TGS,2026-02-19,29.911744844506703
stopped_out,-3.8461538461538436,0,EBAY,2026-02-19,83.57058043467079
success,3.092783505154628,0,CMC,2026-02-19,76.3592767529153
stopped_out,-3.8461538461538547,0,FLG,2026-02-19,13.121772971303107
success,3.092783505154628,1,WAL,2026-02-19,89.6139740276572
success,3.092783505154628,3,LKQ,2026-02-19,32.96727931246865
success,3.0927835051546504,3,MHK,2026-02-19,126.0930451735179
success,3.092783505154628,1,CPNG,2026-02-20,18.44666069272376
stopped_out,-3.8461538461538547,1,DOW,2026-02-20,29.82692385118695
success,3.092783505154628,4,WB,2026-02-20,10.09011360008693
success,3.0927835051546504,0,PUK,2026-02-20,30.617774497088597
success,4.446332483715665,1,DB,2026-02-20,36.23580297853405
success,3.4184335785374165,1,BBVA,2026-02-20,23.187040482829403
success,3.092783505154628,0,SGI,2026-02-20,89.41728798237715
success,3.8468550592525075,1,SE,2026-02-20,113.25574191979274
success,3.3877650499634537,1,UBS,2026-02-20,42.0388979150515
stopped_out,-4.095409540954098,4,GFL,2026-02-20,42.20978992738166
success,3.0927835051546504,5,ALNY,2026-02-23,324.4800127594874
success,3.5953603266924095,4,CSWC,2026-02-23,22.186603939726403
success,3.0927835051546504,0,FRPT,2026-02-23,76.98151627031703
success,3.0927835051546504,0,AORT,2026-02-23,36.83486833718504
success,3.0927835051546504,0,BMRC,2026-02-23,25.523425839921615
time_profit,1.3684006211180044,6,DIS,2026-02-23,103.35643292092502
success,3.0927835051546504,1,LLYVA,2026-02-23,92.4542977548746
stopped_out,-3.8461538461538436,2,KRC,2026-02-23,30.851074542881488
stopped_out,-3.8461538461538436,2,CNX,2026-02-23,37.71020525675845
success,3.0927835051546504,0,AXSM,2026-02-23,171.72132001509516
success,3.092783505154628,3,MFC,2026-02-24,35.513998425372314
time_loss,-1.8826194843025168,6,ATO,2026-02-24,181.03610558190576
success,3.7583892617449655,1,CWT,2026-02-24,46.04678430166973
time_profit,0.4350190320826508,6,HR,2026-02-24,18.3296526967494
success,3.092783505154628,2,FDUS,2026-02-24,18.160110358657743
stopped_out,-3.8461538461538547,0,UTHR,2026-02-24,469.51487993588154
success,3.0927835051546504,0,FIZZ,2026-02-24,37.28866279537683
success,3.092783505154628,3,ZBH,2026-02-24,98.68364429517507
success,3.092783505154628,2,HRZN,2026-02-24,6.242139619503845
time_profit,0.09845501363223708,6,AEP,2026-02-24,131.1246868005833
success,3.0927835051546504,6,GDEN,2026-02-25,28.89596634561211
success,3.0927835051546504,2,MFC,2026-02-25,35.127087823560004
time_loss,-1.263940520446094,6,WTRG,2026-02-25,39.55796568621277
no_fill,0.0,0,AMSF,2026-02-25,36.58084275208634
success,3.0927835051546504,6,EIC,2026-02-25,9.825976251842546
success,3.092783505154628,5,SYK,2026-02-25,380.9117551436572
no_fill,0.0,0,CWT,2026-02-25,46.306371137264755
success,3.0927835051546504,0,OGE,2026-02-25,47.95145245812534
time_loss,0.0,6,OLK,2026-02-25,26.042829858254528
time_profit,1.6760913795986099,6,GUG,2026-02-25,15.870621103441547
success,3.0927835051546504,6,LADR,2026-02-26,10.457474386776605
time_profit,2.117420596727615,6,TVA,2026-02-26,10.545292649534995
time_profit,0.08550662676356513,6,CWAN,2026-02-26,23.307927777617376
