evaluator,level,pair_or_pooled,direction,bucket_type,bucket,n,mean_R,SE,CI_low
bb,PAIR,AUD_CAD,long,fixed,0.1_0.25,87,0.0821527266086732,0.10585466939784756,-0.125322425411108
bb,PAIR,AUD_CAD,long,fixed,0.25_0.5,104,-0.035719399696240335,0.09528089229482878,-0.22246994859410474
bb,PAIR,AUD_CAD,long,fixed,0.5_1,61,0.07755887452878908,0.12257508099383008,-0.16268828421911785
bb,PAIR,AUD_CAD,long,fixed,0_0.1,77,0.1487804805655795,0.10630457383084134,-0.059576484142869535
bb,PAIR,AUD_CAD,long,fixed,>=1,17,0.5294117647058824,0.21209125149788172,0.11371291177003418
bb,PAIR,AUD_CAD,long,quintile,Q1_shallow,74,0.16217815094267207,0.10849895665361903,-0.050479804098421205
bb,PAIR,AUD_CAD,long,quintile,Q2,74,0.11624596011819531,0.11360742395449795,-0.10642459083262067
bb,PAIR,AUD_CAD,long,quintile,Q3,83,-0.0600008124421759,0.10742809283858903,-0.2705598744058104
bb,PAIR,AUD_CAD,long,quintile,Q4,64,0.09571198973761529,0.12098155743449693,-0.1414118628339987
bb,PAIR,AUD_CAD,long,quintile,Q5_deep,51,0.13472105622236002,0.13484382183424345,-0.12957283457275715
bb,PAIR,AUD_CAD,short,fixed,0.1_0.25,77,0.07260297250236084,0.10703746312765927,-0.13719045522785134
bb,PAIR,AUD_CAD,short,fixed,0.25_0.5,74,0.11011144556317577,0.11186817710155166,-0.10915018155586546
bb,PAIR,AUD_CAD,short,fixed,0.5_1,64,0.11218414514949909,0.12144771772529701,-0.12585338159208306
bb,PAIR,AUD_CAD,short,fixed,0_0.1,67,0.09444462408362157,0.11639804960095013,-0.1336955531342407
bb,PAIR,AUD_CAD,short,fixed,>=1,20,0.40375012559966006,0.19892869305139302,0.013849887218929768
bb,PAIR,AUD_CAD,short,quintile,Q1_shallow,66,0.11102711838791887,0.11696983817983322,-0.11823376444455425
bb,PAIR,AUD_CAD,short,quintile,Q2,62,0.08054496308346246,0.11803761753396091,-0.15080876728310094
bb,PAIR,AUD_CAD,short,quintile,Q3,56,0.06986521337127052,0.12727178642610212,-0.17958748802388963
bb,PAIR,AUD_CAD,short,quintile,Q4,55,0.13739632933820445,0.13324574149006543,-0.12376532398232382
bb,PAIR,AUD_CAD,short,quintile,Q5_deep,63,0.18302263305318842,0.12015011483359093,-0.0524715920206498
bb,PAIR,AUD_JPY,long,fixed,0.1_0.25,65,-0.1076923076923077,0.12427303401079624,-0.35126745435346834
bb,PAIR,AUD_JPY,long,fixed,0.25_0.5,87,-0.10344827586206896,0.10725423254082109,-0.3136665716420783
bb,PAIR,AUD_JPY,long,fixed,0.5_1,64,-0.15205757481790327,0.12405954375719819,-0.3952142805820117
bb,PAIR,AUD_JPY,long,fixed,0_0.1,58,-0.06149081302437224,0.13002766814095126,-0.3163450425806367
bb,PAIR,AUD_JPY,long,fixed,>=1,28,-0.07142857142857142,0.19195851781663212,-0.4476672663491704
bb,PAIR,AUD_JPY,long,quintile,Q1_shallow,56,-0.08360634550954246,0.1332775046828205,-0.34483025468787065
bb,PAIR,AUD_JPY,long,quintile,Q2,55,-0.10699112376144025,0.13406836161617725,-0.3697651125291477
bb,PAIR,AUD_JPY,long,quintile,Q3,68,-0.058823529411764705,0.12195789537619202,-0.29786100434910107
bb,PAIR,AUD_JPY,long,quintile,Q4,58,-0.20689655172413793,0.12958732183524996,-0.4608877025212278
bb,PAIR,AUD_JPY,long,quintile,Q5_deep,65,-0.07279515058993553,0.12421960133746479,-0.3162655692113665
bb,PAIR,AUD_JPY,short,fixed,0.1_0.25,84,-0.13796180444501877,0.10723420447622035,-0.34814084521841066
bb,PAIR,AUD_JPY,short,fixed,0.25_0.5,95,0.013864417690683976,0.10207598982260828,-0.18620452236162824
bb,PAIR,AUD_JPY,short,fixed,0.5_1,65,0.1467403519841312,0.12287981049978325,-0.09410407659544395
bb,PAIR,AUD_JPY,short,fixed,0_0.1,68,-0.058823529411764705,0.12195789537619202,-0.29786100434910107
bb,PAIR,AUD_JPY,short,fixed,>=1,20,-0.022327537368718932,0.22534380572999083,-0.46400139659950096
bb,PAIR,AUD_JPY,short,quintile,Q1_shallow,65,-0.1076923076923077,0.12427303401079624,-0.35126745435346834
bb,PAIR,AUD_JPY,short,quintile,Q2,63,-0.10839730186633613,0.12440701119939318,-0.35223504381714676
bb,PAIR,AUD_JPY,short,quintile,Q3,71,-0.19275226717908006,0.11605943773104391,-0.4202287651319261
bb,PAIR,AUD_JPY,short,quintile,Q4,71,0.20818157709149002,0.11540773480483194,-0.018017583125980563
bb,PAIR,AUD_JPY,short,quintile,Q5_deep,62,0.12182982665525197,0.1263594198222882,-0.12583463619643293
bb,PAIR,CAD_CHF,long,fixed,0.1_0.25,86,0.0229666799397575,0.1012124275226104,-0.17540967800455887
