pair,tf,period,confirm,stop_pct,tp_pct,rr_label,be_wr,direction,n,w,l,t,wr_decisive,ci_low,ci_high
EUR_USD,H4,10,1,0.01,0.01,1/1,0.5,long,889,394,415,80,0.48702101359703337,0.45257765856980126,0.5214643686242655
EUR_USD,H4,10,1,0.01,0.02,1/2,0.33333333333333337,long,889,176,469,244,0.27286821705426356,0.2384919072460281,0.30724452686249903
EUR_USD,H4,10,1,0.01,0.03,1/3,0.25,long,889,68,476,345,0.125,0.09720826535270095,0.15279173464729906
EUR_USD,H4,10,2,0.01,0.01,1/1,0.5,long,296,131,136,29,0.49063670411985016,0.4306721952066572,0.5506012130330431
EUR_USD,H4,10,2,0.01,0.02,1/2,0.33333333333333337,long,296,54,152,90,0.2621359223300971,0.20207750067472935,0.3221943439854648
EUR_USD,H4,10,2,0.01,0.03,1/3,0.25,long,296,14,154,128,0.08333333333333333,0.04153908421626868,0.12512758245039798
EUR_USD,H4,10,3,0.01,0.01,1/1,0.5,long,94,39,42,13,0.48148148148148145,0.372667301959116,0.5902956610038469
EUR_USD,H4,10,3,0.01,0.02,1/2,0.33333333333333337,long,94,15,46,33,0.2459016393442623,0.1378364386863508,0.3539668400021738
EUR_USD,H4,10,3,0.01,0.03,1/3,0.25,long,94,2,49,43,0.0392156862745098,0.0,0.09248950701819597
EUR_USD,H4,10,1,0.01,0.01,1/1,0.5,short,904,397,434,73,0.4777376654632972,0.44377555628170784,0.5116997746448866
EUR_USD,H4,10,1,0.01,0.02,1/2,0.33333333333333337,short,904,139,489,276,0.2213375796178344,0.18886786769980324,0.25380729153586556
EUR_USD,H4,10,1,0.01,0.03,1/3,0.25,short,904,41,493,370,0.07677902621722846,0.054197173329459135,0.09936087910499777
EUR_USD,H4,10,2,0.01,0.01,1/1,0.5,short,309,139,139,31,0.5,0.44122350589740145,0.5587764941025986
EUR_USD,H4,10,2,0.01,0.02,1/2,0.33333333333333337,short,309,42,157,110,0.21105527638190955,0.15435947110706533,0.26775108165675376
EUR_USD,H4,10,2,0.01,0.03,1/3,0.25,short,309,16,157,136,0.09248554913294797,0.04931408932747112,0.13565700893842483
EUR_USD,H4,10,3,0.01,0.01,1/1,0.5,short,78,36,35,7,0.5070422535211268,0.39074918745643583,0.6233353195858177
