tr_n,tr_w,tr_l,tr_t,tr_wr,tr_ci_low,tr_ci_high,te_n,te_w,te_l,te_t,te_wr,te_ci_low,te_ci_high,pair,tf,period,confirm,direction,total_n
622,272,295,55,0.47971781305114636,0.4385955560438292,0.5208400700584634,267,117,127,23,0.47950819672131145,0.41682283688675575,0.5421935565558671,EUR_USD,H4,10,1,long,889
207,85,103,19,0.4521276595744681,0.3809821699285644,0.5232731492203718,89,42,37,10,0.5316455696202531,0.4216080121585673,0.641683127081939,EUR_USD,H4,10,2,long,296
65,28,29,8,0.49122807017543857,0.3614438767393184,0.6210122636115587,29,10,14,5,0.4166666666666667,0.21942292762131047,0.6139104057120229,EUR_USD,H4,10,3,long,94
632,272,307,53,0.4697754749568221,0.42912254370919967,0.5104284062044445,272,120,132,20,0.47619047619047616,0.41452631207709123,0.5378546403038611,EUR_USD,H4,10,1,short,904
216,98,97,21,0.5025641025641026,0.43238576771848225,0.5727424374097229,93,35,45,13,0.4375,0.3287920339855446,0.5462079660144554,EUR_USD,H4,10,2,short,309
54,24,26,4,0.48,0.34151798961597934,0.6184820103840206,24,12,9,3,0.5714285714285714,0.35976846654340416,0.7830886763137386,EUR_USD,H4,10,3,short,78
424,168,224,32,0.42857142857142855,0.379581633715765,0.4775612234270921,183,76,88,19,0.4634146341463415,0.3870946218793885,0.5397346464132945,EUR_USD,H4,20,1,long,607
138,56,68,14,0.45161290322580644,0.36401937629110276,0.5392064301605102,60,25,25,10,0.5,0.3614070708874367,0.6385929291125634,EUR_USD,H4,20,2,long,198
49,23,23,3,0.5,0.3555068829682008,0.6444931170317991,21,6,11,4,0.35294117647058826,0.12576925204214065,0.5801131008990359,EUR_USD,H4,20,3,long,70
439,194,203,42,0.48866498740554154,0.439492837704049,0.5378371371070341,189,74,97,18,0.4327485380116959,0.35848705245706664,0.5070100235663251,EUR_USD,H4,20,1,short,628
144,65,66,13,0.4961832061068702,0.41056270328763955,0.5818037089261009,63,27,27,9,0.5,0.36663889178180475,0.6333611082181952,EUR_USD,H4,20,2,short,207
34,16,15,3,0.5161290322580645,0.3402074382535619,0.6920506262625671,15,8,5,2,0.6153846153846154,0.35091788956280356,0.8798513412064273,EUR_USD,H4,20,3,short,49
244,93,130,21,0.4170403587443946,0.3523243198697591,0.4817563976190301,106,43,50,13,0.46236559139784944,0.361032596485119,0.5636985863105799,EUR_USD,H4,55,1,long,350
80,35,39,6,0.47297297297297297,0.3592168407275511,0.5867291052183948,35,12,18,5,0.4,0.2246922705640165,0.5753077294359835,EUR_USD,H4,55,2,long,115
26,14,11,1,0.56,0.36541631723086343,0.7545836827691367,12,3,7,2,0.3,0.015969015774687012,0.584030984225313,EUR_USD,H4,55,3,long,38
259,114,121,24,0.4851063829787234,0.42120659917631065,0.5490061667811361,112,42,59,11,0.4158415841584158,0.31971917178634224,0.5119639965304894,EUR_USD,H4,55,1,short,371
83,38,38,7,0.5,0.38758629040342474,0.6124137095965753,36,12,16,8,0.42857142857142855,0.24526840077319495,0.6118744563696621,EUR_USD,H4,55,2,short,119
18,8,8,2,0.5,0.255,0.745,9,6,3,0,0.6666666666666666,0.3586823797498592,0.974650953583474,EUR_USD,H4,55,3,short,27
182,71,96,15,0.4251497005988024,0.35016957639086244,0.5001298248067424,79,31,36,12,0.4626865671641791,0.34329436448773026,0.5820787698406279,EUR_USD,H4,100,1,long,261
58,23,29,6,0.4423076923076923,0.3073138456197602,0.5773015389956244,26,6,15,5,0.2857142857142857,0.09249592909842652,0.4789326423301449,EUR_USD,H4,100,2,long,84
18,10,7,1,0.5882352941176471,0.3542806291426003,0.8221899590926939,9,3,4,2,0.42857142857142855,0.06196537297496135,0.7951774841678958,EUR_USD,H4,100,3,long,27
186,79,93,14,0.45930232558139533,0.38482596928879526,0.5337786818739954,80,33,41,6,0.44594594594594594,0.3326909444730906,0.5592009474188013,EUR_USD,H4,100,1,short,266
60,25,31,4,0.44642857142857145,0.3162244048285736,0.5766327380285693,26,9,13,4,0.4090909090909091,0.20363672932088425,0.614545088860934,EUR_USD,H4,100,2,short,86
14,5,7,2,0.4166666666666667,0.13772189581554434,0.6956114375177891,6,4,2,0,0.6666666666666666,0.28946449079611114,1.0,EUR_USD,H4,100,3,short,20
633,310,305,18,0.5040650406504065,0.46454893259866226,0.5435811487021507,272,126,128,18,0.49606299212598426,0.43457422946654045,0.5575517547854281,GBP_USD,H4,10,1,long,905
220,105,107,8,0.49528301886792453,0.4279793377348277,0.5625867000010213,95,49,35,11,0.5833333333333334,0.4779021200199093,0.6887645466467575,GBP_USD,H4,10,2,long,315
60,30,28,2,0.5172413793103449,0.3886376022059932,0.6458451564146965,26,14,11,1,0.56,0.36541631723086343,0.7545836827691367,GBP_USD,H4,10,3,long,86
612,319,276,17,0.5361344537815126,0.4960634238286678,0.5762054837343573,263,115,130,18,0.46938775510204084,0.4068953065786474,0.5318802036254343,GBP_USD,H4,10,1,short,875
191,94,93,4,0.5026737967914439,0.4310101239232863,0.5743374696596014,83,29,52,2,0.35802469135802467,0.2536177883008579,0.46243159441519144,GBP_USD,H4,10,2,short,274
58,30,28,0,0.5172413793103449,0.3886376022059932,0.6458451564146965,26,11,14,1,0.44,0.24541631723086335,0.6345836827691367,GBP_USD,H4,10,3,short,84
448,214,224,10,0.4885844748858447,0.4417704694268345,0.5353984803448549,193,89,91,13,0.49444444444444446,0.4214040662622832,0.5674848226266057,GBP_USD,H4,20,1,long,641
154,74,75,5,0.4966442953020134,0.41636137524466077,0.5769272153593661,66,34,24,8,0.5862068965517241,0.4594536299826929,0.7129601631207553,GBP_USD,H4,20,2,long,220
43,21,22,0,0.4883720930232558,0.33896391292128136,0.6377802731252302,19,10,8,1,0.5555555555555556,0.3259976217062955,0.7851134894048157,GBP_USD,H4,20,3,long,62
414,218,186,10,0.5396039603960396,0.4910003263104781,0.5882075944816012,178,74,92,12,0.4457831325301205,0.3701688713898895,0.5213973936703514,GBP_USD,H4,20,1,short,592
133,62,67,4,0.4806201550387597,0.3944008035330589,0.5668395065444605,58,22,35,1,0.38596491228070173,0.25958176960687573,0.5123480549545277,GBP_USD,H4,20,2,short,191
36,18,18,0,0.5,0.33666666666666667,0.6633333333333333,16,9,7,0,0.5625,0.31942159829594075,0.8055784017040593,GBP_USD,H4,20,3,short,52
266,124,139,3,0.4714828897338403,0.4111518664756879,0.5318139129919927,115,54,48,13,0.5294117647058824,0.4325453306578271,0.6262781987539376,GBP_USD,H4,55,1,long,381
89,38,49,2,0.4367816091954023,0.33255777865646696,0.5410054397343377,39,20,12,7,0.625,0.4572599667640429,0.7927400332359571,GBP_USD,H4,55,2,long,128
22,14,8,0,0.6363636363636364,0.4353474351558506,0.8373798375714221,10,3,5,2,0.375,0.03951993352808575,0.7104800664719142,GBP_USD,H4,55,3,long,32
243,126,112,5,0.5294117647058824,0.4659977980879308,0.5928257313238339,105,48,49,8,0.4948453608247423,0.39534672448138475,0.5943439971680998,GBP_USD,H4,55,1,short,348
86,42,43,1,0.49411764705882355,0.3878290791015675,0.6004062150160796,37,15,21,1,0.4166666666666667,0.2556178281267327,0.5777155052066006,GBP_USD,H4,55,2,short,123
21,10,11,0,0.47619047619047616,0.26257954568917985,0.6898014066917725,9,5,4,0,0.5555555555555556,0.23091161215558614,0.8801994989555251,GBP_USD,H4,55,3,short,30
195,86,107,2,0.44559585492227977,0.3754727363239976,0.515718973520562,84,43,31,10,0.581081081081081,0.46866626184485183,0.6934959003173102,GBP_USD,H4,100,1,long,279
67,30,36,1,0.45454545454545453,0.3344152972338223,0.5746756118570867,30,15,9,6,0.625,0.43131049331468674,0.8186895066853133,GBP_USD,H4,100,2,long,97
17,12,5,0,0.7058823529411765,0.48928242167172487,0.9224822842106282,8,2,5,1,0.2857142857142857,0.0,0.6203782963279159,GBP_USD,H4,100,3,long,25
177,87,86,4,0.5028901734104047,0.4283833978826087,0.5773969489382006,76,32,39,5,0.4507042253521127,0.334966260624249,0.5664421900799763,GBP_USD,H4,100,1,short,253
62,28,33,1,0.45901639344262296,0.3339624750067829,0.584070311878463,27,9,18,0,0.3333333333333333,0.15551852237573965,0.5111481442909269,GBP_USD,H4,100,2,short,89
15,7,8,0,0.4666666666666667,0.2141946806886107,0.7191386526447227,7,3,4,0,0.42857142857142855,0.06196537297496135,0.7951774841678958,GBP_USD,H4,100,3,short,22
671,308,359,4,0.4617691154422789,0.4239344495641263,0.4996037813204315,288,136,150,2,0.4755244755244755,0.41764533074449095,0.5334036203044601,AUD_USD,H4,10,1,long,959
212,103,106,3,0.49282296650717705,0.4250419329038236,0.5606040001105306,91,36,54,1,0.4,0.29878603521911284,0.5012139647808872,AUD_USD,H4,10,2,long,303
