tr_n,tr_w,tr_l,tr_t,tr_wr,tr_ci_low,tr_ci_high,tr_edge,tr_edge_ci_low,te_n,te_w,te_l,te_t,te_wr,te_ci_low,te_ci_high,te_edge,te_edge_ci_low,pair,tf,period,confirm,stop_pct,tp_pct,rr_label,be_wr,direction,total_n
622,275,293,54,0.4841549295774648,0.4430556958394423,0.5252541633154872,-0.01584507042253519,-0.05694430416055768,267,119,122,26,0.49377593360995853,0.43065347539324583,0.5568983918266712,-0.006224066390041472,-0.06934652460675417,EUR_USD,H4,10,1,0.01,0.01,1/1,0.5,long,889
622,128,334,160,0.27705627705627706,0.2362458324439069,0.3178667216686472,-0.056277056277056314,-0.09708750088942647,267,48,135,84,0.26229508196721313,0.19856170365811732,0.32602846027630894,-0.07103825136612024,-0.13477162967521605,EUR_USD,H4,10,1,0.01,0.02,1/2,0.33333333333333337,long,889
207,88,100,19,0.46808510638297873,0.39675701001812014,0.5394132027478373,-0.03191489361702127,-0.10324298998187986,89,43,36,10,0.5443037974683544,0.43447887316663475,0.6541287217700742,0.044303797468354444,-0.06552112683336525,EUR_USD,H4,10,2,0.01,0.01,1/1,0.5,long,296
207,38,111,58,0.2550335570469799,0.18504452996250892,0.32502258413145085,-0.07829977628635348,-0.14828880337082445,89,16,41,32,0.2807017543859649,0.16404880934720703,0.3973546994247228,-0.052631578947368474,-0.16928452398612634,EUR_USD,H4,10,2,0.01,0.02,1/2,0.33333333333333337,long,296
65,28,29,8,0.49122807017543857,0.3614438767393184,0.6210122636115587,-0.00877192982456143,-0.13855612326068162,29,11,13,5,0.4583333333333333,0.2589874702005656,0.6576791964661011,-0.041666666666666685,-0.24101252979943438,EUR_USD,H4,10,3,0.01,0.01,1/1,0.5,long,94
65,13,33,19,0.2826086956521739,0.1524875225695729,0.4127298687347749,-0.05072463768115948,-0.18084581076376047,29,2,13,14,0.13333333333333333,0.0,0.3053639938219455,-0.20000000000000004,-0.33333333333333337,EUR_USD,H4,10,3,0.01,0.02,1/2,0.33333333333333337,long,94
632,275,303,54,0.4757785467128028,0.43506377773374477,0.5164933156918607,-0.024221453287197214,-0.06493622226625523,272,122,131,19,0.48221343873517786,0.42064036236392377,0.543786515106432,-0.017786561264822143,-0.07935963763607623,EUR_USD,H4,10,1,0.01,0.01,1/1,0.5,short,904
632,109,348,175,0.23851203501094093,0.1994383256143101,0.2775857444075718,-0.09482129832239244,-0.13389500771902327,272,30,141,101,0.17543859649122806,0.1184310842138312,0.23244610876862493,-0.1578947368421053,-0.21490224911950218,EUR_USD,H4,10,1,0.01,0.02,1/2,0.33333333333333337,short,904
216,101,96,19,0.5126903553299492,0.4428907389843295,0.5824899716755689,0.012690355329949221,-0.05710926101567049,93,38,43,12,0.4691358024691358,0.3604545664045016,0.57781703853377,-0.030864197530864224,-0.13954543359549842,EUR_USD,H4,10,2,0.01,0.01,1/1,0.5,short,309
216,36,110,70,0.2465753424657534,0.17665969551874466,0.31649098941276216,-0.08675799086757996,-0.1566736378145887,93,6,47,40,0.11320754716981132,0.02790405296562186,0.19851104137400077,-0.22012578616352205,-0.3054292803677115,EUR_USD,H4,10,2,0.01,0.02,1/2,0.33333333333333337,short,309
54,24,26,4,0.48,0.34151798961597934,0.6184820103840206,-0.020000000000000018,-0.15848201038402066,24,12,9,3,0.5714285714285714,0.35976846654340416,0.7830886763137386,0.0714285714285714,-0.14023153345659584,EUR_USD,H4,10,3,0.01,0.01,1/1,0.5,short,78
54,9,26,19,0.2571428571428571,0.1123450671044729,0.40194064718124134,-0.07619047619047625,-0.22098826622886047,24,1,11,12,0.08333333333333333,0.0,0.23971309426686854,-0.25000000000000006,-0.33333333333333337,EUR_USD,H4,10,3,0.01,0.02,1/2,0.33333333333333337,short,78
424,171,222,31,0.4351145038167939,0.38609806128929075,0.48413094634429704,-0.0648854961832061,-0.11390193871070925,183,78,83,22,0.484472049689441,0.4072744841561253,0.5616696152227567,-0.01552795031055898,-0.09272551584387467,EUR_USD,H4,20,1,0.01,0.01,1/1,0.5,long,607
