window,bucket,k,n_fires,n_fills,fill_rate,mean_R_fill,mean_R_per_fire,total_R
1,low,0.0,13913,13853,0.9956874865233953,0.057106776400747836,0.05686050265791417,791.1001734795598
1,low,0.1,13913,12219,0.8782433695105297,0.061449495899609276,0.05396761233359633,750.8513903973258
1,low,0.25,13913,9450,0.6792208725652268,0.06641217949502702,0.045108538505570714,627.5950962280053
1,low,0.5,13913,5628,0.4045137641055128,0.07658960511445867,0.030981549456204516,431.04629758417343
1,low,0.75,13913,3252,0.2337382304319701,0.057800099172289655,0.013510092899323364,187.96592250828596
1,low,1.0,13913,1929,0.13864730827283836,0.05870161711375889,0.008138821204085453,113.23541941244089
1,mid,0.0,11865,11823,0.9964601769911504,0.04467139083085121,0.04451326201375085,528.1498537931539
1,mid,0.1,11865,10242,0.8632111251580278,0.03874671511288593,0.03344659554877183,396.84385618617773
1,mid,0.25,11865,7807,0.6579856721449642,0.049262811159264196,0.032414223912378894,384.59476672037556
1,mid,0.5,11865,4482,0.3777496839443742,0.04828052873940126,0.0182379544719761,216.39332980999643
1,mid,0.75,11865,2538,0.21390644753476612,0.04034923772696777,0.008630962102911437,102.4063653510442
1,mid,1.0,11865,1462,0.12321955330804889,0.016177999447725286,0.0019934458653665713,23.65223519257437
1,high,0.0,14549,14480,0.9952574060072857,-0.011076104400314177,-0.011023574934122572,-160.3819917165493
1,high,0.1,14549,12519,0.8604715100694206,-0.014800758903531755,-0.01273563136389539,-185.29070071331404
1,high,0.25,14549,9513,0.653859371778129,-0.006617613338823551,-0.004326988500393735,-62.95335569222844
1,high,0.5,14549,5476,0.3763832565812083,-0.007393583157259374,-0.0027828209065332557,-40.487261369152336
1,high,0.75,14549,3143,0.21602859303044883,-0.016335322126464557,-0.003528896655679298,-51.3419174434781
1,high,1.0,14549,1811,0.12447590899718193,-0.030253240590041187,-0.003765799622555818,-54.78861870856459
1,ALL,0.0,41043,40872,0.995833637891967,0.027161002985508397,0.027047840411853402,1110.1245140236992
1,ALL,0.1,41043,35595,0.8672611651195088,0.02585394547855507,0.02242212287866793,920.2711893091678
1,ALL,0.25,41043,27236,0.6635967156396949,0.03371123059182385,0.022370661900906714,918.1590763989143
1,ALL,0.5,41043,15858,0.38637526496601127,0.03606812233559962,0.013935830324243812,571.9682839979388
1,ALL,0.75,41043,9093,0.2215481324464586,0.02628729466797009,0.005823901040758523,239.03037041585205
1,ALL,1.0,41043,5284,0.12874302560728992,0.012396823473490448,0.0015960045618966334,65.50481523392352
6,low,0.0,13913,13853,0.9956874865233953,0.057106776400747836,0.05686050265791417,791.1001734795598
6,low,0.1,13913,13232,0.9510529720405376,0.06098837017326523,0.05800317071319237,806.9981141326455
6,low,0.25,13913,12216,0.8780277438366995,0.0642789172534315,0.05643867269229636,785.2312531679192
6,low,0.5,13913,10466,0.752246100769065,0.06692377096410575,0.05034314575651051,700.4241869103307
6,low,0.75,13913,8788,0.6316394738733558,0.0608402971468762,0.03842913328015152,534.664531326748
6,low,1.0,13913,7245,0.5207360023000072,0.05052001590695768,0.026307591119521915,366.0175152459084
6,mid,0.0,11865,11823,0.9964601769911504,0.04467139083085121,0.04451326201375085,528.1498537931539
6,mid,0.1,11865,11210,0.944795617361989,0.04175441885484929,0.03944939193955841,468.06703536286057
6,mid,0.25,11865,10301,0.8681837336704593,0.04783846329183516,0.041532575673762666,492.784010369194
6,mid,0.5,11865,8697,0.7329962073324905,0.044511458354957324,0.03262673015702182,387.1161533130639
6,mid,0.75,11865,7275,0.6131479140328698,0.0517358088198234,0.03172170325867806,376.3780091642152
6,mid,1.0,11865,5969,0.5030762747576907,0.05817332288153537,0.029265618565519146,347.23656427988465
6,high,0.0,14549,14480,0.9952574060072857,-0.011076104400314177,-0.011023574934122572,-160.3819917165493
6,high,0.1,14549,13760,0.9457694686920063,-0.010954657491569925,-0.010360580595504995,-150.73608708400218
6,high,0.25,14549,12655,0.8698192315623067,-0.00425839824168686,-0.003704036686270342,-53.89002974854721
6,high,0.5,14549,10628,0.7304969413705409,-0.01626326396854815,-0.01188026458572615,-172.84596945772975
6,high,0.75,14549,8784,0.6037528352464087,-0.012057858523325946,-0.007279966270458115,-105.91622926889511
6,high,1.0,14549,7129,0.48999931266753727,-0.018307418195317074,-0.008970622332422533,-130.51358431441543
6,ALL,0.0,41043,40872,0.995833637891967,0.027161002985508397,0.027047840411853402,1110.1245140236992
6,ALL,0.1,41043,38871,0.9470798918207733,0.027686339580933916,0.026221175495224087,1076.1957058504822
6,ALL,0.25,41043,35782,0.8718173622785859,0.03282222357169177,0.028614984378390346,1174.444803842275
6,ALL,0.5,41043,30308,0.7384450454401481,0.028338844285880307,0.020926679156408168,858.8936926164604
6,ALL,0.75,41043,25296,0.6163292157006067,0.030207396869942595,0.01861770122120868,764.1263112220679
6,ALL,1.0,41043,20712,0.5046414735764929,0.026198654267300836,0.013220927495171769,542.6265271843349
