pair,n,mean_R,total_R
AUD_JPY,167,-0.18562874251497005,-31.0
CAD_CHF,156,-0.184188149690627,-28.73335135173781
NZD_JPY,154,-0.14285714285714285,-22.0
USD_SGD,145,-0.1437145176649577,-20.838605061418868
EUR_USD,158,-0.10550509187011806,-16.669804515478653
GBP_CAD,164,-0.09051810071056295,-14.844968516532324
NZD_USD,145,-0.09198654896015152,-13.33804959922197
EUR_CHF,157,-0.08245882044494078,-12.946034809855703
EUR_CAD,179,-0.05867493157789946,-10.502812752444003
NZD_CHF,151,-0.06917918581460482,-10.446057058005328
AUD_CAD,134,-0.06556862855930347,-8.786196226946664
EUR_GBP,123,-0.0331868704262335,-4.08198506242672
CAD_JPY,165,-0.011301267076146747,-1.8647090675642133
EUR_NOK,111,-0.00662434766202631,-0.7353025904849204
USD_JPY,142,-0.0009925831203470984,-0.14094680308928798
CHF_JPY,138,0.03738806476081173,5.159552936992019
USD_CAD,169,0.03566214320778763,6.026902202116109
