sample,tp_pct,sl_pct,max_hold,hold_days,total_R_A,win_rate_A,n_A,total_R_B,win_rate_B,n_B,total_R_recent_holdout,win_rate_recent_holdout,n_recent_holdout,total_R,n_trades,win_rate,profitable_all_eras
long_mr_strong4,0.004,0.006,36,6,73.58636411131849,0.5970820668693009,16450,244.47555516617683,0.6028094712305239,16302,93.34530802153736,0.597081475476287,7401,411.4072272990327,40153,0.5994072672029487,True
long_mr_full6,0.004,0.006,36,6,197.23454410239887,0.5993352682333115,21362,312.0766835477768,0.6027534776996989,20919,86.97059159805636,0.5953560371517028,9690,596.281819248232,51971,0.5999692135998922,True
long_mr_strong4,0.004,0.006,60,10,73.55774299917454,0.6,16450,262.861050365781,0.606612685560054,16302,86.42692877602792,0.6035670855289825,7401,422.84572214098347,40153,0.6033422160237093,True
long_mr_full6,0.004,0.006,60,10,196.60207261734962,0.6026589270667541,21362,330.78186063512084,0.6062909316888953,20919,81.88203269944421,0.6012383900928793,9690,609.2659659519147,51971,0.603855996613496,True
long_mr_strong4,0.004,0.006,84,14,84.70273126862475,0.6027355623100304,16450,258.58812247925096,0.6088210035578456,16302,101.92558704190873,0.6064045399270369,7401,445.21644078978443,40153,0.6058824994396433,True
long_mr_full6,0.004,0.006,84,14,211.3247092961593,0.6055144649377399,21362,334.0547510295526,0.6085854964386443,20919,96.89965253453047,0.6039215686274509,9690,642.2791128602424,51971,0.6064535991225876,True
long_mr_strong4,0.004,0.006,120,20,92.54543127448378,0.6031003039513678,16450,280.7566929654781,0.6101091890565575,16302,64.08831414147781,0.6043430756623873,7322,437.3904383814397,40074,0.6061785696461546,True
long_mr_full6,0.004,0.006,120,20,232.77137014397022,0.6062634584776706,21362,369.56267996118356,0.6103542234332425,20919,49.350250194662834,0.6022122508608995,9583,651.6843002998166,51864,0.6071648927965448,True
long_mr_strong4,0.004,0.008,36,6,14.033897480441274,0.6517325227963526,16450,217.33853479552903,0.6567292356766041,16302,124.44832252765949,0.6515335765437104,7401,355.8207548036298,40153,0.653724503773068,True
long_mr_full6,0.004,0.008,36,6,105.09916142867485,0.6535904877820429,21362,290.7181157119302,0.6574406042353841,20919,120.02160253270759,0.6491228070175439,9690,515.8388796733126,51971,0.6543072097900753,True
