bucket,n_in,n_hold,base_geom,base_hold_R,base_edge,base_rday,best_geom,best_hold_R,best_A,best_B,best_edge,best_rday,oosΔ,edgeΔ,verdict
atr:long:limit,1264,291,1/1/14,0.05272224015940762,0.09152445929777242,0.012819137656324343,2/0.5/14,0.08296981497933882,0.09559362960095169,0.19045409269891603,0.1572419924219322,0.02556272613613524,0.0302475748199312,0.06571753312415979,TUNE
atr:short:limit,925,210,1/1/14,0.1930329077577873,0.14575551542404727,0.009945700928477371,2/1/21,0.340995928903947,0.10681275345442728,0.09110550646617048,0.10502515999114279,0.010709706202857213,0.14796302114615967,-0.040730355432904486,KEEP
bb:long:mid,517,112,1.5/1/10,0.3077887094276325,0.19866459695011549,0.017987969555814286,1.5/0.75/21,0.38162850452307645,0.14696430864241844,0.20757993962543486,0.27779763178652633,0.02063158634727763,0.07383979509544397,0.07913303483641085,TUNE
bb:short:mid,182,39,1/1/14,0.08670030268602219,0.16187897285903963,0.028616686748366916,1.2/0.75/10,0.16638621097528217,0.28641727187412,0.19778207445577994,0.3335243740526126,0.04413642591705112,0.07968590828925998,0.17164540119357297,TUNE
cci:long:mid,480,108,1/1/14,0.04590811123035087,0.002537644284316555,0.02298709301316652,1.5/0.75/14,0.15211497019678677,0.19457265047412436,0.3039048970736532,0.03650799556095513,0.03674893669691091,0.10620685896643589,0.033970351276638576,TUNE
ema:long:mid,760,172,1.5/1/10,0.2977531803502446,0.18934831639153188,0.02287656412648443,1.5/0.5/21,0.22149119984435928,0.24008350181075855,0.26618570399730557,0.1694227221202797,0.03939058622117836,-0.07626198050588534,-0.01992559427125218,KEEP
ema:short:mid,287,62,1/1/14,0.13147741290349832,0.17634907493322638,0.01888921992340287,2/1.2/21,0.12976528170527163,0.2804004389928991,0.33975255950527133,0.2060426415476202,0.02119387784771313,-0.0017121311982266907,0.029693566614393818,KEEP
ichimoku:short:limit,415,99,1/1/14,0.11060507730613597,0.10290598651587919,0.015495546263776852,1.2/0.75/14,0.13820408349324576,0.1203007820319997,0.24308863345836082,0.1205361375285169,0.023113676234436414,0.02759900618710978,0.017630151012637707,KEEP
macd:long:limit,262,75,1/1/14,0.2829605233301466,0.32992281897187825,0.0570954104040441,2.5/0.5/21,0.2832506536156147,0.3041388118484158,0.6352581519627055,0.34737456147366796,0.07789683519266254,0.00029013028546809316,0.017451742501789713,KEEP
macd:short:limit,625,157,1/1/14,0.31768561987101324,0.252024037800384,0.02086375049701518,1.5/0.75/21,0.39869995509726347,0.2552256807216917,0.11525508254034723,0.2866770641702586,0.020111885764314528,0.08101433522625023,0.03465302636987461,TUNE
rsi:long:mid,951,216,1.5/1/10,0.1625451450506304,0.12100545266786611,0.021372616915901258,1.5/0.5/14,0.1692307068805974,0.17173153211711847,0.16886639456067576,0.0338811808240333,0.03441352041058243,0.006685561829967018,-0.08712427184383281,KEEP
sma:long:mid,536,119,1/1/14,0.1907636969135518,0.12337202514679453,0.023813972840586575,2.5/1/21,0.2412108353415666,0.20816955664391523,0.2623271822096463,0.18881437329441061,0.01939506216247486,0.05044713842801479,0.06544234814761608,TUNE*slow
