portfolio,n_trades,size_pct,intra_model,n_starts,passed,failed,in_progress,pass_rate,median_days_to_pass,fail_reasons
stoch mid (D1),23730,0.0025,realistic,500,493,7,0,0.986,30.0,"{'max_dd': 4, 'daily_dd': 3}"
stoch mid (D1),23730,0.0025,conservative,500,136,364,0,0.272,24.0,"{'max_dd': 309, 'daily_dd': 55}"
stoch mid (D1),23730,0.005,realistic,500,450,50,0,0.9,15.0,"{'max_dd': 8, 'daily_dd': 42}"
stoch mid (D1),23730,0.005,conservative,500,14,486,0,0.028,9.0,"{'max_dd': 229, 'daily_dd': 257}"
stoch mid (D1),23730,0.0075,realistic,500,411,89,0,0.822,10.0,"{'max_dd': 6, 'daily_dd': 83}"
stoch mid (D1),23730,0.0075,conservative,500,0,500,0,0.0,,"{'daily_dd': 428, 'max_dd': 72}"
stoch mid (D1),23730,0.01,realistic,500,402,98,0,0.804,8.0,"{'max_dd': 10, 'daily_dd': 88}"
stoch mid (D1),23730,0.01,conservative,500,0,500,0,0.0,,"{'daily_dd': 437, 'max_dd': 63}"
stoch limit (D1),4454,0.0025,realistic,500,500,0,0,1.0,89.0,{}
stoch limit (D1),4454,0.0025,conservative,500,500,0,0,1.0,89.0,{}
stoch limit (D1),4454,0.005,realistic,500,500,0,0,1.0,44.0,{}
stoch limit (D1),4454,0.005,conservative,500,493,7,0,0.986,44.0,{'max_dd': 7}
stoch limit (D1),4454,0.0075,realistic,500,496,4,0,0.992,29.0,{'daily_dd': 4}
stoch limit (D1),4454,0.0075,conservative,500,375,125,0,0.75,28.0,"{'daily_dd': 44, 'max_dd': 81}"
stoch limit (D1),4454,0.01,realistic,500,494,6,0,0.988,22.0,{'daily_dd': 6}
stoch limit (D1),4454,0.01,conservative,500,276,224,0,0.552,20.0,"{'daily_dd': 70, 'max_dd': 154}"
sma mid (D1),3615,0.0025,realistic,500,500,0,0,1.0,110.0,{}
sma mid (D1),3615,0.0025,conservative,500,500,0,0,1.0,110.0,{}
sma mid (D1),3615,0.005,realistic,500,500,0,0,1.0,53.0,{}
sma mid (D1),3615,0.005,conservative,500,499,1,0,0.998,53.0,{'max_dd': 1}
sma mid (D1),3615,0.0075,realistic,500,500,0,0,1.0,38.0,{}
sma mid (D1),3615,0.0075,conservative,500,417,83,0,0.834,36.0,"{'daily_dd': 35, 'max_dd': 48}"
sma mid (D1),3615,0.01,realistic,500,493,7,0,0.986,26.0,{'daily_dd': 7}
sma mid (D1),3615,0.01,conservative,500,322,178,0,0.644,23.0,"{'daily_dd': 83, 'max_dd': 95}"
ema mid (D1),3842,0.0025,realistic,500,500,0,0,1.0,114.0,{}
ema mid (D1),3842,0.0025,conservative,500,500,0,0,1.0,114.0,{}
ema mid (D1),3842,0.005,realistic,500,500,0,0,1.0,56.0,{}
ema mid (D1),3842,0.005,conservative,500,496,4,0,0.992,56.0,{'max_dd': 4}
ema mid (D1),3842,0.0075,realistic,500,494,6,0,0.988,35.0,{'daily_dd': 6}
ema mid (D1),3842,0.0075,conservative,500,369,131,0,0.738,34.0,"{'daily_dd': 68, 'max_dd': 63}"
ema mid (D1),3842,0.01,realistic,500,492,8,0,0.984,27.0,"{'daily_dd': 5, 'max_dd': 3}"
ema mid (D1),3842,0.01,conservative,500,281,219,0,0.562,25.0,"{'daily_dd': 88, 'max_dd': 131}"
rsi mid (D1),11188,0.0025,realistic,500,500,0,0,1.0,60.0,{}
rsi mid (D1),11188,0.0025,conservative,500,421,79,0,0.842,55.0,{'max_dd': 79}
rsi mid (D1),11188,0.005,realistic,500,464,36,0,0.928,27.0,"{'max_dd': 29, 'daily_dd': 7}"
rsi mid (D1),11188,0.005,conservative,500,150,350,0,0.3,20.0,"{'max_dd': 255, 'daily_dd': 95}"
rsi mid (D1),11188,0.0075,realistic,500,391,109,0,0.782,18.0,"{'max_dd': 39, 'daily_dd': 70}"
rsi mid (D1),11188,0.0075,conservative,500,22,478,0,0.044,13.0,"{'daily_dd': 285, 'max_dd': 193}"
rsi mid (D1),11188,0.01,realistic,500,398,102,0,0.796,13.0,"{'max_dd': 23, 'daily_dd': 79}"
rsi mid (D1),11188,0.01,conservative,500,16,484,0,0.032,11.0,"{'daily_dd': 299, 'max_dd': 185}"
cci mid (D1),9322,0.0025,realistic,500,500,0,0,1.0,75.0,{}
cci mid (D1),9322,0.0025,conservative,500,451,49,0,0.902,71.0,{'max_dd': 49}
cci mid (D1),9322,0.005,realistic,500,486,14,0,0.972,35.5,"{'daily_dd': 7, 'max_dd': 7}"
cci mid (D1),9322,0.005,conservative,500,182,318,0,0.364,29.0,"{'max_dd': 259, 'daily_dd': 59}"
cci mid (D1),9322,0.0075,realistic,500,421,79,0,0.842,23.0,"{'daily_dd': 60, 'max_dd': 19}"
cci mid (D1),9322,0.0075,conservative,500,38,462,0,0.076,18.0,"{'daily_dd': 209, 'max_dd': 253}"
cci mid (D1),9322,0.01,realistic,500,406,94,0,0.812,17.0,"{'daily_dd': 68, 'max_dd': 26}"
cci mid (D1),9322,0.01,conservative,500,15,485,0,0.03,12.0,"{'daily_dd': 224, 'max_dd': 261}"
cci limit (D1),1022,0.0025,realistic,500,496,0,4,0.992,432.0,{}
cci limit (D1),1022,0.0025,conservative,500,496,0,4,0.992,432.0,{}
cci limit (D1),1022,0.005,realistic,500,500,0,0,1.0,205.5,{}
cci limit (D1),1022,0.005,conservative,500,500,0,0,1.0,205.5,{}
cci limit (D1),1022,0.0075,realistic,500,500,0,0,1.0,139.0,{}
cci limit (D1),1022,0.0075,conservative,500,500,0,0,1.0,139.0,{}
cci limit (D1),1022,0.01,realistic,500,500,0,0,1.0,101.0,{}
cci limit (D1),1022,0.01,conservative,500,500,0,0,1.0,101.0,{}
macd limit (D1),2348,0.0025,realistic,500,500,0,0,1.0,194.0,{}
macd limit (D1),2348,0.0025,conservative,500,500,0,0,1.0,194.0,{}
macd limit (D1),2348,0.005,realistic,500,500,0,0,1.0,101.0,{}
macd limit (D1),2348,0.005,conservative,500,500,0,0,1.0,101.0,{}
macd limit (D1),2348,0.0075,realistic,500,500,0,0,1.0,65.0,{}
macd limit (D1),2348,0.0075,conservative,500,460,40,0,0.92,61.0,{'max_dd': 40}
macd limit (D1),2348,0.01,realistic,500,479,21,0,0.958,47.0,"{'daily_dd': 12, 'max_dd': 9}"
macd limit (D1),2348,0.01,conservative,500,398,102,0,0.796,40.0,"{'max_dd': 93, 'daily_dd': 9}"
atr mid (D1),60440,0.0025,realistic,500,377,123,0,0.754,16.0,"{'daily_dd': 97, 'max_dd': 26}"
atr mid (D1),60440,0.0025,conservative,500,1,499,0,0.002,7.0,"{'max_dd': 236, 'daily_dd': 263}"
atr mid (D1),60440,0.005,realistic,500,322,178,0,0.644,8.0,"{'daily_dd': 147, 'max_dd': 31}"
atr mid (D1),60440,0.005,conservative,500,0,500,0,0.0,,"{'daily_dd': 469, 'max_dd': 31}"
atr mid (D1),60440,0.0075,realistic,500,282,218,0,0.564,6.0,"{'daily_dd': 200, 'max_dd': 18}"
atr mid (D1),60440,0.0075,conservative,500,0,500,0,0.0,,"{'daily_dd': 497, 'max_dd': 3}"
atr mid (D1),60440,0.01,realistic,500,279,221,0,0.558,6.0,"{'daily_dd': 205, 'max_dd': 16}"
atr mid (D1),60440,0.01,conservative,500,0,500,0,0.0,,"{'daily_dd': 497, 'max_dd': 3}"
atr limit (D1),10840,0.0025,realistic,500,500,0,0,1.0,52.0,{}
atr limit (D1),10840,0.0025,conservative,500,460,40,0,0.92,50.0,{'max_dd': 40}
atr limit (D1),10840,0.005,realistic,500,492,8,0,0.984,25.0,"{'max_dd': 6, 'daily_dd': 2}"
atr limit (D1),10840,0.005,conservative,500,235,265,0,0.47,21.0,"{'max_dd': 249, 'daily_dd': 16}"
atr limit (D1),10840,0.0075,realistic,500,450,50,0,0.9,18.0,"{'daily_dd': 37, 'max_dd': 13}"
atr limit (D1),10840,0.0075,conservative,500,65,435,0,0.13,13.0,"{'max_dd': 231, 'daily_dd': 204}"
atr limit (D1),10840,0.01,realistic,500,445,55,0,0.89,13.0,"{'max_dd': 17, 'daily_dd': 38}"
atr limit (D1),10840,0.01,conservative,500,37,463,0,0.074,9.0,"{'max_dd': 228, 'daily_dd': 235}"
sma limit (unfilt),1041,0.0025,realistic,500,484,0,16,0.968,624.0,{}
sma limit (unfilt),1041,0.0025,conservative,500,484,0,16,0.968,624.0,{}
sma limit (unfilt),1041,0.005,realistic,500,496,0,4,0.992,296.0,{}
sma limit (unfilt),1041,0.005,conservative,500,436,60,4,0.872,275.0,{'max_dd': 60}
sma limit (unfilt),1041,0.0075,realistic,500,500,0,0,1.0,187.0,{}
sma limit (unfilt),1041,0.0075,conservative,500,374,126,0,0.748,163.0,{'max_dd': 126}
sma limit (unfilt),1041,0.01,realistic,500,420,80,0,0.84,115.0,"{'daily_dd': 72, 'max_dd': 8}"
sma limit (unfilt),1041,0.01,conservative,500,340,160,0,0.68,109.0,{'max_dd': 160}
ema limit (unfilt),1829,0.0025,realistic,500,493,0,7,0.986,387.0,{}
ema limit (unfilt),1829,0.0025,conservative,500,493,0,7,0.986,387.0,{}
ema limit (unfilt),1829,0.005,realistic,500,500,0,0,1.0,183.0,{}
ema limit (unfilt),1829,0.005,conservative,500,451,49,0,0.902,164.0,{'max_dd': 49}
ema limit (unfilt),1829,0.0075,realistic,500,467,33,0,0.934,107.0,"{'max_dd': 24, 'daily_dd': 9}"
ema limit (unfilt),1829,0.0075,conservative,500,355,145,0,0.71,88.0,{'max_dd': 145}
ema limit (unfilt),1829,0.01,realistic,500,439,61,0,0.878,70.0,"{'max_dd': 54, 'daily_dd': 7}"
ema limit (unfilt),1829,0.01,conservative,500,274,226,0,0.548,60.0,{'max_dd': 226}
rsi limit (unfilt),1174,0.0025,realistic,500,493,0,7,0.986,582.0,{}
rsi limit (unfilt),1174,0.0025,conservative,500,493,0,7,0.986,582.0,{}
rsi limit (unfilt),1174,0.005,realistic,500,496,4,0,0.992,274.0,{'max_dd': 4}
rsi limit (unfilt),1174,0.005,conservative,500,494,6,0,0.988,273.0,{'max_dd': 6}
rsi limit (unfilt),1174,0.0075,realistic,500,480,20,0,0.96,177.0,{'max_dd': 20}
rsi limit (unfilt),1174,0.0075,conservative,500,416,84,0,0.832,162.0,{'max_dd': 84}
rsi limit (unfilt),1174,0.01,realistic,500,462,38,0,0.924,131.0,{'max_dd': 38}
rsi limit (unfilt),1174,0.01,conservative,500,343,157,0,0.686,97.0,{'max_dd': 157}
ichimoku limit (unfilt),167,0.0025,realistic,500,0,0,500,0.0,,{}
ichimoku limit (unfilt),167,0.0025,conservative,500,0,0,500,0.0,,{}
ichimoku limit (unfilt),167,0.005,realistic,500,248,0,252,0.496,2157.5,{}
ichimoku limit (unfilt),167,0.005,conservative,500,248,0,252,0.496,2157.5,{}
ichimoku limit (unfilt),167,0.0075,realistic,500,361,0,139,0.722,1313.0,{}
ichimoku limit (unfilt),167,0.0075,conservative,500,361,0,139,0.722,1313.0,{}
ichimoku limit (unfilt),167,0.01,realistic,500,429,2,69,0.858,851.0,{'max_dd': 2}
ichimoku limit (unfilt),167,0.01,conservative,500,415,16,69,0.83,829.0,{'max_dd': 16}
