period,adx_min,adx_max,rising,di,N,regime,n,exp,lift,t,win
7,20,40,0,off,10,all,1083659,0.0919,-0.0037,-2.9,0.287
7,20,40,0,off,10,bull,833440,0.0653,-0.0029,-1.9,0.283
7,20,40,0,off,10,nonbull,250219,0.1808,-0.0062,-2.3,0.301
7,20,40,0,off,15,all,1081103,0.0989,-0.0031,-2.3,0.333
7,20,40,0,off,15,bull,830890,0.068,-0.0035,-2.3,0.325
7,20,40,0,off,15,nonbull,250213,0.2017,-0.0017,-0.6,0.358
7,20,40,0,s0,10,all,571659,0.0907,-0.0049,-2.7,0.288
7,20,40,0,s0,10,bull,443296,0.0618,-0.0063,-3.1,0.285
7,20,40,0,s0,10,nonbull,128363,0.1907,0.0037,1.0,0.298
7,20,40,0,s0,15,all,570592,0.099,-0.0031,-1.7,0.334
7,20,40,0,s0,15,bull,442232,0.0654,-0.006,-2.9,0.327
7,20,40,0,s0,15,nonbull,128360,0.2145,0.0111,2.8,0.359
7,20,40,0,s10,10,all,343757,0.09,-0.0057,-2.5,0.29
7,20,40,0,s10,10,bull,266447,0.0643,-0.0039,-1.5,0.288
7,20,40,0,s10,10,nonbull,77310,0.1785,-0.0085,-1.7,0.295
7,20,40,0,s10,15,all,343154,0.0974,-0.0047,-1.9,0.335
7,20,40,0,s10,15,bull,265846,0.067,-0.0045,-1.7,0.329
7,20,40,0,s10,15,nonbull,77308,0.202,-0.0013,-0.3,0.356
7,20,40,0,s20,10,all,137694,0.0816,-0.014,-3.8,0.29
7,20,40,0,s20,10,bull,107104,0.0693,0.0012,0.3,0.292
7,20,40,0,s20,10,nonbull,30590,0.1247,-0.0623,-8.1,0.283
7,20,40,0,s20,15,all,137460,0.0886,-0.0135,-3.6,0.335
7,20,40,0,s20,15,bull,106870,0.0719,0.0004,0.1,0.333
7,20,40,0,s20,15,nonbull,30590,0.1468,-0.0566,-7.0,0.343
7,20,40,1,off,10,all,516666,0.0831,-0.0125,-6.7,0.287
7,20,40,1,off,10,bull,395932,0.0653,-0.0028,-1.3,0.285
7,20,40,1,off,10,nonbull,120734,0.1416,-0.0454,-11.7,0.294
7,20,40,1,off,15,all,515412,0.0901,-0.012,-6.1,0.332
7,20,40,1,off,15,bull,394683,0.0679,-0.0035,-1.6,0.327
7,20,40,1,off,15,nonbull,120729,0.1626,-0.0408,-10.0,0.349
7,20,40,1,s0,10,all,280417,0.0788,-0.0168,-6.6,0.287
7,20,40,1,s0,10,bull,217254,0.0544,-0.0138,-4.8,0.286
7,20,40,1,s0,10,nonbull,63163,0.1631,-0.0239,-4.5,0.291
7,20,40,1,s0,15,all,279927,0.0873,-0.0147,-5.5,0.333
7,20,40,1,s0,15,bull,216766,0.0584,-0.013,-4.3,0.327
7,20,40,1,s0,15,nonbull,63161,0.1865,-0.0168,-3.0,0.352
7,20,40,1,s10,10,all,270720,0.0798,-0.0158,-6.1,0.287
7,20,40,1,s10,10,bull,209665,0.0558,-0.0124,-4.2,0.286
7,20,40,1,s10,10,nonbull,61055,0.1625,-0.0244,-4.5,0.291
7,20,40,1,s10,15,all,270251,0.0882,-0.0139,-5.1,0.333
7,20,40,1,s10,15,bull,209198,0.0596,-0.0119,-3.9,0.328
7,20,40,1,s10,15,nonbull,61053,0.1863,-0.0171,-3.0,0.352
7,20,40,1,s20,10,all,135804,0.0789,-0.0168,-4.6,0.29
7,20,40,1,s20,10,bull,105513,0.0664,-0.0017,-0.4,0.292
