period,adx_min,adx_max,rising,di,N,regime,n_sym,n_ep,lift,t
14,25,60,0,off,10,all,1385,29957,0.0048,0.3
14,25,60,0,off,10,bull,1335,22421,0.0057,0.4
14,25,60,0,off,10,nonbull,1108,7510,0.0136,0.6
14,25,60,0,off,15,all,1384,29909,0.007,0.5
14,25,60,0,off,15,bull,1334,22373,0.0126,0.8
14,25,60,0,off,15,nonbull,1108,7510,0.0024,0.1
14,25,60,0,s0,10,all,1384,28241,-0.0303,-2.2
14,25,60,0,s0,10,bull,1347,21976,-0.0204,-1.4
14,25,60,0,s0,10,nonbull,1087,6235,-0.0616,-2.8
14,25,60,0,s0,15,all,1384,28207,-0.0214,-1.5
14,25,60,0,s0,15,bull,1347,21942,-0.0186,-1.2
14,25,60,0,s0,15,nonbull,1087,6235,-0.0294,-1.3
14,25,60,0,s20,10,all,1375,27549,-0.0835,-5.8
14,25,60,0,s20,10,bull,1338,22747,-0.0373,-2.5
14,25,60,0,s20,10,nonbull,1021,4778,-0.2272,-9.1
14,25,60,0,s20,15,all,1375,27486,-0.0836,-5.5
14,25,60,0,s20,15,bull,1338,22684,-0.0331,-2.1
14,25,60,0,s20,15,nonbull,1021,4778,-0.2509,-9.6
14,25,60,1,off,10,all,1435,63365,-0.0146,-1.4
14,25,60,1,off,10,bull,1391,48252,-0.0034,-0.3
14,25,60,1,off,10,nonbull,1188,15050,-0.0502,-2.9
14,25,60,1,off,15,all,1435,63216,-0.0109,-1.0
14,25,60,1,off,15,bull,1391,48103,0.0036,0.3
14,25,60,1,off,15,nonbull,1188,15050,-0.057,-3.2
14,25,60,1,s0,10,all,1391,36339,-0.0566,-4.3
14,25,60,1,s0,10,bull,1357,29853,-0.0256,-1.8
14,25,60,1,s0,10,nonbull,1066,6449,-0.1481,-6.4
14,25,60,1,s0,15,all,1391,36234,-0.053,-3.8
14,25,60,1,s0,15,bull,1357,29748,-0.0169,-1.2
14,25,60,1,s0,15,nonbull,1066,6449,-0.1623,-6.8
14,25,60,1,s20,10,all,1368,27701,-0.0804,-5.6
14,25,60,1,s20,10,bull,1330,22917,-0.0337,-2.2
14,25,60,1,s20,10,nonbull,1015,4761,-0.2278,-9.0
14,25,60,1,s20,15,all,1368,27626,-0.0819,-5.4
14,25,60,1,s20,15,bull,1330,22842,-0.0309,-2.0
14,25,60,1,s20,15,nonbull,1015,4761,-0.254,-9.7
14,25,999,0,off,10,all,1371,29328,0.0139,1.0
14,25,999,0,off,10,bull,1323,21936,0.0097,0.7
14,25,999,0,off,10,nonbull,1100,7369,0.0201,0.9
14,25,999,0,off,15,all,1371,29281,0.0154,1.1
14,25,999,0,off,15,bull,1323,21889,0.0157,1.0
14,25,999,0,off,15,nonbull,1100,7369,0.0092,0.4
14,25,999,0,s0,10,all,1381,27821,-0.0232,-1.7
14,25,999,0,s0,10,bull,1342,21588,-0.0118,-0.8
14,25,999,0,s0,10,nonbull,1087,6204,-0.0594,-2.7
14,25,999,0,s0,15,all,1381,27787,-0.0154,-1.1
14,25,999,0,s0,15,bull,1342,21554,-0.0111,-0.7
14,25,999,0,s0,15,nonbull,1087,6204,-0.0277,-1.2
14,25,999,0,s20,10,all,1376,27500,-0.0811,-5.6
14,25,999,0,s20,10,bull,1340,22708,-0.0344,-2.3
14,25,999,0,s20,10,nonbull,1021,4768,-0.2277,-9.1
14,25,999,0,s20,15,all,1376,27437,-0.0818,-5.4
14,25,999,0,s20,15,bull,1340,22645,-0.0306,-1.9
14,25,999,0,s20,15,nonbull,1021,4768,-0.2521,-9.7
14,25,999,1,off,10,all,1440,63586,-0.0184,-1.7
14,25,999,1,off,10,bull,1395,48429,-0.0074,-0.6
14,25,999,1,off,10,nonbull,1190,15094,-0.0483,-2.8
14,25,999,1,off,15,all,1440,63437,-0.015,-1.3
14,25,999,1,off,15,bull,1395,48280,-0.0005,-0.0
14,25,999,1,off,15,nonbull,1190,15094,-0.0551,-3.1
14,25,999,1,s0,10,all,1395,36503,-0.0594,-4.5
14,25,999,1,s0,10,bull,1362,30003,-0.0286,-2.1
14,25,999,1,s0,10,nonbull,1066,6463,-0.1465,-6.4
14,25,999,1,s0,15,all,1395,36398,-0.0556,-4.0
14,25,999,1,s0,15,bull,1362,29898,-0.0198,-1.4
14,25,999,1,s0,15,nonbull,1066,6463,-0.1605,-6.7
14,25,999,1,s20,10,all,1372,27864,-0.0821,-5.7
14,25,999,1,s20,10,bull,1336,23066,-0.037,-2.5
14,25,999,1,s20,10,nonbull,1015,4775,-0.2258,-8.9
14,25,999,1,s20,15,all,1372,27789,-0.0831,-5.5
14,25,999,1,s20,15,bull,1336,22991,-0.0336,-2.1
14,25,999,1,s20,15,nonbull,1015,4775,-0.2517,-9.6
14,30,60,0,off,10,all,1377,22666,-0.0056,-0.4
14,30,60,0,off,10,bull,1323,16916,0.0074,0.5
14,30,60,0,off,10,nonbull,1088,5726,-0.0239,-1.0
14,30,60,0,off,15,all,1376,22615,-0.0109,-0.7
14,30,60,0,off,15,bull,1322,16865,0.0061,0.4
14,30,60,0,off,15,nonbull,1088,5726,-0.03,-1.2
14,30,60,0,s0,10,all,1354,17657,-0.0514,-3.4
14,30,60,0,s0,10,bull,1310,14012,-0.0252,-1.5
14,30,60,0,s0,10,nonbull,1007,3621,-0.1175,-4.4
14,30,60,0,s0,15,all,1353,17633,-0.0442,-2.8
14,30,60,0,s0,15,bull,1309,13988,-0.0251,-1.5
14,30,60,0,s0,15,nonbull,1007,3621,-0.0845,-3.0
14,30,60,0,s20,10,all,1338,20692,-0.0997,-6.4
14,30,60,0,s20,10,bull,1304,17350,-0.045,-2.8
14,30,60,0,s20,10,nonbull,927,3321,-0.2636,-9.1
14,30,60,0,s20,15,all,1337,20648,-0.104,-6.5
14,30,60,0,s20,15,bull,1303,17306,-0.0439,-2.6
14,30,60,0,s20,15,nonbull,927,3321,-0.2959,-10.0
14,30,60,1,off,10,all,1408,40655,-0.0223,-1.8
14,30,60,1,off,10,bull,1359,31064,-0.0059,-0.5
14,30,60,1,off,10,nonbull,1129,9545,-0.0726,-3.6
14,30,60,1,off,15,all,1408,40546,-0.0236,-1.8
14,30,60,1,off,15,bull,1359,30955,-0.0023,-0.2
14,30,60,1,off,15,nonbull,1129,9545,-0.0816,-3.9
14,30,60,1,s0,10,all,1347,24133,-0.0826,-5.5
14,30,60,1,s0,10,bull,1313,20225,-0.0345,-2.2
14,30,60,1,s0,10,nonbull,950,3880,-0.2336,-8.3
14,30,60,1,s0,15,all,1346,24062,-0.0871,-5.6
14,30,60,1,s0,15,bull,1312,20154,-0.0323,-2.0
14,30,60,1,s0,15,nonbull,950,3880,-0.2654,-9.1
14,30,60,1,s20,10,all,1331,20844,-0.0942,-6.0
14,30,60,1,s20,10,bull,1299,17519,-0.0427,-2.6
14,30,60,1,s20,10,nonbull,918,3305,-0.2621,-9.0
14,30,60,1,s20,15,all,1330,20788,-0.0997,-6.2
14,30,60,1,s20,15,bull,1298,17463,-0.042,-2.5
