period,adx_min,adx_max,rising,di,N,regime,n,exp,lift,t,win
21,30,60,0,off,10,all,241070,0.0896,-0.0102,-3.8,0.279
21,30,60,0,off,10,bull,187536,0.0492,-0.0235,-7.7,0.274
21,30,60,0,off,10,nonbull,53534,0.2311,0.0405,7.0,0.299
21,30,60,0,off,15,all,240317,0.1039,-0.0029,-1.0,0.326
21,30,60,0,off,15,bull,186783,0.0565,-0.0206,-6.4,0.316
21,30,60,0,off,15,nonbull,53534,0.2693,0.0629,10.4,0.362
21,30,60,0,s0,10,all,156023,0.058,-0.0418,-12.4,0.284
21,30,60,0,s0,10,bull,138391,0.0594,-0.0134,-3.7,0.286
21,30,60,0,s0,10,nonbull,17632,0.0468,-0.1439,-14.6,0.266
21,30,60,0,s0,15,all,155421,0.0653,-0.0414,-11.7,0.324
21,30,60,0,s0,15,bull,137789,0.0668,-0.0102,-2.7,0.325
21,30,60,0,s0,15,nonbull,17632,0.0541,-0.1523,-14.7,0.309
21,30,60,0,s20,10,all,60237,0.0552,-0.0446,-8.2,0.289
21,30,60,0,s20,10,bull,54038,0.0557,-0.0171,-3.0,0.291
21,30,60,0,s20,10,nonbull,6199,0.0509,-0.1398,-8.4,0.272
21,30,60,0,s20,15,all,59898,0.0565,-0.0503,-8.9,0.323
21,30,60,0,s20,15,bull,53699,0.0569,-0.0201,-3.4,0.324
21,30,60,0,s20,15,nonbull,6199,0.0531,-0.1532,-8.8,0.312
21,30,60,1,off,10,all,126381,0.0773,-0.0225,-6.0,0.282
21,30,60,1,off,10,bull,99489,0.0384,-0.0344,-8.2,0.273
21,30,60,1,off,10,nonbull,26892,0.2213,0.0306,3.7,0.316
21,30,60,1,off,15,all,125845,0.0855,-0.0212,-5.4,0.324
21,30,60,1,off,15,bull,98953,0.043,-0.034,-7.8,0.312
21,30,60,1,off,15,nonbull,26892,0.242,0.0356,4.1,0.368
21,30,60,1,s0,10,all,85210,0.037,-0.0627,-13.7,0.281
21,30,60,1,s0,10,bull,75946,0.0394,-0.0333,-6.9,0.284
21,30,60,1,s0,10,nonbull,9264,0.0177,-0.173,-12.7,0.262
21,30,60,1,s0,15,all,84779,0.0404,-0.0664,-14.0,0.317
