indicator,horizon,regime,n,mean_fwd,baseline,edge,t
rsi_oversold(<30),1,all,73260,0.1581,0.4417,-0.2836,-10.22
rsi_oversold(<30),1,bull,46693,0.0747,0.5395,-0.4648,-13.43
rsi_oversold(<30),1,nonbull,26567,0.3046,0.114,0.1906,4.1
rsi_exit_oversold(x30up),1,all,21542,-0.2055,0.4417,-0.6472,-10.05
rsi_exit_oversold(x30up),1,bull,14068,0.043,0.5395,-0.4965,-5.4
rsi_exit_oversold(x30up),1,nonbull,7474,-0.6734,0.114,-0.7874,-11.8
rsi_bull(>50),1,all,986489,0.0352,0.4417,-0.4065,-78.8
rsi_bull(>50),1,bull,788436,0.0201,0.5395,-0.5194,-97.64
rsi_bull(>50),1,nonbull,198053,0.0955,0.114,-0.0186,-1.28
williams_oversold(<-80),1,all,362748,1.1516,0.4417,0.7099,0.71
williams_oversold(<-80),1,bull,268550,1.5065,0.5395,0.967,0.71
williams_oversold(<-80),1,nonbull,94198,0.14,0.114,0.0259,1.29
stoch_oversold(<20),1,all,324632,1.2454,0.4417,0.8037,0.72
stoch_oversold(<20),1,bull,237937,1.6434,0.5395,1.1039,0.72
stoch_oversold(<20),1,nonbull,86695,0.1529,0.114,0.0388,1.86
cci_oversold(<-100),1,all,321268,0.0472,0.4417,-0.3945,-38.99
cci_oversold(<-100),1,bull,232742,0.0701,0.5395,-0.4694,-39.21
cci_oversold(<-100),1,nonbull,88526,-0.013,0.114,-0.1271,-6.72
cci_break(x+100up),1,all,97842,0.0118,0.4417,-0.4299,-31.42
cci_break(x+100up),1,bull,76540,-0.0282,0.5395,-0.5677,-36.05
cci_break(x+100up),1,nonbull,21302,0.1553,0.114,0.0413,1.51
bb_lower_touch,1,all,94397,0.1096,0.4417,-0.3321,-20.7
bb_lower_touch,1,bull,66340,0.06,0.5395,-0.4795,-30.14
bb_lower_touch,1,nonbull,28057,0.2268,0.114,0.1128,2.91
bb_upper_break(x up),1,all,59020,0.029,0.4417,-0.4127,-8.58
bb_upper_break(x up),1,bull,47153,0.0204,0.5395,-0.5191,-8.78
bb_upper_break(x up),1,nonbull,11867,0.0633,0.114,-0.0508,-1.13
macd_bull_cross,1,all,69909,0.019,0.4417,-0.4227,-11.18
