liquid universe: 1946 names
caches: earnings 2021, fundamentals 1142
to fetch: 1522 names (~6088 calls upper bound)
  226/1522 done (224 earn, 226 fund this run, 1.5 calls/s)
  251/1522 done (249 earn, 251 fund this run, 1.5 calls/s)
  276/1522 done (274 earn, 276 fund this run, 1.5 calls/s)
  301/1522 done (299 earn, 301 fund this run, 1.4 calls/s)
  326/1522 done (324 earn, 326 fund this run, 1.4 calls/s)
  351/1522 done (349 earn, 351 fund this run, 1.4 calls/s)
  402/1522 done (398 earn, 402 fund this run, 1.4 calls/s)
  427/1522 done (423 earn, 427 fund this run, 1.4 calls/s)
  452/1522 done (448 earn, 452 fund this run, 1.4 calls/s)
  477/1522 done (473 earn, 477 fund this run, 1.4 calls/s)
  502/1522 done (498 earn, 502 fund this run, 1.3 calls/s)
  527/1522 done (523 earn, 527 fund this run, 1.3 calls/s)
  552/1522 done (548 earn, 552 fund this run, 1.3 calls/s)
  577/1522 done (573 earn, 577 fund this run, 1.3 calls/s)
  602/1522 done (598 earn, 602 fund this run, 1.3 calls/s)
  627/1522 done (623 earn, 627 fund this run, 1.3 calls/s)
  652/1522 done (648 earn, 652 fund this run, 1.3 calls/s)
  677/1522 done (673 earn, 677 fund this run, 1.3 calls/s)
  702/1522 done (698 earn, 702 fund this run, 1.3 calls/s)
  727/1522 done (723 earn, 727 fund this run, 1.3 calls/s)
  752/1522 done (748 earn, 752 fund this run, 1.3 calls/s)
  777/1522 done (773 earn, 777 fund this run, 1.3 calls/s)
  802/1522 done (798 earn, 802 fund this run, 1.3 calls/s)
  827/1522 done (823 earn, 827 fund this run, 1.2 calls/s)
  852/1522 done (848 earn, 852 fund this run, 1.2 calls/s)
  877/1522 done (873 earn, 877 fund this run, 1.2 calls/s)
  902/1522 done (898 earn, 902 fund this run, 1.2 calls/s)
  927/1522 done (923 earn, 927 fund this run, 1.2 calls/s)
  952/1522 done (948 earn, 952 fund this run, 1.2 calls/s)
  977/1522 done (973 earn, 977 fund this run, 1.2 calls/s)
  1002/1522 done (998 earn, 1002 fund this run, 1.2 calls/s)
  1027/1522 done (1023 earn, 1027 fund this run, 1.2 calls/s)
  1052/1522 done (1048 earn, 1052 fund this run, 1.2 calls/s)
  1077/1522 done (1073 earn, 1077 fund this run, 1.2 calls/s)
  1102/1522 done (1098 earn, 1102 fund this run, 1.2 calls/s)
  1127/1522 done (1123 earn, 1127 fund this run, 1.2 calls/s)
  1152/1522 done (1148 earn, 1152 fund this run, 1.2 calls/s)
  1177/1522 done (1173 earn, 1177 fund this run, 1.2 calls/s)
  1202/1522 done (1198 earn, 1202 fund this run, 1.2 calls/s)
  1227/1522 done (1223 earn, 1227 fund this run, 1.2 calls/s)
  1278/1522 done (1272 earn, 1278 fund this run, 1.2 calls/s)
  1303/1522 done (1297 earn, 1303 fund this run, 1.2 calls/s)
  1328/1522 done (1322 earn, 1328 fund this run, 1.2 calls/s)
  1353/1522 done (1347 earn, 1353 fund this run, 1.2 calls/s)
  1378/1522 done (1372 earn, 1378 fund this run, 1.1 calls/s)
  1403/1522 done (1397 earn, 1403 fund this run, 1.1 calls/s)
  1428/1522 done (1422 earn, 1428 fund this run, 1.1 calls/s)
  1453/1522 done (1447 earn, 1453 fund this run, 1.1 calls/s)
  1478/1522 done (1472 earn, 1478 fund this run, 1.1 calls/s)
  1503/1522 done (1497 earn, 1503 fund this run, 1.1 calls/s)

fundamentals cached for 1946/1946 liquid names; 0 remain
computing Z'' rows + writing parquet ...
WROTE data/fundamentals.parquet: 141216 rows over 2597 symbols (1902/1946 liquid covered)
COMPLETE.
