indicator,horizon,regime,n,mean_fwd,baseline,edge,t
ichi_above_cloud,1,all,877395,0.0378,0.0492,-0.0115,-3.12
ichi_above_cloud,1,bull,725914,0.039,0.0266,0.0123,3.05
ichi_above_cloud,1,nonbull,151481,0.0319,0.1249,-0.093,-10.55
ichi_cloud_breakout,1,all,44532,0.0141,0.0492,-0.0351,-1.53
ichi_cloud_breakout,1,bull,35106,0.0007,0.0266,-0.0259,-0.98
ichi_cloud_breakout,1,nonbull,9426,0.064,0.1249,-0.0608,-1.35
ichi_tk_bull_cross,1,all,41796,0.0337,0.0492,-0.0155,-0.74
ichi_tk_bull_cross,1,bull,32325,0.001,0.0266,-0.0256,-1.04
ichi_tk_bull_cross,1,nonbull,9471,0.1453,0.1249,0.0205,0.53
ichi_tk_above_kijun,1,all,939449,0.0445,0.0492,-0.0047,-1.29
ichi_tk_above_kijun,1,bull,748781,0.0286,0.0266,0.002,0.48
ichi_tk_above_kijun,1,nonbull,190668,0.1071,0.1249,-0.0177,-2.21
ichi_green_cloud,1,all,962503,0.0435,0.0492,-0.0058,-1.68
ichi_green_cloud,1,bull,792418,0.0461,0.0266,0.0194,5.37
ichi_green_cloud,1,nonbull,170085,0.0313,0.1249,-0.0936,-9.73
ichi_chikou_above,1,all,987078,0.03,0.0492,-0.0193,-5.2
ichi_chikou_above,1,bull,794829,0.0178,0.0266,-0.0088,-2.14
ichi_chikou_above,1,nonbull,192249,0.0803,0.1249,-0.0446,-5.36
ichi_perfect_bull,1,all,436445,0.0442,0.0492,-0.0051,-1.05
ichi_perfect_bull,1,bull,380668,0.0503,0.0266,0.0237,4.68
ichi_perfect_bull,1,nonbull,55777,0.002,0.1249,-0.1229,-8.44
ichi_below_cloud,1,all,665937,0.0601,0.0492,0.0108,1.16
ichi_below_cloud,1,bull,471177,0.0094,0.0266,-0.0173,-2.09
ichi_below_cloud,1,nonbull,194760,0.1827,0.1249,0.0579,2.34
ichi_in_cloud,1,all,222880,0.0472,0.0492,-0.002,-0.29
ichi_in_cloud,1,bull,174521,0.0178,0.0266,-0.0089,-1.12
ichi_in_cloud,1,nonbull,48359,0.1533,0.1249,0.0284,1.78
ichi_above_cloud,3,all,876596,0.1105,0.1404,-0.0299,-4.86
ichi_above_cloud,3,bull,725115,0.1121,0.0627,0.0494,7.29
ichi_above_cloud,3,nonbull,151481,0.1027,0.4004,-0.2977,-20.22
ichi_cloud_breakout,3,all,44491,0.0896,0.1404,-0.0507,-1.51
ichi_cloud_breakout,3,bull,35065,0.0452,0.0627,-0.0175,-0.46
ichi_cloud_breakout,3,nonbull,9426,0.255,0.4004,-0.1455,-2.05
ichi_tk_bull_cross,3,all,41742,0.1166,0.1404,-0.0238,-0.64
ichi_tk_bull_cross,3,bull,32271,0.0603,0.0627,-0.0024,-0.06
ichi_tk_bull_cross,3,nonbull,9471,0.3086,0.4004,-0.0918,-1.32
ichi_tk_above_kijun,3,all,938703,0.1227,0.1404,-0.0177,-2.93
ichi_tk_above_kijun,3,bull,748036,0.068,0.0627,0.0053,0.8
ichi_tk_above_kijun,3,nonbull,190667,0.3373,0.4004,-0.0632,-4.58
ichi_green_cloud,3,all,961357,0.1228,0.1404,-0.0176,-2.59
ichi_green_cloud,3,bull,791273,0.1275,0.0627,0.0648,8.62
ichi_green_cloud,3,nonbull,170084,0.101,0.4004,-0.2994,-19.03
ichi_chikou_above,3,all,986254,0.1027,0.1404,-0.0377,-6.13
ichi_chikou_above,3,bull,794005,0.0586,0.0627,-0.0041,-0.6
ichi_chikou_above,3,nonbull,192249,0.2848,0.4004,-0.1156,-8.19
ichi_perfect_bull,3,all,436036,0.1217,0.1404,-0.0187,-2.27
ichi_perfect_bull,3,bull,380259,0.134,0.0627,0.0714,8.27
ichi_perfect_bull,3,nonbull,55777,0.038,0.4004,-0.3625,-13.99
ichi_below_cloud,3,all,665239,0.1572,0.1404,0.0168,1.12
ichi_below_cloud,3,bull,470479,-0.0151,0.0627,-0.0777,-4.87
ichi_below_cloud,3,nonbull,194760,0.5733,0.4004,0.1728,5.17
ichi_in_cloud,3,all,222587,0.1539,0.1404,0.0135,1.11
ichi_in_cloud,3,bull,174229,0.0597,0.0627,-0.0029,-0.22
ichi_in_cloud,3,nonbull,48358,0.493,0.4004,0.0926,3.37
ichi_above_cloud,5,all,875730,0.1876,0.2373,-0.0497,-6.29
ichi_above_cloud,5,bull,724251,0.2001,0.1185,0.0816,9.34
ichi_above_cloud,5,nonbull,151479,0.1282,0.6343,-0.5061,-27.39
ichi_cloud_breakout,5,all,44431,0.1866,0.2373,-0.0507,-1.18
ichi_cloud_breakout,5,bull,35005,0.1718,0.1185,0.0532,1.08
ichi_cloud_breakout,5,nonbull,9426,0.2417,0.6343,-0.3926,-4.62
ichi_tk_bull_cross,5,all,41693,0.2188,0.2373,-0.0185,-0.43
ichi_tk_bull_cross,5,bull,32222,0.0944,0.1185,-0.0241,-0.48
ichi_tk_bull_cross,5,nonbull,9471,0.642,0.6343,0.0077,0.09
ichi_tk_above_kijun,5,all,937973,0.1976,0.2373,-0.0398,-5.16
ichi_tk_above_kijun,5,bull,747308,0.1176,0.1185,-0.0009,-0.11
ichi_tk_above_kijun,5,nonbull,190665,0.511,0.6343,-0.1233,-7.1
ichi_green_cloud,5,all,960237,0.2091,0.2373,-0.0282,-2.75
ichi_green_cloud,5,bull,790155,0.221,0.1185,0.1025,8.75
ichi_green_cloud,5,nonbull,170082,0.154,0.6343,-0.4803,-24.15
ichi_chikou_above,5,all,985382,0.1771,0.2373,-0.0602,-7.61
ichi_chikou_above,5,bull,793133,0.1154,0.1185,-0.0031,-0.35
ichi_chikou_above,5,nonbull,192249,0.4316,0.6343,-0.2027,-11.47
ichi_perfect_bull,5,all,435619,0.1948,0.2373,-0.0426,-4.11
ichi_perfect_bull,5,bull,379842,0.2151,0.1185,0.0966,8.86
ichi_perfect_bull,5,nonbull,55777,0.0561,0.6343,-0.5782,-17.89
ichi_below_cloud,5,all,664632,0.2652,0.2373,0.0278,1.24
ichi_below_cloud,5,bull,469872,-0.0121,0.1185,-0.1306,-5.66
ichi_below_cloud,5,nonbull,194760,0.934,0.6343,0.2997,5.71
ichi_in_cloud,5,all,222269,0.2632,0.2373,0.0259,1.65
ichi_in_cloud,5,bull,173911,0.1254,0.1185,0.0069,0.39
ichi_in_cloud,5,nonbull,48358,0.7589,0.6343,0.1246,3.53
ichi_above_cloud,10,all,873479,0.3798,0.4613,-0.0815,-7.4
ichi_above_cloud,10,bull,722002,0.4228,0.2417,0.1811,14.99
ichi_above_cloud,10,nonbull,151477,0.1749,1.1928,-1.0178,-37.92
