,rsi,willr,stochk,cci,mfi,roc10,roc3,macd_hist,bb_pctb,bb_width,zscore,adx,di_spread,aroonosc,psar_dist,ich_kijun,dist_sma50,dist_sma200,sma_cross,donch_pos,ema_slope,atr_pct,keltner_pos,rvol,obv_slope,force_idx,ad_slope,vwap_dist,gap,engulf,hammer
rsi,1.0,0.827,0.825,0.865,0.723,0.762,0.523,0.556,0.883,-0.036,0.884,0.101,0.934,0.71,0.636,0.84,0.866,0.578,0.133,0.888,0.837,-0.301,0.977,-0.026,0.565,0.522,0.445,0.854,0.176,0.056,-0.042
willr,0.827,1.0,0.915,0.875,0.639,0.747,0.585,0.656,0.916,-0.003,0.916,0.032,0.72,0.427,0.758,0.721,0.594,0.343,0.018,0.933,0.64,-0.202,0.868,-0.041,0.536,0.44,0.473,0.826,0.172,0.095,-0.051
stochk,0.825,0.915,1.0,0.868,0.701,0.754,0.439,0.696,0.869,-0.009,0.869,0.042,0.75,0.52,0.722,0.735,0.623,0.366,0.027,0.905,0.743,-0.213,0.843,-0.039,0.546,0.414,0.481,0.821,0.063,0.012,-0.03
cci,0.865,0.875,0.868,1.0,0.678,0.755,0.604,0.662,0.981,-0.003,0.981,0.039,0.822,0.573,0.724,0.724,0.653,0.377,0.019,0.906,0.693,-0.209,0.899,-0.022,0.544,0.503,0.419,0.831,0.242,0.025,-0.064
mfi,0.723,0.639,0.701,0.678,1.0,0.604,0.317,0.539,0.683,0.014,0.684,0.07,0.694,0.553,0.461,0.627,0.587,0.349,0.032,0.694,0.666,-0.176,0.717,-0.019,0.569,0.41,0.383,0.678,0.107,0.023,-0.038
roc10,0.762,0.747,0.754,0.755,0.604,1.0,0.534,0.774,0.767,0.041,0.767,0.025,0.747,0.437,0.75,0.739,0.684,0.373,-0.007,0.728,0.818,-0.205,0.819,-0.033,0.671,0.603,0.505,0.876,0.195,0.039,-0.032
roc3,0.523,0.585,0.439,0.604,0.317,0.534,1.0,0.432,0.613,0.044,0.613,0.004,0.487,0.161,0.642,0.475,0.403,0.207,-0.021,0.526,0.275,-0.109,0.614,-0.008,0.354,0.506,0.265,0.614,0.339,0.074,-0.059
macd_hist,0.556,0.656,0.696,0.662,0.539,0.774,0.432,1.0,0.664,0.041,0.664,-0.015,0.553,0.277,0.684,0.572,0.373,0.085,-0.18,0.625,0.622,-0.114,0.647,-0.051,0.536,0.565,0.403,0.75,0.104,0.016,-0.025
bb_pctb,0.883,0.916,0.869,0.981,0.683,0.767,0.613,0.664,1.0,-0.004,1.0,0.041,0.818,0.562,0.728,0.741,0.662,0.382,0.018,0.936,0.695,-0.214,0.917,-0.027,0.554,0.5,0.431,0.849,0.218,0.076,-0.05
bb_width,-0.036,-0.003,-0.009,-0.003,0.014,0.041,0.044,0.041,-0.004,1.0,-0.004,0.427,-0.025,-0.053,-0.023,-0.177,-0.085,-0.14,-0.135,-0.024,-0.061,0.664,-0.02,0.008,0.035,-0.028,0.013,-0.028,0.007,0.01,0.012
zscore,0.884,0.916,0.869,0.981,0.684,0.767,0.613,0.664,1.0,-0.004,1.0,0.041,0.818,0.562,0.728,0.741,0.662,0.382,0.018,0.936,0.695,-0.214,0.918,-0.027,0.553,0.5,0.43,0.849,0.219,0.076,-0.05
