strategy,pair,direction,tp_R,n,mean_R,se_R,ci_lo_R,ci_hi_R,win_rate
atr,EUR_NOK,long,0.2,489,0.040490797546012265,0.01844174797005814,0.004344971524698316,0.07663662356732621,0.8670756646216768
atr,NZD_CHF,short,0.2,1139,0.04618086040386303,0.011891521983633156,0.022873477315942043,0.06948824349178402,0.8718173836698858
atr,USD_JPY,long,0.2,1075,-0.015441860465116277,0.01405347055877112,-0.04298666276030767,0.012102941830075119,0.8204651162790698
bb,AUD_CAD,short,0.2,220,0.030909090909090907,0.028212934254210852,-0.024388260229162365,0.08620644204734418,0.8590909090909091
bb,CAD_CHF,short,0.2,1061,0.0360037700282752,0.012660319548007887,0.01118954371417974,0.06081799634237066,0.8633364750235627
bb,CHF_JPY,long,0.2,295,0.06576271186440677,0.02205937382597847,0.02252633916548897,0.10899908456332458,0.888135593220339
bb,EUR_CAD,long,0.2,300,0.07011160577031264,0.021344245704287463,0.028276884189909215,0.11194632735071607,0.89
bb,USD_JPY,long,0.2,342,0.021052631578947358,0.023147789963131535,-0.024317036748790447,0.06642229990668516,0.8508771929824561
candle,USD_JPY,long,0.2,418,0.019138755980861243,0.021024292403472356,-0.022068857129944577,0.06034636909166706,0.8492822966507177
cci,CAD_CHF,short,0.2,1118,0.04436493738819319,0.01206294304162188,0.02072156902661431,0.06800830574977207,0.870304114490161
cci,CHF_JPY,long,0.2,816,0.0238644507342218,0.01484430157906623,-0.005230380360748011,0.052959281829191615,0.8517156862745098
cci,EUR_USD,short,0.2,916,0.037334273211094546,0.01357105644634593,0.010735002576256522,0.06393354384593257,0.8635371179039302
cci,USD_CAD,long,0.2,447,0.019420884321553745,0.020281514774975588,-0.02033088463739841,0.0591726532805059,0.8478747203579419
cci,USD_JPY,long,0.2,597,0.037185929648241196,0.01683259775486798,0.004194038048699958,0.07017782124778243,0.864321608040201
ema,CHF_JPY,long,0.2,256,0.05937499999999999,0.02417052242736521,0.01200077604236418,0.10674922395763581,0.8828125
ema,EUR_CAD,long,0.2,395,0.03530813836277861,0.020696455606971552,-0.005256914626885635,0.07587319135244286,0.8607594936708861
ema,EUR_GBP,short,0.2,348,0.053873960404508404,0.020980041022197683,0.01275308000100095,0.09499484080801586,0.8735632183908046
ema,GBP_CAD,long,0.2,283,0.055830388692579495,0.02323321912100695,0.010293279215405876,0.10136749816975311,0.8798586572438163
ichimoku,USD_SGD,short,0.2,171,0.017561809093305424,0.031772866870661984,-0.04471300997319207,0.07983662815980291,0.8304093567251462
macd,AUD_JPY,long,0.2,203,-0.03645320197044335,0.033584069600083484,-0.10227797838660699,0.029371574445720285,0.8029556650246306
macd,CAD_CHF,short,0.2,308,0.05584415584415583,0.02226623812421687,0.01220232912069076,0.0994859825676209,0.8798701298701299
macd,EUR_CHF,short,0.2,255,0.04122862152399281,0.025355787168796634,-0.008468721326848595,0.09092596437483422,0.8666666666666667
macd,NZD_JPY,long,0.2,134,0.03880597014925372,0.03548263586361457,-0.03073999614343082,0.10835193644193827,0.8656716417910447
macd,NZD_USD,short,0.2,222,0.03243243243243243,0.02797883746000605,-0.02240608898917943,0.08727095385404429,0.8603603603603603
rsi,CHF_JPY,long,0.2,565,0.03221238938053096,0.017523664368017597,-0.0021339927807835293,0.06655877154184545,0.8601769911504424
rsi,EUR_GBP,long,0.2,394,0.01250078165291568,0.02159839906497056,-0.029832080514426616,0.05483364382025798,0.8350253807106599
rsi,USD_JPY,long,0.2,1191,0.014609571788413088,0.012572442285666327,-0.010032415091492912,0.039251558668319086,0.8455079764903443
sma,CAD_JPY,long,0.2,257,0.027237354085603113,0.02632936241705827,-0.024368196251831092,0.07884290442303732,0.8560311284046692
sma,EUR_CAD,long,0.2,401,0.052386437220216436,0.01960670601604652,0.013957293428765255,0.09081558101166762,0.8753117206982544
sma,EUR_GBP,long,0.2,269,-0.0013286012305378239,0.02678555726713258,-0.05382829347411768,0.051171091013042035,0.8178438661710037
stoch,CAD_CHF,short,0.2,1685,0.04047477744807121,0.009927946185313211,0.021016002924857315,0.0599335519712851,0.8670623145400593
stoch,CHF_JPY,long,0.2,1765,0.008192455690888896,0.010455812307308656,-0.01230093643143607,0.02868584781321386,0.8390934844192635
stoch,EUR_GBP,long,0.2,1920,0.0027684783527572674,0.00998593414391889,-0.01680395256932376,0.02234090927483829,0.8270833333333333
stoch,USD_JPY,long,0.2,1884,0.004402639701893871,0.010204631319235633,-0.01559843768380797,0.024403717087595714,0.8365180467091295
atr,EUR_NOK,long,0.3,489,0.06605316973415132,0.022606748591367357,0.0217439424950713,0.11036239697323133,0.820040899795501
atr,NZD_CHF,short,0.3,1139,0.07058823529411765,0.01469088452630951,0.04179410162255101,0.09938236896568428,0.8235294117647058
atr,USD_JPY,long,0.3,1075,-0.0027735062242212963,0.01675032225112336,-0.03560413783642308,0.030057125387980485,0.7665116279069767
bb,AUD_CAD,short,0.3,220,0.08727272727272727,0.03249816025586448,0.02357633317123288,0.15096912137422164,0.8363636363636363
bb,CAD_CHF,short,0.3,1061,0.0512875221659215,0.015705091373999776,0.02050554307288194,0.08206950125896106,0.8086710650329878
bb,CHF_JPY,long,0.3,295,0.09729983616553188,0.02728978214149478,0.04381186316820211,0.15078780916286166,0.8406779661016949
bb,EUR_CAD,long,0.3,300,0.10808384287590943,0.026194670073024118,0.05674228953278216,0.1594253962190367,0.8466666666666667
bb,USD_JPY,long,0.3,342,0.03391812865497076,0.028403609209040642,-0.021752945394748903,0.08958920270469042,0.7953216374269005
candle,USD_JPY,long,0.3,418,0.04186602870813396,0.025395717814627378,-0.007909578208535696,0.09164163562480362,0.8014354066985646
cci,CAD_CHF,short,0.3,1118,0.06744186046511629,0.014907722522471467,0.03822272432107221,0.09666099660916036,0.8211091234347049
