strategy,tp_R,n,mean_R,se_R,ci_lo_R,ci_hi_R,win_rate
atr,0.2,2703,0.020643729189789118,0.008231001791158238,0.004510965679118972,0.03677649270045927,0.850536440991491
bb,0.2,2218,0.04176441917542551,0.008613080943422315,0.024882780526317774,0.05864605782453325,0.8678990081154193
candle,0.2,418,0.019138755980861243,0.021024292403472356,-0.022068857129944577,0.06034636909166706,0.8492822966507177
cci,0.2,3894,0.034451135426867514,0.006627030428174672,0.021462155787645158,0.047440115066089875,0.8613251155624037
ema,0.2,1282,0.04968397260067588,0.0110673801343958,0.027991907537260108,0.07137603766409165,0.8728549141965679
ichimoku,0.2,171,0.017561809093305424,0.031772866870661984,-0.04471300997319207,0.07983662815980291,0.8304093567251462
macd,0.2,1122,0.0291562375121374,0.012507503308800611,0.004641531026888201,0.0536709439973866,0.857397504456328
rsi,0.2,2150,0.018848980451743613,0.009237372558879185,0.0007437302363404105,0.036954230667146815,0.8474418604651163
sma,0.2,927,0.02982693375867542,0.013629572274289826,0.0031129721010673614,0.05654089541628348,0.8532901833872708
stoch,0.2,7254,0.013271262190526732,0.005081470149883054,0.003311580696755946,0.02323094368429752,0.8417424869037772
atr,0.3,2703,0.04059137284830266,0.009990753203764654,0.021009496568923935,0.06017324912768138,0.8002219755826859
bb,0.3,2218,0.06598046237585548,0.010575995742480297,0.04525151072059409,0.08670941403111686,0.8187556357078449
candle,0.3,418,0.04186602870813396,0.025395717814627378,-0.007909578208535696,0.09164163562480362,0.8014354066985646
cci,0.3,3894,0.046745646567248535,0.008238355489167338,0.030598469808480553,0.06289282332601652,0.8038007190549563
ema,0.3,1282,0.071859159831079,0.013719245195656055,0.04496943924759314,0.09874888041456487,0.8198127925117005
ichimoku,0.3,171,0.047252343207839116,0.037503567495196545,-0.026254649082746113,0.12075933549842435,0.7777777777777778
macd,0.3,1122,0.0536802365831426,0.015159587588712461,0.02396744490926618,0.08339302825701903,0.8092691622103387
rsi,0.3,2150,0.03174042301068561,0.011311496009341277,0.009569890832376707,0.05391095518899451,0.7916279069767442
sma,0.3,927,0.05306986722444538,0.01648495108844923,0.020759363091084893,0.08538037135780586,0.7993527508090615
stoch,0.3,7254,0.028619753587919478,0.006164982826857183,0.016536387247279398,0.04070311992855956,0.7875654811138683
atr,0.4,2703,0.047173217517462195,0.01167907134978717,0.024282237671879342,0.07006419736304505,0.7469478357380688
bb,0.4,2218,0.08641399640531125,0.012357480927500584,0.062193333787410106,0.1106346590232124,0.7750225428313796
