strategy,pair,direction,entry_mode,signal_ts,entry_ts,entry_price,mfe_R,mae_R,sl_hit,bars_to_exit,max_hold_close_R,r_tp0.2,bars_tp0.2,r_tp0.3,bars_tp0.3,r_tp0.4,bars_tp0.4,r_tp0.5,bars_tp0.5,r_tp0.6,bars_tp0.6,r_tp0.7,bars_tp0.7,r_tp0.8,bars_tp0.8,r_tp1.0,bars_tp1.0,r_tp1.25,bars_tp1.25,r_tp1.5,bars_tp1.5
stoch,CAD_CHF,short,mid,2016-01-05 14:00:00,2016-01-05 14:00:00,0.72065,5.585929369319351,-0.21577742315964366,False,84,0.9928536737667408,0.2,2,0.3,3,0.4,4,0.5,4,0.6,4,0.7,5,0.8,6,1.0,8,1.25,9,1.5,9
stoch,CAD_CHF,short,mid,2016-01-13 10:00:00,2016-01-13 10:00:00,0.7093400000000001,4.080553754194024,-1.1461358445879182,True,42,-1.0,0.2,1,0.3,1,0.4,1,0.5,1,0.6,1,0.7,1,0.8,1,1.0,2,1.25,2,1.5,5
stoch,CAD_CHF,short,mid,2016-01-19 06:00:00,2016-01-19 06:00:00,0.6963349999999999,2.2891280777211778,-1.1165602763037976,True,13,-1.0,0.2,1,0.3,1,0.4,1,0.5,1,0.6,2,0.7,2,0.8,2,1.0,2,1.25,3,1.5,5
stoch,CAD_CHF,short,mid,2016-01-21 02:00:00,2016-01-21 02:00:00,0.691705,0.39756832753847926,-1.7933945829508295,True,2,-1.0,0.2,1,0.3,1,-1.0,2,-1.0,2,-1.0,2,-1.0,2,-1.0,2,-1.0,2,-1.0,2,-1.0,2
stoch,CAD_CHF,short,mid,2016-01-21 14:00:00,2016-01-21 14:00:00,0.70703,0.6711172086050121,-1.4765992956451697,True,5,-1.0,0.2,1,0.3,1,0.4,1,0.5,1,0.6,1,-1.0,5,-1.0,5,-1.0,5,-1.0,5,-1.0,5
stoch,CAD_CHF,short,mid,2016-01-22 10:00:00,2016-01-22 10:00:00,0.7146049999999999,1.0922117813337346,-1.5763953512779867,True,13,-1.0,0.2,5,0.3,5,0.4,7,0.5,8,0.6,8,0.7,8,0.8,8,1.0,11,-1.0,13,-1.0,13
stoch,CAD_CHF,short,mid,2016-01-24 22:00:00,2016-01-24 22:00:00,0.71693,1.4129691880657678,-1.2469836664667404,True,10,-1.0,0.2,2,0.3,2,0.4,2,0.5,2,0.6,2,0.7,4,0.8,5,1.0,5,1.25,8,-1.0,10
stoch,CAD_CHF,short,mid,2016-01-26 14:00:00,2016-01-26 14:00:00,0.72472,1.1604481730875398,-1.1349210729660995,True,18,-1.0,0.2,1,0.3,1,0.4,1,0.5,1,0.6,1,0.7,2,0.8,4,1.0,5,-1.0,18,-1.0,18
stoch,CAD_CHF,short,mid,2016-01-27 18:00:00,2016-01-27 18:00:00,0.7200949999999999,0.33676112179641643,-1.1137419368278014,True,8,-1.0,0.2,4,0.3,4,-1.0,8,-1.0,8,-1.0,8,-1.0,8,-1.0,8,-1.0,8,-1.0,8,-1.0,8
stoch,CAD_CHF,short,mid,2016-01-29 06:00:00,2016-01-29 06:00:00,0.7265,0.6662078458362133,-1.0571231933929879,True,25,-1.0,0.2,1,0.3,1,0.4,1,0.5,1,0.6,1,-1.0,25,-1.0,25,-1.0,25,-1.0,25,-1.0,25
stoch,CAD_CHF,short,mid,2016-01-29 14:00:00,2016-01-29 14:00:00,0.7284349999999999,5.2159767172087745,-0.7886770954168967,False,84,0.6623789356634187,0.2,4,0.3,4,0.4,6,0.5,6,0.6,6,0.7,6,0.8,6,1.0,29,1.25,29,1.5,30
stoch,CAD_CHF,short,mid,2016-01-31 22:00:00,2016-01-31 22:00:00,0.73007,5.428246606489759,-0.5629597161916022,False,84,1.397811168792027,0.2,2,0.3,2,0.4,2,0.5,2,0.6,4,0.7,4,0.8,4,1.0,4,1.25,27,1.5,27
stoch,CAD_CHF,short,mid,2016-02-03 14:00:00,2016-02-03 14:00:00,0.726955,5.023006926150901,-0.9938716976979426,False,84,1.0922271667434853,0.2,1,0.3,1,0.4,1,0.5,6,0.6,7,0.7,7,0.8,11,1.0,11,1.25,12,1.5,12
stoch,CAD_CHF,short,mid,2016-02-04 02:00:00,2016-02-04 02:00:00,0.7301850000000001,5.4431411217704895,-0.5471216198634512,False,84,1.4756534302950637,0.2,1,0.3,2,0.4,2,0.5,2,0.6,2,0.7,3,0.8,3,1.0,4,1.25,8,1.5,8
stoch,CAD_CHF,short,mid,2016-02-12 10:00:00,2016-02-12 10:00:00,0.700075,0.12284398100204734,-1.099882155483347,True,1,-1.0,-1.0,1,-1.0,1,-1.0,1,-1.0,1,-1.0,1,-1.0,1,-1.0,1,-1.0,1,-1.0,1,-1.0,1
stoch,CAD_CHF,short,mid,2016-02-12 18:00:00,2016-02-12 18:00:00,0.7055,0.11197732104891066,-1.1304039688164462,True,4,-1.0,-1.0,4,-1.0,4,-1.0,4,-1.0,4,-1.0,4,-1.0,4,-1.0,4,-1.0,4,-1.0,4,-1.0,4
stoch,CAD_CHF,short,mid,2016-02-15 02:00:00,2016-02-15 02:00:00,0.7101299999999999,0.14433976877472376,-1.204004900511186,True,6,-1.0,-1.0,6,-1.0,6,-1.0,6,-1.0,6,-1.0,6,-1.0,6,-1.0,6,-1.0,6,-1.0,6,-1.0,6
stoch,CAD_CHF,short,mid,2016-02-15 14:00:00,2016-02-15 14:00:00,0.71393,0.6338156401888022,-1.7095513565755873,True,12,-1.0,0.2,4,0.3,6,0.4,6,0.5,6,0.6,10,-1.0,12,-1.0,12,-1.0,12,-1.0,12,-1.0,12
stoch,CAD_CHF,short,mid,2016-02-16 02:00:00,2016-02-16 02:00:00,0.717455,1.122021590204248,-1.2098319755246,True,9,-1.0,0.2,1,0.3,1,0.4,1,0.5,1,0.6,1,0.7,2,0.8,3,1.0,3,-1.0,9,-1.0,9
stoch,CAD_CHF,short,mid,2016-02-17 22:00:00,2016-02-17 22:00:00,0.725735,1.738926743232721,-1.135400662776353,True,38,-1.0,0.2,2,0.3,4,0.4,5,0.5,6,0.6,6,0.7,6,0.8,6,1.0,9,1.25,10,1.5,28
stoch,CAD_CHF,short,mid,2016-02-18 14:00:00,2016-02-18 14:00:00,0.7236100000000001,1.140116913807179,-1.0088307237323828,True,12,-1.0,0.2,1,0.3,2,0.4,2,0.5,2,0.6,5,0.7,5,0.8,5,1.0,6,-1.0,12,-1.0,12
stoch,CAD_CHF,short,mid,2016-02-22 14:00:00,2016-02-22 14:00:00,0.7295149999999999,2.248068922503294,-1.2679657032412022,True,24,-1.0,0.2,1,0.3,2,0.4,2,0.5,4,0.6,4,0.7,4,0.8,4,1.0,5,1.25,6,1.5,6
stoch,CAD_CHF,short,mid,2016-02-25 02:00:00,2016-02-25 02:00:00,0.7212149999999999,0.20867563763925934,-1.1924322150815216,True,2,-1.0,0.2,1,-1.0,2,-1.0,2,-1.0,2,-1.0,2,-1.0,2,-1.0,2,-1.0,2,-1.0,2,-1.0,2
stoch,CAD_CHF,short,mid,2016-02-25 14:00:00,2016-02-25 14:00:00,0.728795,0.07272278212666489,-1.0826089641119954,True,5,-1.0,-1.0,5,-1.0,5,-1.0,5,-1.0,5,-1.0,5,-1.0,5,-1.0,5,-1.0,5,-1.0,5,-1.0,5
stoch,CAD_CHF,short,mid,2016-02-25 22:00:00,2016-02-25 22:00:00,0.729495,0.06305732047512519,-1.2707420887051963,True,4,-1.0,-1.0,4,-1.0,4,-1.0,4,-1.0,4,-1.0,4,-1.0,4,-1.0,4,-1.0,4,-1.0,4,-1.0,4
stoch,CAD_CHF,short,mid,2016-02-26 10:00:00,2016-02-26 10:00:00,0.7364999999999999,0.2987101154107255,-1.3150033944331452,True,13,-1.0,0.2,1,-1.0,13,-1.0,13,-1.0,13,-1.0,13,-1.0,13,-1.0,13,-1.0,13,-1.0,13,-1.0,13
stoch,CAD_CHF,short,mid,2016-02-29 14:00:00,2016-02-29 14:00:00,0.73646,0.11405914781523188,-1.320506205360768,True,6,-1.0,-1.0,6,-1.0,6,-1.0,6,-1.0,6,-1.0,6,-1.0,6,-1.0,6,-1.0,6,-1.0,6,-1.0,6
stoch,CAD_CHF,short,mid,2016-03-01 18:00:00,2016-03-01 18:00:00,0.74391,0.946351037087807,-1.0485139331370725,True,23,-1.0,0.2,1,0.3,1,0.4,4,0.5,5,0.6,10,0.7,10,0.8,10,-1.0,23,-1.0,23,-1.0,23
stoch,CAD_CHF,short,mid,2016-03-02 06:00:00,2016-03-02 06:00:00,0.741375,0.6076546956668331,-1.2726353060192177,True,18,-1.0,0.2,2,0.3,7,0.4,7,0.5,7,0.6,13,-1.0,18,-1.0,18,-1.0,18,-1.0,18,-1.0,18
stoch,CAD_CHF,short,mid,2016-03-04 18:00:00,2016-03-04 18:00:00,0.74565,0.863675987393567,-1.0635016428619348,True,17,-1.0,0.2,9,0.3,9,0.4,9,0.5,11,0.6,11,0.7,11,0.8,11,-1.0,17,-1.0,17,-1.0,17
stoch,CAD_CHF,short,mid,2016-03-07 22:00:00,2016-03-07 22:00:00,0.74727,1.0785927442557668,-1.6520133285157896,True,15,-1.0,0.2,1,0.3,1,0.4,2,0.5,2,0.6,2,0.7,4,0.8,4,1.0,4,-1.0,15,-1.0,15
