tp_R,n,mean_R,se_R,ci_lo_R,ci_hi_R,win_rate
0.2,22139,0.025043680170584826,0.0028370582905939837,0.01948304592102062,0.030604314420149034,0.8525678666606441
0.3,22139,0.042507289491239345,0.0034659858892664686,0.03571395714827707,0.04930062183420162,0.7991327521568273
0.4,22139,0.0611821480332664,0.004001087581247697,0.053340016374020915,0.06902427969251189,0.7539184244997515
0.5,22139,0.07416524471816932,0.004497351611739909,0.06535043555915909,0.08298005387717955,0.710827047292109
0.6,22139,0.09172453994987169,0.004931747792775347,0.08205831427603201,0.10139076562371137,0.6769050092596774
0.7,22139,0.1058800350367545,0.005335669199226986,0.09542212340626961,0.11633794666723939,0.646189981480645
0.8,22139,0.11879192227530282,0.005710754228919556,0.10759884398662048,0.12998500056398515,0.6183657798455214
1.0,22139,0.14219457175890796,0.006377114621559861,0.12969542710065063,0.15469371641716528,0.5745968652604002
1.25,22139,0.15184100430864175,0.007066106794415378,0.1379914349915876,0.1656905736256959,0.5310086273092732
1.5,22139,0.15126303638644867,0.007607891130670346,0.1363515697703348,0.16617450300256253,0.4996160621527621
