a,b,pA,pB,beta,half_life_bars,sigma,cost,amp_ratio,hl_ok,passes
GBP_JPY,CHF_JPY,0.008275021584187277,0.048366356211881435,0.6507349819290971,320.42697011366556,0.04243536673285719,0.00032391999579714796,262.0114058005358,False,False
CAD_JPY,GBP_JPY,0.02402666781333507,0.03631315335464512,0.9880325973336355,339.7536989250487,0.04406260842054304,0.0004020841916195806,219.1710559077712,False,False
EUR_JPY,GBP_JPY,0.014294919584271343,0.04300171786224265,0.8690040234780536,320.72721587117064,0.03276526794794936,0.00030532565711851944,214.62505481634474,False,False
USD_CHF,EUR_NOK,0.0006187845298591035,0.02787938778432101,-0.4240519726190816,252.5554737970363,0.029886411622234356,0.0003684396355748606,162.23233733039532,False,False
AUD_USD,NZD_CHF,0.03707427899636615,0.042633585975539276,0.5962766364306308,358.86180635111333,0.03497851943017467,0.0004350690661830462,160.79524907182528,False,False
AUD_USD,EUR_SEK,0.015998106037215718,0.013675411055685732,-0.8060185457353569,281.90681472978554,0.03737723676920168,0.0005240019220548661,142.6606857571338,False,False
NZD_USD,EUR_SEK,0.005985170433046171,0.012892264353397909,-0.8403837287351387,282.3047267112606,0.039054525576129935,0.0005950720613690338,131.2598191428459,False,False
AUD_USD,USD_SEK,0.03227752021585738,0.0053652155019819426,-0.6037210958392414,255.11143196377424,0.028558037329525523,0.00044697337546537074,127.78406454206379,False,False
CAD_CHF,USD_NOK,0.005898584067449837,0.01302480768213446,-0.4221551262298359,233.16607134387385,0.03124637326682139,0.000505438105529648,123.64075017287566,True,True
NZD_USD,USD_SEK,0.005683341872628912,0.004801523570764422,-0.6397500806032077,223.86727146308212,0.027969293913610766,0.0005190657315191859,107.76783060500289,True,True
CAD_CHF,USD_ZAR,0.003247171006189455,0.023496370726617803,-0.33634608816962785,239.4770803350016,0.0298216409421438,0.0005546570026977402,107.53182884953162,True,True
NZD_USD,USD_NOK,0.014691880988557641,0.04488216415938589,-0.5977583330234844,234.80999032609677,0.027856598755618793,0.000531823317258751,104.75884697648773,True,True
EUR_SEK,NZD_CHF,0.0333924478741426,0.025636728845498377,-0.615115640753666,341.3414176154946,0.031803035075354806,0.0006574534811082299,96.74611509166044,False,False
AUD_CHF,USD_NOK,0.004475022466853362,0.005494362313223951,-0.7821998905595334,184.69240939052216,0.03355293516663174,0.0007142416227061742,93.95401808005468,True,True
AUD_CHF,USD_ZAR,0.02203985068723793,0.00708162878159356,-0.5985474544106583,239.11584987044768,0.036240596387979065,0.000787304828892201,92.06242628785192,True,True
AUD_USD,NZD_USD,0.008994012974418738,0.0021410874154172642,0.9114764651701736,242.32996258894858,0.01933011816737224,0.00042334240791057733,91.32143534958749,True,True
CAD_CHF,EUR_NOK,0.000506617836944325,0.010004936937452306,-0.6031930813929245,185.43064185953898,0.025043439744487212,0.0005735395657254413,87.32942325543323,True,True
NZD_CHF,USD_NOK,0.0037460818267544774,0.004126786211772144,-0.8152794102055879,162.37061121731054,0.03290636637448474,0.000786411362911989,83.68741329636013,True,True
NZD_CHF,USD_ZAR,0.010954731567463264,0.010262551487305803,-0.6300637919686214,187.26296732242412,0.034069781154202006,0.0008671262272968534,78.58090340643912,True,True
AUD_CHF,EUR_NOK,0.01183568447503316,0.011015560921853549,-1.0340242059788531,188.70472350717836,0.030977967906265013,0.0008035216062088804,77.10550075292463,True,True
NZD_CHF,EUR_NOK,0.011655936176366708,0.016027286703906463,-1.0600774894202505,195.56654592617997,0.033454964759758704,0.0008716658548394327,76.76098489809803,True,True
USD_ZAR,USD_NOK,0.0051059847927481875,0.013084659508153133,1.189140494014397,194.8881319968161,0.04838907147396454,0.0012934050747409926,74.82431052569446,True,True
NZD_JPY,AUD_JPY,0.0008886441243067095,0.001221723883275022,0.8806274904307343,191.979701004523,0.016903221492912786,0.00047498764916207296,71.17330954912957,True,True
AUD_CHF,NZD_CHF,0.006699719629788473,0.002515314747101144,0.9418540739614433,240.32926337499677,0.01953245491397136,0.0007274899326389939,53.69821364569742,True,True
