pair,tf,period,threshold,recovery,direction,n,w,l,t,wr_decisive,ci_low,ci_high
EUR_USD,H4,7,20,1,long,290,123,147,20,0.45555555555555555,0.396150740489429,0.5149603706216821
EUR_USD,H4,7,20,2,long,131,56,69,6,0.448,0.36082145614430117,0.5351785438556989
EUR_USD,H4,7,20,3,long,59,34,23,2,0.5964912280701754,0.4691270889749408,0.72385536716541
EUR_USD,H4,7,20,4,long,25,14,8,3,0.6363636363636364,0.4353474351558506,0.8373798375714221
EUR_USD,H4,7,25,1,long,591,268,273,50,0.4953789279112754,0.4532472365342727,0.5375106192882781
EUR_USD,H4,7,25,2,long,286,131,136,19,0.49063670411985016,0.4306721952066572,0.5506012130330431
EUR_USD,H4,7,25,3,long,143,72,61,10,0.5413533834586466,0.4566677431407859,0.6260390237765072
EUR_USD,H4,7,25,4,long,74,36,32,6,0.5294117647058824,0.41077509639553506,0.6480484330162296
EUR_USD,H4,7,30,1,long,967,474,407,86,0.5380249716231555,0.5051035497420873,0.5709463935042238
EUR_USD,H4,7,30,2,long,472,226,204,42,0.5255813953488372,0.4783834936650477,0.5727792970326266
EUR_USD,H4,7,30,3,long,245,122,102,21,0.5446428571428571,0.47942537242825006,0.6098603418574641
EUR_USD,H4,7,30,4,long,121,58,50,13,0.5370370370370371,0.4429955609873762,0.6310785130866979
EUR_USD,H4,7,35,1,long,1372,659,585,128,0.5297427652733119,0.502006617585366,0.5574789129612577
EUR_USD,H4,7,35,2,long,679,322,297,60,0.5201938610662359,0.48083647396445695,0.5595512481680148
EUR_USD,H4,7,35,3,long,341,168,147,26,0.5333333333333333,0.4782394292095109,0.5884272374571557
EUR_USD,H4,7,35,4,long,164,78,69,17,0.5306122448979592,0.44993484076635015,0.6112896490295683
EUR_USD,H4,7,20,1,short,321,136,152,33,0.4722222222222222,0.4145643531176108,0.5298800913268336
EUR_USD,H4,7,20,2,short,163,69,76,18,0.47586206896551725,0.39457238979399556,0.5571517481370389
EUR_USD,H4,7,20,3,short,70,31,34,5,0.47692307692307695,0.3554985718868014,0.5983475819593524
EUR_USD,H4,7,20,4,short,28,16,12,0,0.5714285714285714,0.3881255436303378,0.754731599226805
