tr_n,tr_w,tr_l,tr_t,tr_wr,tr_ci_low,tr_ci_high,te_n,te_w,te_l,te_t,te_wr,te_ci_low,te_ci_high,pair,tf,period,threshold,recovery,direction,total_n
203.0,83.0,104.0,16.0,0.44385026737967914,0.37263889141702594,0.5150616433423323,87.0,36.0,45.0,6.0,0.4444444444444444,0.3362297966444546,0.5526590922444342,EUR_USD,H4,7,20,1,long,290
91.0,39.0,48.0,4.0,0.4482758620689655,0.34377253563925975,0.5527791884986714,40.0,16.0,22.0,2.0,0.42105263157894735,0.26406985430576235,0.5780354088521323,EUR_USD,H4,7,20,2,long,131
41.0,24.0,15.0,2.0,0.6153846153846154,0.4626946800396934,0.7680745507295375,18.0,9.0,8.0,1.0,0.5294117647058824,0.29213842808518775,0.766685101326577,EUR_USD,H4,7,20,3,long,59
17.0,9.0,5.0,3.0,0.6428571428571429,0.39185913489692026,0.8938551508173656,8.0,5.0,3.0,0.0,0.625,0.28951993352808575,0.9604800664719142,EUR_USD,H4,7,20,4,long,25
413.0,180.0,192.0,41.0,0.4838709677419355,0.4330867779145517,0.5346551575693193,178.0,83.0,85.0,10.0,0.49404761904761907,0.41844433551124427,0.5696509025839939,EUR_USD,H4,7,25,1,long,591
200.0,88.0,96.0,16.0,0.4782608695652174,0.40608262932324163,0.5504391098071932,86.0,42.0,41.0,3.0,0.5060240963855421,0.39846292917865644,0.6135852635924278,EUR_USD,H4,7,25,2,long,286
100.0,48.0,43.0,9.0,0.5274725274725275,0.42489580241098446,0.6300492525340705,43.0,22.0,19.0,2.0,0.5365853658536586,0.38394534131975266,0.6892253903875645,EUR_USD,H4,7,25,3,long,143
51.0,24.0,21.0,6.0,0.5333333333333333,0.3875685642660633,0.6790981024006033,23.0,12.0,11.0,0.0,0.5217391304347826,0.3175882379179313,0.7258900229516339,EUR_USD,H4,7,25,4,long,74
676.0,319.0,284.0,73.0,0.5290215588723052,0.48918015668319637,0.568862961061414,291.0,146.0,129.0,16.0,0.5309090909090909,0.4719258931997344,0.5898922886184473,EUR_USD,H4,7,30,1,long,967
330.0,156.0,140.0,34.0,0.527027027027027,0.47014896090431607,0.5839050931497379,142.0,68.0,66.0,8.0,0.5074626865671642,0.4228130110028776,0.5921123621314508,EUR_USD,H4,7,30,2,long,472
171.0,84.0,69.0,18.0,0.5490196078431373,0.4701729818848889,0.6278662338013857,74.0,34.0,36.0,4.0,0.4857142857142857,0.36862970090484126,0.6027988705237302,EUR_USD,H4,7,30,3,long,245
84.0,40.0,35.0,9.0,0.5333333333333333,0.42042442872107194,0.6462422379455947,37.0,17.0,17.0,3.0,0.5,0.3319313865603413,0.6680686134396587,EUR_USD,H4,7,30,4,long,121
960.0,451.0,402.0,107.0,0.5287221570926143,0.4952230044236329,0.5622213097615957,412.0,194.0,191.0,27.0,0.5038961038961038,0.45395219546392773,0.55384001232828,EUR_USD,H4,7,35,1,long,1372
475.0,224.0,200.0,51.0,0.5283018867924528,0.4807851843985806,0.5758185891863251,204.0,95.0,100.0,9.0,0.48717948717948717,0.4170233034212235,0.5573356709377508,EUR_USD,H4,7,35,2,long,679
238.0,118.0,97.0,23.0,0.5488372093023256,0.48232134291341777,0.6153530756912334,103.0,45.0,54.0,4.0,0.45454545454545453,0.35645959183419695,0.5526313172567121,EUR_USD,H4,7,35,3,long,341
114.0,53.0,47.0,14.0,0.53,0.4321765590464126,0.6278234409535874,50.0,23.0,24.0,3.0,0.48936170212765956,0.34644636986968314,0.632277034385636,EUR_USD,H4,7,35,4,long,164
224.0,95.0,108.0,21.0,0.46798029556650245,0.3993389647719516,0.5366216263610533,97.0,40.0,45.0,12.0,0.47058823529411764,0.364476373307705,0.5767000972805303,EUR_USD,H4,7,20,1,short,321
114.0,52.0,52.0,10.0,0.5,0.40390309378228983,0.5960969062177102,49.0,17.0,24.0,8.0,0.4146341463414634,0.2638310121124069,0.5654372805705199,EUR_USD,H4,7,20,2,short,163
49.0,22.0,26.0,1.0,0.4583333333333333,0.3173745217106679,0.5992921449559987,21.0,9.0,8.0,4.0,0.5294117647058824,0.29213842808518775,0.766685101326577,EUR_USD,H4,7,20,3,short,70
19.0,11.0,8.0,0.0,0.5789473684210527,0.3569401957423196,0.8009545410997857,9.0,5.0,4.0,0.0,0.5555555555555556,0.23091161215558614,0.8801994989555251,EUR_USD,H4,7,20,4,short,28
408.0,202.0,175.0,31.0,0.5358090185676393,0.48546605763239403,0.5861519795028846,176.0,78.0,83.0,15.0,0.484472049689441,0.4072744841561253,0.5616696152227567,EUR_USD,H4,7,25,1,short,584
212.0,105.0,92.0,15.0,0.5329949238578681,0.46332500650881464,0.6026648412069215,91.0,40.0,41.0,10.0,0.49382716049382713,0.38494657011418243,0.6027077508734718,EUR_USD,H4,7,25,2,short,303
96.0,49.0,45.0,2.0,0.5212765957446809,0.4202888709508806,0.6222643205384811,42.0,20.0,17.0,5.0,0.5405405405405406,0.3799599895403506,0.7011210915407305,EUR_USD,H4,7,25,3,short,138
46.0,27.0,18.0,1.0,0.6,0.45686183830531657,0.7431381616946834,21.0,8.0,12.0,1.0,0.4,0.1852927574579749,0.6147072425420251,EUR_USD,H4,7,25,4,short,67
639.0,304.0,288.0,47.0,0.5135135135135135,0.47325047495821554,0.5537765520688114,274.0,123.0,132.0,19.0,0.4823529411764706,0.42102119607834604,0.5436846862745952,EUR_USD,H4,7,30,1,short,913
336.0,159.0,151.0,26.0,0.5129032258064516,0.45726150325062226,0.5685449483622811,144.0,58.0,73.0,13.0,0.44274809160305345,0.3576882529238897,0.5278079302822172,EUR_USD,H4,7,30,2,short,480
167.0,74.0,84.0,9.0,0.46835443037974683,0.39054612731338445,0.5461627334461092,72.0,30.0,36.0,6.0,0.45454545454545453,0.3344152972338223,0.5746756118570867,EUR_USD,H4,7,30,3,short,239
79.0,40.0,34.0,5.0,0.5405405405405406,0.426992944001634,0.6540881370794471,34.0,12.0,20.0,2.0,0.375,0.20725996676404287,0.5427400332359571,EUR_USD,H4,7,30,4,short,113
912.0,432.0,407.0,73.0,0.5148986889153755,0.48108035498631097,0.54871702284444,392.0,176.0,182.0,34.0,0.49162011173184356,0.43983277712648516,0.543407446337202,EUR_USD,H4,7,35,1,short,1304
463.0,214.0,212.0,37.0,0.5023474178403756,0.45486678597584607,0.5498280497049052,199.0,81.0,97.0,21.0,0.4550561797752809,0.38189942289704737,0.5282129366535144,EUR_USD,H4,7,35,2,short,662
223.0,96.0,114.0,13.0,0.45714285714285713,0.3897653139008144,0.5245204003848998,96.0,40.0,45.0,11.0,0.47058823529411764,0.364476373307705,0.5767000972805303,EUR_USD,H4,7,35,3,short,319
107.0,53.0,45.0,9.0,0.5408163265306123,0.44215177424585794,0.6394808788153666,47.0,15.0,25.0,7.0,0.375,0.22496875325453036,0.5250312467454696,EUR_USD,H4,7,35,4,short,154
