tr_n,tr_w,tr_l,tr_t,tr_wr,tr_ci_low,tr_ci_high,te_n,te_w,te_l,te_t,te_wr,te_ci_low,te_ci_high,pair,tf,period,threshold,recovery,direction,total_n
203.0,86.0,102.0,15.0,0.4574468085106383,0.3862322790720253,0.5286613379492513,87.0,37.0,45.0,5.0,0.45121951219512196,0.3435128886166702,0.5589261357735738,EUR_USD,H4,7,20,1,long,290
91.0,40.0,47.0,4.0,0.45977011494252873,0.355043728864303,0.5644965010207544,40.0,16.0,22.0,2.0,0.42105263157894735,0.26406985430576235,0.5780354088521323,EUR_USD,H4,7,20,2,long,131
41.0,25.0,15.0,1.0,0.625,0.47496875325453036,0.7750312467454696,18.0,9.0,8.0,1.0,0.5294117647058824,0.29213842808518775,0.766685101326577,EUR_USD,H4,7,20,3,long,59
17.0,9.0,5.0,3.0,0.6428571428571429,0.39185913489692026,0.8938551508173656,8.0,5.0,3.0,0.0,0.625,0.28951993352808575,0.9604800664719142,EUR_USD,H4,7,20,4,long,25
413.0,184.0,188.0,41.0,0.4946236559139785,0.44381596032748954,0.5454313515004675,178.0,84.0,85.0,9.0,0.4970414201183432,0.421658124457744,0.5724247157789424,EUR_USD,H4,7,25,1,long,591
200.0,89.0,95.0,16.0,0.483695652173913,0.4114875147335964,0.5559037896142296,86.0,42.0,41.0,3.0,0.5060240963855421,0.39846292917865644,0.6135852635924278,EUR_USD,H4,7,25,2,long,286
100.0,50.0,42.0,8.0,0.5434782608695652,0.4416932147621966,0.6452633069769338,43.0,22.0,19.0,2.0,0.5365853658536586,0.38394534131975266,0.6892253903875645,EUR_USD,H4,7,25,3,long,143
51.0,24.0,21.0,6.0,0.5333333333333333,0.3875685642660633,0.6790981024006033,23.0,12.0,11.0,0.0,0.5217391304347826,0.3175882379179313,0.7258900229516339,EUR_USD,H4,7,25,4,long,74
676.0,326.0,278.0,72.0,0.5397350993377483,0.4999855818302308,0.5794846168452659,291.0,148.0,129.0,14.0,0.5342960288808665,0.4755522161648321,0.5930398415969008,EUR_USD,H4,7,30,1,long,967
330.0,158.0,139.0,33.0,0.531986531986532,0.4752376459362271,0.5887354180368369,142.0,68.0,65.0,9.0,0.5112781954887218,0.42632303892585055,0.596233352051593,EUR_USD,H4,7,30,2,long,472
171.0,86.0,68.0,17.0,0.5584415584415584,0.4800121982634886,0.6368709186196282,74.0,36.0,34.0,4.0,0.5142857142857142,0.39720112947626973,0.6313702990951587,EUR_USD,H4,7,30,3,long,245
84.0,41.0,33.0,10.0,0.5540540540540541,0.4407990525811987,0.6673090555269094,37.0,17.0,17.0,3.0,0.5,0.3319313865603413,0.6680686134396587,EUR_USD,H4,7,30,4,long,121
960.0,463.0,394.0,103.0,0.5402567094515752,0.5068892266807523,0.5736241922223981,412.0,196.0,191.0,25.0,0.5064599483204134,0.45664790660486027,0.5562719900359666,EUR_USD,H4,7,35,1,long,1372
475.0,227.0,198.0,50.0,0.5341176470588235,0.4866914610820481,0.5815438330355989,204.0,95.0,99.0,10.0,0.4896907216494845,0.41934577956675306,0.5600356637322159,EUR_USD,H4,7,35,2,long,679
238.0,121.0,95.0,22.0,0.5601851851851852,0.49398946180840664,0.6263809085619638,103.0,47.0,52.0,4.0,0.47474747474747475,0.37637946596790506,0.5731154835270444,EUR_USD,H4,7,35,3,long,341
114.0,55.0,45.0,14.0,0.55,0.4524912311635513,0.6475087688364488,50.0,23.0,24.0,3.0,0.48936170212765956,0.34644636986968314,0.632277034385636,EUR_USD,H4,7,35,4,long,164
224.0,95.0,108.0,21.0,0.46798029556650245,0.3993389647719516,0.5366216263610533,97.0,41.0,44.0,12.0,0.4823529411764706,0.3761232425496554,0.5885826398032858,EUR_USD,H4,7,20,1,short,321
114.0,52.0,52.0,10.0,0.5,0.40390309378228983,0.5960969062177102,49.0,17.0,24.0,8.0,0.4146341463414634,0.2638310121124069,0.5654372805705199,EUR_USD,H4,7,20,2,short,163
49.0,22.0,26.0,1.0,0.4583333333333333,0.3173745217106679,0.5992921449559987,21.0,9.0,8.0,4.0,0.5294117647058824,0.29213842808518775,0.766685101326577,EUR_USD,H4,7,20,3,short,70
19.0,11.0,8.0,0.0,0.5789473684210527,0.3569401957423196,0.8009545410997857,9.0,5.0,4.0,0.0,0.5555555555555556,0.23091161215558614,0.8801994989555251,EUR_USD,H4,7,20,4,short,28
408.0,202.0,173.0,33.0,0.5386666666666666,0.48821123732801025,0.5891220960053231,176.0,79.0,82.0,15.0,0.4906832298136646,0.41346181947189353,0.5679046401554356,EUR_USD,H4,7,25,1,short,584
212.0,106.0,91.0,15.0,0.5380710659898477,0.4684516523932444,0.607690479586451,91.0,40.0,41.0,10.0,0.49382716049382713,0.38494657011418243,0.6027077508734718,EUR_USD,H4,7,25,2,short,303
96.0,49.0,45.0,2.0,0.5212765957446809,0.4202888709508806,0.6222643205384811,42.0,20.0,17.0,5.0,0.5405405405405406,0.3799599895403506,0.7011210915407305,EUR_USD,H4,7,25,3,short,138
46.0,27.0,18.0,1.0,0.6,0.45686183830531657,0.7431381616946834,21.0,8.0,12.0,1.0,0.4,0.1852927574579749,0.6147072425420251,EUR_USD,H4,7,25,4,short,67
639.0,306.0,282.0,51.0,0.5204081632653061,0.48002732319358454,0.5607890033370277,274.0,125.0,130.0,19.0,0.49019607843137253,0.42883789642105086,0.5515542604416942,EUR_USD,H4,7,30,1,short,913
336.0,161.0,149.0,26.0,0.5193548387096775,0.46373629634255437,0.5749733810768006,144.0,58.0,73.0,13.0,0.44274809160305345,0.3576882529238897,0.5278079302822172,EUR_USD,H4,7,30,2,short,480
167.0,74.0,84.0,9.0,0.46835443037974683,0.39054612731338445,0.5461627334461092,72.0,30.0,35.0,7.0,0.46153846153846156,0.34034458255090305,0.5827323405260201,EUR_USD,H4,7,30,3,short,239
79.0,40.0,34.0,5.0,0.5405405405405406,0.426992944001634,0.6540881370794471,34.0,12.0,20.0,2.0,0.375,0.20725996676404287,0.5427400332359571,EUR_USD,H4,7,30,4,short,113
912.0,438.0,397.0,77.0,0.5245508982035928,0.49067750786198017,0.5584242885452054,392.0,178.0,180.0,34.0,0.4972067039106145,0.4454129027591105,0.5490005050621185,EUR_USD,H4,7,35,1,short,1304
463.0,216.0,210.0,37.0,0.5070422535211268,0.4595658081074156,0.5545186989348379,199.0,81.0,97.0,21.0,0.4550561797752809,0.38189942289704737,0.5282129366535144,EUR_USD,H4,7,35,2,short,662
223.0,97.0,114.0,12.0,0.4597156398104265,0.39246898561796006,0.526962294002893,96.0,40.0,44.0,12.0,0.47619047619047616,0.369385010939828,0.5829959414411243,EUR_USD,H4,7,35,3,short,319
107.0,53.0,45.0,9.0,0.5408163265306123,0.44215177424585794,0.6394808788153666,47.0,15.0,25.0,7.0,0.375,0.22496875325453036,0.5250312467454696,EUR_USD,H4,7,35,4,short,154
16.0,9.0,5.0,2.0,0.6428571428571429,0.39185913489692026,0.8938551508173656,7.0,7.0,0.0,0.0,1.0,1.0,1.0,EUR_USD,H4,14,20,1,long,23
4.0,1.0,3.0,0.0,0.25,0.0,0.674352447854375,3.0,2.0,1.0,0.0,0.6666666666666666,0.13322223379388565,1.0,EUR_USD,H4,14,20,2,long,7
2.0,1.0,1.0,0.0,0.5,0.0,1.0,2.0,1.0,1.0,0.0,0.5,0.0,1.0,EUR_USD,H4,14,20,3,long,4
0.0,0.0,0.0,0.0,,,,1.0,1.0,0.0,0.0,1.0,1.0,1.0,EUR_USD,H4,14,20,4,long,1
86.0,35.0,41.0,10.0,0.4605263157894737,0.34846347349106654,0.5725891580878808,37.0,17.0,18.0,2.0,0.4857142857142857,0.3201316779319464,0.651296893496625,EUR_USD,H4,14,25,1,long,123
40.0,18.0,20.0,2.0,0.47368421052631576,0.31492756025629715,0.6324408607963343,18.0,5.0,11.0,2.0,0.3125,0.08537892133269531,0.5396210786673047,EUR_USD,H4,14,25,2,long,58
18.0,10.0,8.0,0.0,0.5555555555555556,0.3259976217062955,0.7851134894048157,9.0,4.0,4.0,1.0,0.5,0.15351767721859172,0.8464823227814082,EUR_USD,H4,14,25,3,long,27
6.0,3.0,1.0,2.0,0.75,0.3256475521456251,1.0,3.0,2.0,1.0,0.0,0.6666666666666666,0.13322223379388565,1.0,EUR_USD,H4,14,25,4,long,9
253.0,110.0,114.0,29.0,0.49107142857142855,0.4256028650275413,0.5565399921153158,109.0,55.0,48.0,6.0,0.5339805825242718,0.43764156839070445,0.6303195966578392,EUR_USD,H4,14,30,1,long,362
122.0,52.0,61.0,9.0,0.46017699115044247,0.3682792163743152,0.5520747659265698,53.0,25.0,25.0,3.0,0.5,0.3614070708874367,0.6385929291125634,EUR_USD,H4,14,30,2,long,175
60.0,28.0,28.0,4.0,0.5,0.36904199146291206,0.6309580085370879,26.0,16.0,8.0,2.0,0.6666666666666666,0.4780655787313889,0.8552677546019444,EUR_USD,H4,14,30,3,long,86
30.0,11.0,13.0,6.0,0.4583333333333333,0.2589874702005656,0.6576791964661011,13.0,8.0,4.0,1.0,0.6666666666666666,0.39994445023027614,0.9333888831030571,EUR_USD,H4,14,30,4,long,43
553.0,261.0,231.0,61.0,0.5304878048780488,0.486388203806805,0.5745874059492927,237.0,116.0,110.0,11.0,0.5132743362831859,0.44810868353626276,0.578439989030109,EUR_USD,H4,14,35,1,long,790
268.0,129.0,111.0,28.0,0.5375,0.4744194380837752,0.6005805619162248,116.0,56.0,55.0,5.0,0.5045045045045045,0.41149079575117253,0.5975182132578364,EUR_USD,H4,14,35,2,long,384
140.0,70.0,53.0,17.0,0.5691056910569106,0.48159011435532517,0.6566212677584959,61.0,31.0,28.0,2.0,0.5254237288135594,0.3980036361781897,0.652843821448929,EUR_USD,H4,14,35,3,long,201
67.0,32.0,25.0,10.0,0.5614035087719298,0.4325818813543775,0.6902251361894821,29.0,17.0,11.0,1.0,0.6071428571428571,0.42624233199160166,0.7880433822941125,EUR_USD,H4,14,35,4,long,96
32.0,17.0,14.0,1.0,0.5483870967741935,0.37320004290478614,0.7235741506436009,14.0,7.0,5.0,2.0,0.5833333333333334,0.30438856248221097,0.8622781041844558,EUR_USD,H4,14,20,1,short,46
16.0,9.0,7.0,0.0,0.5625,0.31942159829594075,0.8055784017040593,7.0,2.0,3.0,2.0,0.4,0.0,0.8294144850840502,EUR_USD,H4,14,20,2,short,23
7.0,3.0,3.0,1.0,0.5,0.09991667534541426,0.9000833246545857,3.0,2.0,0.0,1.0,1.0,1.0,1.0,EUR_USD,H4,14,20,3,short,10
3.0,1.0,2.0,0.0,0.3333333333333333,0.0,0.8667777662061142,2.0,2.0,0.0,0.0,1.0,1.0,1.0,EUR_USD,H4,14,20,4,short,5
108.0,43.0,58.0,7.0,0.42574257425742573,0.3293103386407844,0.5221748098740671,47.0,25.0,18.0,4.0,0.5813953488372093,0.4339403008287866,0.7288503968456321,EUR_USD,H4,14,25,1,short,155
58.0,26.0,30.0,2.0,0.4642857142857143,0.333662209509583,0.5949092190618457,26.0,10.0,13.0,3.0,0.43478260869565216,0.23218421697992483,0.6373810004113795,EUR_USD,H4,14,25,2,short,84
27.0,12.0,15.0,0.0,0.4444444444444444,0.25701117633169046,0.6318777125571984,12.0,6.0,4.0,2.0,0.6,0.2963581056573385,0.9036418943426614,EUR_USD,H4,14,25,3,short,39
10.0,6.0,4.0,0.0,0.6,0.2963581056573385,0.9036418943426614,5.0,3.0,2.0,0.0,0.6,0.17058551491594975,1.0,EUR_USD,H4,14,25,4,short,15
256.0,121.0,117.0,18.0,0.5084033613445378,0.4448883687478981,0.5719183539411774,111.0,55.0,46.0,10.0,0.5445544554455446,0.4474287309742931,0.641680179916796,EUR_USD,H4,14,30,1,short,367
137.0,65.0,66.0,6.0,0.4961832061068702,0.41056270328763955,0.5818037089261009,60.0,25.0,29.0,6.0,0.46296296296296297,0.32996823210794796,0.595957693817978,EUR_USD,H4,14,30,2,short,197
63.0,30.0,31.0,2.0,0.4918032786885246,0.3663439980277261,0.6172625593493231,28.0,15.0,10.0,3.0,0.6,0.4079600041657988,0.7920399958342011,EUR_USD,H4,14,30,3,short,91
30.0,15.0,13.0,2.0,0.5357142857142857,0.350984753695174,0.7204438177333974,14.0,7.0,6.0,1.0,0.5384615384615384,0.2674637865884742,0.8094592903346027,EUR_USD,H4,14,30,4,short,44
