strategy,pair,n,mean_R,ci_low,nw_t,A,B,hold,rand,edge,verdict
ichimoku,USD_SGD,168,0.12421245135752992,0.0462538206781444,3.1228922640009302,0.051678119919206573,0.19269134536018384,0.14442341819248763,0.0015102076172564575,0.12270224374027347,DISCOVER
macd,EUR_USD,159,0.11538261202524479,0.007019540212870823,2.086964828396972,0.1331768576047954,0.051193911974775574,0.19512039969927866,0.003200800673407894,0.1121818113518369,DISCOVER
ichimoku,GBP_CAD,171,0.11516692566467522,0.0230732653263878,2.451060946796993,0.10564454528526587,0.1547156416649673,0.060794912513347,0.005407881904557916,0.1097590437601173,DISCOVER
ichimoku,CAD_CHF,175,0.11574699434029173,0.015365123783532997,2.2600107733467314,0.07066829267765228,0.15233120944726286,0.13456148729792203,0.037424648471766304,0.07832234586852543,DISCOVER
atr,USD_JPY,345,-0.031518938646657585,-0.13248598123743255,-0.6118543057444494,-0.028740049271284634,-0.012313740542352247,-0.07060940348319604,-0.10651131487271308,0.0749923762260555,none
atr,CHF_JPY,435,-0.04073017852999689,-0.16868232849971054,-0.6239140955246941,0.06742923265371438,-0.08710045954826229,-0.17064806819744835,-0.11473219779914197,0.07400201926914507,none
atr,AUD_JPY,359,-0.019535478520043958,-0.08981932619508042,-0.5447843162531625,0.024151131227948264,-0.14128702243035118,0.13338624182531283,-0.09055016214406271,0.07101468362401875,none
ichimoku,EUR_GBP,177,-0.016836508261054768,-0.15557949053633355,-0.23784666907471544,0.08587184005347237,0.01969561666090223,-0.23533157640610156,-0.07601208836157036,0.059175580100515594,none
atr,USD_CAD,418,-0.011928070269525042,-0.09906498669398452,-0.2683021007351891,-0.024974713152603422,0.11397137449511519,-0.24268544019418797,-0.062210419108633924,0.050282348839108884,none
atr,EUR_NOK,448,-0.08415799889412723,-0.19400696168872872,-1.5016043268511934,-0.13572322582247143,-0.14396613106432946,0.15331746590633957,-0.131410922865845,0.047252923971717764,none
ichimoku,CAD_JPY,167,-0.02510478529378753,-0.17245619901208048,-0.3339321824892336,-0.10987986125308653,0.1729953987261525,-0.20647495935336913,-0.06518146935904794,0.04007668406526041,none
macd,EUR_CAD,164,-0.025117158574490966,-0.11249920595348065,-0.563383810320736,0.0003881302794583975,0.025744544310927625,-0.16911072515537226,-0.056615632480696676,0.03149847390620571,none
ichimoku,EUR_NOK,164,-0.08325365696849407,-0.21899378163790598,-1.2021292013371725,-0.1838740688537525,-0.11132425947853421,0.13214055531884786,-0.11232613887291083,0.02907248190441676,none
macd,EUR_NOK,198,-0.09378950685810893,-0.20123965679323025,-1.7108159788784751,-0.3021903361973145,-0.03981925051285602,0.14109524109366986,-0.12249998607821945,0.028710479220110524,none
ichimoku,AUD_JPY,155,-0.07499764035246183,-0.1974335981269582,-1.2005899064518493,-0.10173317461225732,-0.16900498396779168,0.13800104157496162,-0.09677286369817817,0.02177522334571634,none
ichimoku,NZD_USD,148,-0.01548177294763583,-0.13516756220362777,-0.2535328142630523,0.0016254762347267307,-0.12535617177551672,0.2241666969699532,-0.027316811089632798,0.011835038141996967,none
ichimoku,EUR_CAD,181,-0.02289620401834789,-0.09816909478124256,-0.5961848870308498,0.003289933267718096,0.039269396587983056,-0.1720955827122173,-0.034727326854031175,0.011831122835683286,none
ichimoku,EUR_CHF,163,-0.01001230081016497,-0.20939015942701467,-0.09842672463262618,-0.10608600186903608,-0.012733976730393488,0.1759765042452538,-0.016064957720014133,0.006052656909849163,none
macd,USD_SGD,178,-0.03111019013198749,-0.19910627941259404,-0.3629606672381899,-0.14260327736946257,0.11896975892492045,-0.23650923315464842,-0.03196344172762692,0.0008532515956394295,none
macd,AUD_JPY,163,-0.05561815686987657,-0.1578414372115208,-1.0664066649067256,0.07465141562787955,-0.17221618607621703,-0.1449096588713893,-0.05502438408176622,-0.0005937727881103472,none
ichimoku,NZD_CHF,161,-0.031257801387950944,-0.10577507923347643,-0.8221622218592978,-0.07426738172631187,0.06681800257057519,-0.14079838997408367,-0.02931717243048671,-0.0019406289574642327,none
