strategy,pair,n,mean_R,ci_low,nw_t,A,B,hold,rand,edge,verdict
bb,AUD_CAD,221,0.1708628228374397,0.08397821948927078,3.854435882263133,0.16715845520216382,0.21161388436537157,0.08670030268602219,-0.018209869962366898,0.1890726927998066,DISCOVER
sma,CAD_CHF,258,0.1486559267737064,0.014502870912178362,2.1718895227941015,0.12598056375894126,0.15893106220950162,0.17646789332042312,0.04056537640113111,0.10809055037257528,DISCOVER
cci,CAD_CHF,1120,0.08891608704311522,0.017899326556117118,2.4540056376749617,0.03702164888294451,0.0680989063201006,0.2502229308762012,0.023762212883394564,0.06515387415972065,DISCOVER
stoch,CAD_CHF,1686,0.07834590524084457,0.007659622400673041,2.172387174740319,0.051210656462091705,0.05940076432718562,0.18182581937434752,0.03540906961132339,0.042936835629521185,DISCOVER
bb,AUD_JPY,228,-0.008359379376871263,-0.10518606085086946,-0.16921351975764587,0.11890827886760492,-0.1894134387596282,0.1650706136634739,-0.0952101383697988,0.08685075899292755,none
ema,CHF_JPY,346,-0.04608396930758771,-0.13000404276180272,-1.0763167395480304,0.01563818774474694,-0.07474859284364767,-0.07382182299376411,-0.1285684732509243,0.08248450394333659,none
ema,USD_JPY,411,-0.04846986083864696,-0.20973456917120323,-0.5890993027925203,-0.06159888134384466,-0.0736266638730176,0.0396701505394289,-0.10341778095107444,0.05494792011242748,none
rsi,NZD_JPY,759,-0.02752727374613836,-0.12177108463819718,-0.5724880608258321,0.07996137605518025,-0.16183995968471873,0.1450268762128357,-0.07820741212152914,0.050680138375390774,none
cci,AUD_JPY,1259,-0.02841853212424521,-0.10463050972684095,-0.7308604856570929,0.04523181659485472,-0.11176375945573769,-0.00808994419545081,-0.07864469080961069,0.05022615868536548,none
rsi,USD_CAD,767,-0.0025274577798615272,-0.11402186869794083,-0.044431081412398495,-0.01845008603762757,0.09326830988863749,-0.13954234037046587,-0.05267252175329605,0.050145063973434524,none
cci,EUR_GBP,1131,-0.0248712918274025,-0.1197948805320494,-0.5135470818890616,-0.06256841693700345,-0.0012305941826398362,-0.004191011729639998,-0.06785664333291457,0.04298535150551207,none
rsi,EUR_GBP,709,-0.02576654721387934,-0.15885053422230794,-0.3794779047009242,-0.030884308918073807,-0.08862658451793487,0.14369753037970953,-0.06812208244235539,0.04235553522847605,none
stoch,EUR_CAD,1664,-0.026532381255007714,-0.10708733724238137,-0.6455650881116023,-0.007293749779964192,-0.0060763327262154795,-0.10197478136098086,-0.06373632687507029,0.03720394562006257,none
rsi,NZD_USD,677,-0.00788708274026298,-0.13478731717557366,-0.12181760135987565,0.11915842050650025,-0.1240357972779548,0.09426909405233297,-0.0436636081610545,0.03577652542079152,none
ema,GBP_CAD,344,-0.0006858861954248777,-0.13008262687553734,-0.010389264335151657,-0.037342070392760454,-0.0014594149142700037,0.06756095574219503,-0.032901518889915576,0.0322156326944907,none
ema,USD_CAD,397,-0.014282653307020284,-0.10991942753347908,-0.2927116761118753,0.0054233449115171604,0.06399493412102018,-0.20069711387180394,-0.04608282582554682,0.031800172518526536,none
sma,USD_CAD,337,-0.02347930166698726,-0.1514364700687453,-0.3596471525753359,-0.04109705782446107,0.06666333443684296,-0.2899130254795426,-0.05271035921829843,0.02923105755131117,none
ema,CAD_JPY,372,-0.017743707187386482,-0.10083131222862632,-0.41856623584246894,-0.06287370366689043,-0.01111448390714293,0.07064382076749708,-0.04540128815709407,0.02765758096970759,none
stoch,EUR_GBP,1612,-0.02519616258062934,-0.11010457916698738,-0.5816205347299805,-0.017085537607951107,-0.031408586051772464,-0.028554117881333746,-0.051775277889900696,0.026579115309271355,none
cci,USD_CAD,1188,-0.03327250421044209,-0.1175733823338454,-0.7735875319946636,-0.08169978800467546,0.07764177962842188,-0.15317865209196665,-0.05586431945756254,0.02259181524712045,none
cci,EUR_CAD,1179,-0.04485661143457503,-0.12489892510464178,-1.0984060102781104,-0.044929623997231674,-0.009221763542989387,-0.10917494324255801,-0.06695601705026236,0.022099405615687323,none
ema,EUR_NOK,304,-0.09461291635225695,-0.1958394439549377,-1.8319438633545762,-0.13645493783919063,-0.021712291654678324,-0.1613365619225331,-0.11587772882616362,0.021264812473906672,none
rsi,USD_JPY,895,-0.0816095131186072,-0.20362823618708537,-1.31090247209604,-0.06735020479470148,-0.12025047422690474,-0.024147657178866352,-0.10284855847607449,0.02123904535746729,none
rsi,EUR_NOK,737,-0.10377568253637787,-0.2040353065135788,-2.0287362918651475,-0.13065512467243692,-0.055778294602627586,-0.15751659843225024,-0.12311206114087285,0.019336378604494983,none
stoch,AUD_CAD,1774,-0.0025239931014516153,-0.09226818067795271,-0.05512364212588305,0.05039002117985669,-0.03316044459614555,-0.04262648182780838,-0.01950400145201952,0.016980008350567902,none
rsi,AUD_JPY,753,-0.06279132479581323,-0.14479131929043215,-1.5008659129589352,0.006005496639788992,-0.2010502676237495,0.1113014713942476,-0.07382906883784157,0.011037744042028341,none
bb,EUR_NOK,262,-0.13731032412385732,-0.26830753913764166,-2.0544576864053257,-0.1689003762876097,-0.12362783319019369,-0.0885998934460702,-0.147077591816523,0.009767267692665671,none
