pair,tf,period,k,atr_period,direction,n,w,l,t,wr_decisive,ci_low,ci_high
EUR_USD,H4,20,1.0,14,long,763,371,332,60,0.5277382645803699,0.4908337854151693,0.5646427437455704
EUR_USD,H4,20,1.5,14,long,638,315,267,56,0.5412371134020618,0.5007531986242861,0.5817210281798375
EUR_USD,H4,20,2.0,14,long,433,204,193,36,0.5138539042821159,0.46468799794962234,0.5630198106146094
EUR_USD,H4,20,2.5,14,long,305,150,131,24,0.5338078291814946,0.4754797239361927,0.5921359344267965
EUR_USD,H4,20,1.0,14,short,756,354,337,65,0.5123010130246021,0.4750313400739409,0.5495706859752633
EUR_USD,H4,20,1.5,14,short,589,294,249,46,0.5414364640883977,0.4995253055840802,0.5833476225927153
EUR_USD,H4,20,2.0,14,short,466,224,199,43,0.5295508274231678,0.48198488918066235,0.5771167656656734
EUR_USD,H4,20,2.5,14,short,302,145,124,33,0.5390334572490706,0.47946415747874765,0.5986027570193935
EUR_USD,H4,50,1.0,14,long,540,255,248,37,0.5069582504970179,0.4632664417034803,0.5506500592905555
EUR_USD,H4,50,1.5,14,long,451,214,206,31,0.5095238095238095,0.4617133814036071,0.5573342376440118
EUR_USD,H4,50,2.0,14,long,434,195,204,35,0.48872180451127817,0.43967292200065766,0.5377706870218987
EUR_USD,H4,50,2.5,14,long,363,175,161,27,0.5208333333333334,0.4674163795726211,0.5742502870940457
EUR_USD,H4,50,1.0,14,short,573,264,274,35,0.49070631970260226,0.4484628188182229,0.5329498205869816
EUR_USD,H4,50,1.5,14,short,521,258,225,38,0.5341614906832298,0.48967414574536816,0.5786488356210915
EUR_USD,H4,50,2.0,14,short,470,233,199,38,0.5393518518518519,0.492347837537637,0.5863558661660667
EUR_USD,H4,50,2.5,14,short,375,185,154,36,0.5457227138643068,0.4927194335213651,0.5987259942072486
EUR_USD,H4,100,1.0,14,long,404,172,195,37,0.46866485013623976,0.4176098238519036,0.5197198764205759
EUR_USD,H4,100,1.5,14,long,370,167,173,30,0.49117647058823527,0.43803678470130886,0.5443161564751616
EUR_USD,H4,100,2.0,14,long,340,150,164,26,0.47770700636942676,0.422457404503661,0.5329566082351925
EUR_USD,H4,100,2.5,14,long,322,128,160,34,0.4444444444444444,0.3870549609821294,0.5018339279067594
EUR_USD,H4,100,1.0,14,short,392,184,181,27,0.5041095890410959,0.4528157772889057,0.5554034007932862
EUR_USD,H4,100,1.5,14,short,388,207,164,17,0.5579514824797843,0.5074153149394366,0.608487650020132
EUR_USD,H4,100,2.0,14,short,368,188,159,21,0.5417867435158501,0.4893616340501664,0.5942118529815338
EUR_USD,H4,100,2.5,14,short,366,182,167,17,0.5214899713467048,0.469080248812182,0.5738996938812276
EUR_USD,H4,200,1.0,14,long,264,95,138,31,0.40772532188841204,0.34462616800908213,0.47082447576774195
EUR_USD,H4,200,1.5,14,long,275,105,149,21,0.41338582677165353,0.35282479296613967,0.4739468605771674
EUR_USD,H4,200,2.0,14,long,284,113,149,22,0.4312977099236641,0.37132737278748446,0.4912680470598438
EUR_USD,H4,200,2.5,14,long,291,120,149,22,0.44609665427509293,0.38669323981643366,0.5055000687337522
EUR_USD,H4,200,1.0,14,short,298,152,130,16,0.5390070921985816,0.4808268025544749,0.5971873818426883
EUR_USD,H4,200,1.5,14,short,267,141,113,13,0.5551181102362205,0.4940022013875163,0.6162340190849247
EUR_USD,H4,200,2.0,14,short,238,112,113,13,0.49777777777777776,0.4324450897151207,0.5631104658404349
EUR_USD,H4,200,2.5,14,short,220,94,115,11,0.44976076555023925,0.3823158074556709,0.5172057236448075
GBP_USD,H4,20,1.0,14,long,768,348,394,26,0.46900269541778977,0.4330949657998733,0.5049104250357063
GBP_USD,H4,20,1.5,14,long,593,276,298,19,0.4808362369337979,0.4399618825640768,0.521710591303519
GBP_USD,H4,20,2.0,14,long,436,210,211,15,0.498812351543943,0.45105020875716306,0.5465744943307229
GBP_USD,H4,20,2.5,14,long,292,153,135,4,0.53125,0.473615843776961,0.588884156223039
GBP_USD,H4,20,1.0,14,short,751,341,373,37,0.47759103641456585,0.44095231082785813,0.5142297620012736
GBP_USD,H4,20,1.5,14,short,605,282,299,24,0.4853700516351119,0.4447302086742355,0.5260098945959882
GBP_USD,H4,20,2.0,14,short,442,212,207,23,0.5059665871121718,0.4580938630925777,0.5538393111317659
GBP_USD,H4,20,2.5,14,short,286,137,133,16,0.5074074074074074,0.44777305201525835,0.5670417627995565
GBP_USD,H4,50,1.0,14,long,531,247,266,18,0.48148148148148145,0.4382431109760242,0.5247198519869387
GBP_USD,H4,50,1.5,14,long,500,241,246,13,0.4948665297741273,0.45046083142888665,0.5392722281193679
GBP_USD,H4,50,2.0,14,long,438,213,215,10,0.4976635514018692,0.4502939806273224,0.545033122176416
GBP_USD,H4,50,2.5,14,long,360,167,181,12,0.47988505747126436,0.42739407174495375,0.532376043197575
GBP_USD,H4,50,1.0,14,short,539,265,259,15,0.5057251908396947,0.4629164986896602,0.5485338829897292
GBP_USD,H4,50,1.5,14,short,466,221,228,17,0.4922048997772829,0.4459614611744535,0.5384483383801122
GBP_USD,H4,50,2.0,14,short,415,180,217,18,0.4534005037783375,0.40442979039312277,0.5023712171635523
GBP_USD,H4,50,2.5,14,short,392,161,210,21,0.4339622641509434,0.3835289169969495,0.4843956113049373
GBP_USD,H4,100,1.0,14,long,390,186,197,7,0.4856396866840731,0.43558468323990146,0.5356946901282447
GBP_USD,H4,100,1.5,14,long,356,164,183,9,0.47262247838616717,0.42009224527478106,0.5251527114975533
GBP_USD,H4,100,2.0,14,long,337,156,168,13,0.48148148148148145,0.4270743917202987,0.5358885712426642
GBP_USD,H4,100,2.5,14,long,325,147,168,10,0.4666666666666667,0.41157276254284425,0.5217605707904891
GBP_USD,H4,100,1.0,14,short,387,177,205,5,0.46335078534031415,0.4133445004582162,0.5133570702224122
GBP_USD,H4,100,1.5,14,short,371,165,196,10,0.45706371191135736,0.4056752905731782,0.5084521332495365
GBP_USD,H4,100,2.0,14,short,347,141,195,11,0.41964285714285715,0.3668744460588257,0.4724112682268886
GBP_USD,H4,100,2.5,14,short,338,155,168,15,0.47987616099071206,0.42539168507270586,0.5343606369087183
GBP_USD,H4,200,1.0,14,long,251,128,119,4,0.5182186234817814,0.4559041245846034,0.5805331223789594
GBP_USD,H4,200,1.5,14,long,262,127,129,6,0.49609375,0.4348456192301828,0.5573418807698172
GBP_USD,H4,200,2.0,14,long,247,108,131,8,0.45188284518828453,0.38878613072335316,0.5149795596532158
GBP_USD,H4,200,2.5,14,long,277,108,157,12,0.4075471698113208,0.34838433647411776,0.4667100031485238
GBP_USD,H4,200,1.0,14,short,258,125,125,8,0.5,0.4380193578606998,0.5619806421393002
GBP_USD,H4,200,1.5,14,short,274,126,138,10,0.4772727272727273,0.41702023761967283,0.5375252169257818
GBP_USD,H4,200,2.0,14,short,262,103,150,9,0.40711462450592883,0.34657502668981416,0.4676542223220435
GBP_USD,H4,200,2.5,14,short,248,110,134,4,0.45081967213114754,0.38838582831741325,0.5132535159448819
AUD_USD,H4,20,1.0,14,long,788,390,390,8,0.5,0.4649103711720678,0.5350896288279322
AUD_USD,H4,20,1.5,14,long,607,325,276,6,0.540765391014975,0.5009234411287847,0.5806073409011653
AUD_USD,H4,20,2.0,14,long,429,227,198,4,0.5341176470588235,0.4866914610820481,0.5815438330355989
AUD_USD,H4,20,2.5,14,long,272,137,131,4,0.5111940298507462,0.45134600642606615,0.5710420532754263
AUD_USD,H4,20,1.0,14,short,801,411,381,9,0.5189393939393939,0.48414160114521254,0.5537371867335753
AUD_USD,H4,20,1.5,14,short,623,312,305,6,0.5056726094003241,0.4662218341495907,0.5451233846510576
AUD_USD,H4,20,2.0,14,short,433,227,201,5,0.530373831775701,0.4830912290098352,0.5776564345415667
AUD_USD,H4,20,2.5,14,short,260,141,117,2,0.5465116279069767,0.4857640453924012,0.6072592104215523
AUD_USD,H4,50,1.0,14,long,552,279,265,8,0.5128676470588235,0.4708644100965276,0.5548708840211194
AUD_USD,H4,50,1.5,14,long,501,245,248,8,0.4969574036511156,0.4528212406325013,0.54109356666973
AUD_USD,H4,50,2.0,14,long,442,215,222,5,0.4919908466819222,0.4451171038389432,0.5388645895249012
AUD_USD,H4,50,2.5,14,long,378,200,170,8,0.5405405405405406,0.4897605116319976,0.5913205694490835
AUD_USD,H4,50,1.0,14,short,562,279,281,2,0.4982142857142857,0.4568019913441352,0.5396265800844362
AUD_USD,H4,50,1.5,14,short,510,270,235,5,0.5346534653465347,0.4911489016618735,0.5781580290311958
AUD_USD,H4,50,2.0,14,short,450,239,203,8,0.5407239819004525,0.49426500553062913,0.5871829582702758
AUD_USD,H4,50,2.5,14,short,382,215,164,3,0.5672823218997362,0.5174009475987649,0.6171636962007074
AUD_USD,H4,100,1.0,14,long,417,213,203,1,0.5120192307692307,0.46398466200887734,0.5600537995295841
AUD_USD,H4,100,1.5,14,long,363,175,185,3,0.4861111111111111,0.43448050674441563,0.5377417154778066
