pair,tf,fast,slow,direction,n,w,l,t,wr_decisive,ci_low,ci_high
EUR_USD,H4,10,50,long,216,102,98,16,0.51,0.44071739612283617,0.5792826038771639
EUR_USD,H4,10,50,short,216,103,93,20,0.5255102040816326,0.4556013713209637,0.5954190368423016
EUR_USD,H4,10,100,long,157,73,76,8,0.4899328859060403,0.4096644325431122,0.5702013392689683
EUR_USD,H4,10,100,short,156,68,75,13,0.4755244755244755,0.3936710039980654,0.5573779470508856
EUR_USD,H4,10,200,long,95,42,49,4,0.46153846153846156,0.3591109390650735,0.5639659840118496
EUR_USD,H4,10,200,short,95,47,41,7,0.5340909090909091,0.4298656651053624,0.6383161530764557
EUR_USD,H4,20,50,long,187,85,86,16,0.49707602339181284,0.42213483180059724,0.5720172149830285
EUR_USD,H4,20,50,short,187,82,87,18,0.48520710059171596,0.4098554852416819,0.56055871594175
EUR_USD,H4,20,100,long,115,47,62,6,0.43119266055045874,0.33821874998353935,0.5241665711173782
EUR_USD,H4,20,100,short,114,56,45,13,0.5544554455445545,0.457521859193163,0.651389031895946
EUR_USD,H4,20,200,long,70,31,32,7,0.49206349206349204,0.36861065262053105,0.615516331506453
EUR_USD,H4,20,200,short,70,35,24,11,0.5932203389830508,0.4678722558606608,0.7185684221054409
EUR_USD,H4,50,100,long,92,51,37,4,0.5795454545454546,0.4764076189601266,0.6826832901307825
EUR_USD,H4,50,100,short,92,44,40,8,0.5238095238095238,0.4170040585588757,0.630614989060172
EUR_USD,H4,50,200,long,49,26,21,2,0.5531914893617021,0.41105499305058923,0.6953279856728151
EUR_USD,H4,50,200,short,49,20,22,7,0.47619047619047616,0.32514473869744126,0.627236213683511
EUR_USD,H4,100,200,long,42,18,21,3,0.46153846153846156,0.3050778365447645,0.6179990865321586
EUR_USD,H4,100,200,short,43,23,16,4,0.5897435897435898,0.4353664215728127,0.7441207579143668
GBP_USD,H4,10,50,long,211,106,99,6,0.5170731707317073,0.4486669165645939,0.5854794248988208
GBP_USD,H4,10,50,short,210,110,93,7,0.541871921182266,0.47333101667528477,0.6104128256892473
GBP_USD,H4,10,100,long,151,82,64,5,0.5616438356164384,0.48115721356046914,0.6421304576724076
GBP_USD,H4,10,100,short,150,75,70,5,0.5172413793103449,0.43590520904027186,0.5985775495804179
GBP_USD,H4,10,200,long,90,42,47,1,0.47191011235955055,0.36819438066579907,0.575625844053302
GBP_USD,H4,10,200,short,89,42,44,3,0.4883720930232558,0.3827245557084087,0.5940196303381029
GBP_USD,H4,20,50,long,183,95,82,6,0.536723163841808,0.4632607996843171,0.6101855279992988
GBP_USD,H4,20,50,short,182,86,87,9,0.49710982658959535,0.4226030510617994,0.5716166021173913
GBP_USD,H4,20,100,long,118,62,54,2,0.5344827586206896,0.4437086877825435,0.6252568294588357
GBP_USD,H4,20,100,short,117,59,55,3,0.5175438596491229,0.4258149682287955,0.6092727510694502
GBP_USD,H4,20,200,long,72,36,35,1,0.5070422535211268,0.39074918745643583,0.6233353195858177
GBP_USD,H4,20,200,short,71,37,33,1,0.5285714285714286,0.4116304178010406,0.6455124393418166
GBP_USD,H4,50,100,long,89,46,43,0,0.5168539325842697,0.4130331722745488,0.6206746928939906
GBP_USD,H4,50,100,short,88,44,40,4,0.5238095238095238,0.4170040585588757,0.630614989060172
GBP_USD,H4,50,200,long,45,26,19,0,0.5777777777777777,0.4334663328356338,0.7220892227199216
GBP_USD,H4,50,200,short,46,28,15,3,0.6511627906976745,0.5087076804431742,0.7936179009521748
GBP_USD,H4,100,200,long,39,21,18,0,0.5384615384615384,0.3820009134678414,0.6949221634552355
GBP_USD,H4,100,200,short,39,19,18,2,0.5135135135135135,0.3524613592923218,0.6745656677347052
AUD_USD,H4,10,50,long,223,113,106,4,0.5159817351598174,0.4497933091537858,0.582170161165849
AUD_USD,H4,10,50,short,222,108,114,0,0.4864864864864865,0.42073721985016255,0.5522357531228105
AUD_USD,H4,10,100,long,152,78,72,2,0.52,0.44004737402686517,0.5999526259731349
AUD_USD,H4,10,100,short,151,74,76,1,0.49333333333333335,0.4133237813109978,0.5733428853556689
AUD_USD,H4,10,200,long,103,50,53,0,0.4854368932038835,0.3889155912741364,0.5819581951336307
AUD_USD,H4,10,200,short,103,50,53,0,0.4854368932038835,0.3889155912741364,0.5819581951336307
AUD_USD,H4,20,50,long,185,92,90,3,0.5054945054945055,0.43285645868477096,0.57813255230424
AUD_USD,H4,20,50,short,184,88,92,4,0.4888888888888889,0.4158620396257179,0.5619157381520599
AUD_USD,H4,20,100,long,113,57,55,1,0.5089285714285714,0.4163420409557213,0.6015151019014215
AUD_USD,H4,20,100,short,112,59,51,2,0.5363636363636364,0.4431717425322371,0.6295555301950356
AUD_USD,H4,20,200,long,73,36,36,1,0.5,0.38450589240619726,0.6154941075938027
AUD_USD,H4,20,200,short,73,44,28,1,0.6111111111111112,0.4985048132123052,0.7237174090099171
AUD_USD,H4,50,100,long,88,34,54,0,0.38636363636363635,0.2846291020250702,0.4880981707022025
AUD_USD,H4,50,100,short,87,43,41,3,0.5119047619047619,0.4050083080260113,0.6188012157835124
AUD_USD,H4,50,200,long,51,20,30,1,0.4,0.2642072166866001,0.5357927833134
AUD_USD,H4,50,200,short,52,29,22,1,0.5686274509803921,0.4326987562469371,0.7045561457138472
AUD_USD,H4,100,200,long,42,23,19,0,0.5476190476190477,0.3970891195008849,0.6981489757372105
AUD_USD,H4,100,200,short,43,25,18,0,0.5813953488372093,0.4339403008287866,0.7288503968456321
USD_CAD,H4,10,50,long,224,101,92,31,0.5233160621761658,0.45285085901337563,0.5937812653389559
USD_CAD,H4,10,50,short,225,89,107,29,0.45408163265306123,0.3843774472020587,0.5237858181040638
USD_CAD,H4,10,100,long,148,64,58,26,0.5245901639344263,0.43597249759562773,0.6132078302732248
USD_CAD,H4,10,100,short,148,66,65,17,0.5038167938931297,0.418196291073899,0.5894372967123604
USD_CAD,H4,10,200,long,100,42,40,18,0.5121951219512195,0.4040044212209989,0.6203858226814402
USD_CAD,H4,10,200,short,99,43,45,11,0.48863636363636365,0.3841949965696173,0.59307773070311
USD_CAD,H4,20,50,long,188,79,79,30,0.5,0.42203538615077846,0.5779646138492216
USD_CAD,H4,20,50,short,189,72,87,30,0.4528301886792453,0.37545775464511766,0.5302026227133729
USD_CAD,H4,20,100,long,110,52,43,15,0.5473684210526316,0.4472747626231752,0.647462079482088
USD_CAD,H4,20,100,short,110,47,50,13,0.4845360824742268,0.3850797589698413,0.5839924059786122
USD_CAD,H4,20,200,long,70,36,26,8,0.5806451612903226,0.4578145929122558,0.7034757296683894
USD_CAD,H4,20,200,short,69,32,28,9,0.5333333333333333,0.40709734034430534,0.6595693263223613
USD_CAD,H4,50,100,long,89,37,44,8,0.4567901234567901,0.34830860805599245,0.5652716388575878
USD_CAD,H4,50,100,short,89,34,44,11,0.4358974358974359,0.3258499908452623,0.5459448809496095
USD_CAD,H4,50,200,long,49,18,24,7,0.42857142857142855,0.27890513310047094,0.5782377240423862
USD_CAD,H4,50,200,short,48,23,20,5,0.5348837209302325,0.38579928591096435,0.6839681559495007
USD_CAD,H4,100,200,long,47,21,21,5,0.5,0.3487827170371499,0.6512172829628501
USD_CAD,H4,100,200,short,46,24,20,2,0.5454545454545454,0.398325751387659,0.6925833395214318
USD_CHF,H4,10,50,long,230,106,111,13,0.48847926267281105,0.42197018999334507,0.5549883353522771
USD_CHF,H4,10,50,short,231,114,101,16,0.5302325581395348,0.4635194009520686,0.5969457153270011
USD_CHF,H4,10,100,long,140,60,70,10,0.46153846153846156,0.3758414478680571,0.5472354752088661
USD_CHF,H4,10,100,short,141,74,55,12,0.5736434108527132,0.4883002526049026,0.6589865691005238
USD_CHF,H4,10,200,long,103,42,54,7,0.4375,0.33826365805562963,0.5367363419443704
USD_CHF,H4,10,200,short,102,48,44,10,0.5217391304347826,0.4196636841763569,0.6238145766932083
USD_CHF,H4,20,50,long,189,79,100,10,0.441340782122905,0.3685979726220173,0.5140835916237927
USD_CHF,H4,20,50,short,189,93,85,11,0.5224719101123596,0.4490920287911256,0.5958517914335937
USD_CHF,H4,20,100,long,108,49,51,8,0.49,0.3920196019603921,0.5879803980396079
USD_CHF,H4,20,100,short,109,57,46,6,0.5533980582524272,0.45738803431402053,0.6494080821908338
USD_CHF,H4,20,200,long,83,28,43,12,0.39436619718309857,0.28068679220447335,0.5080456021617238
USD_CHF,H4,20,200,short,82,40,36,6,0.5263157894736842,0.4140578855092929,0.6385736934380755
USD_CHF,H4,50,100,long,89,36,48,5,0.42857142857142855,0.3227413761288449,0.5344014810140122
USD_CHF,H4,50,100,short,89,42,41,6,0.5060240963855421,0.39846292917865644,0.6135852635924278
USD_CHF,H4,50,200,long,53,24,23,6,0.5106382978723404,0.367722965614364,0.6535536301303168
USD_CHF,H4,50,200,short,52,29,21,2,0.58,0.44319256160573717,0.7168074383942628
USD_CHF,H4,100,200,long,46,21,22,3,0.4883720930232558,0.33896391292128136,0.6377802731252302
USD_CHF,H4,100,200,short,45,28,16,1,0.6363636363636364,0.4942237173612516,0.7785035553660211
NZD_USD,H4,10,50,long,200,100,99,1,0.5025125628140703,0.433043081857627,0.5719820437705135
NZD_USD,H4,10,50,short,199,99,99,1,0.5,0.4303544326571672,0.5696455673428328
NZD_USD,H4,10,100,long,145,72,73,0,0.496551724137931,0.41516908932806706,0.577934358947795
NZD_USD,H4,10,100,short,144,70,74,0,0.4861111111111111,0.4044759577262146,0.5677462644960076
NZD_USD,H4,10,200,long,91,43,48,0,0.4725274725274725,0.3699507474659295,0.5751041975890155
NZD_USD,H4,10,200,short,92,48,44,0,0.5217391304347826,0.4196636841763569,0.6238145766932083
NZD_USD,H4,20,50,long,174,79,95,0,0.4540229885057471,0.38004414339612735,0.5280018336153669
NZD_USD,H4,20,50,short,173,89,84,0,0.5144508670520231,0.439973971924678,0.5889277621793683
NZD_USD,H4,20,100,long,117,56,61,0,0.47863247863247865,0.388114215991799,0.5691507412731582
NZD_USD,H4,20,100,short,116,55,61,0,0.47413793103448276,0.38326901451095696,0.5650068475580086
NZD_USD,H4,20,200,long,68,35,33,0,0.5147058823529411,0.3959148396528774,0.6334969250530049
NZD_USD,H4,20,200,short,69,34,35,0,0.4927536231884058,0.3747878778734156,0.610719368503396
NZD_USD,H4,50,100,long,83,43,39,1,0.524390243902439,0.41629618517518524,0.6324843026296928
NZD_USD,H4,50,100,short,83,43,39,1,0.524390243902439,0.41629618517518524,0.6324843026296928
NZD_USD,H4,50,200,long,49,25,24,0,0.5102040816326531,0.3702332391879001,0.6501749240774061
NZD_USD,H4,50,200,short,50,28,22,0,0.56,0.4224085584056916,0.6975914415943085
NZD_USD,H4,100,200,long,44,26,18,0,0.5909090909090909,0.4456310471705863,0.7361871346475956
NZD_USD,H4,100,200,short,45,28,17,0,0.6222222222222222,0.4805643294898079,0.7638801149546366
USD_SEK,H4,10,50,long,215,108,107,0,0.5023255813953489,0.43549085906728296,0.5691603037234149
USD_SEK,H4,10,50,short,216,110,106,0,0.5092592592592593,0.4425901396960931,0.5759283788224254
