pair,tf,period,recovery,direction,n,w,l,t,wr_decisive,ci_low,ci_high
EUR_USD,H4,20,1,long,906,448,386,72,0.5371702637889688,0.5033295391013882,0.5710109884765494
EUR_USD,H4,20,2,long,670,339,275,56,0.5521172638436482,0.5127831191839084,0.5914514085033881
EUR_USD,H4,20,3,long,552,274,233,45,0.5404339250493096,0.4970531432732416,0.5838147068253777
EUR_USD,H4,20,4,long,484,242,200,42,0.5475113122171946,0.5011083881720775,0.5939142362623118
EUR_USD,H4,20,1,short,906,414,427,65,0.49227110582639716,0.45848203993580827,0.526060171716986
EUR_USD,H4,20,2,short,643,298,305,40,0.494195688225539,0.4542896922097597,0.5341016842413183
EUR_USD,H4,20,3,short,541,249,254,38,0.49502982107355864,0.4513359396627293,0.5387237024843881
EUR_USD,H4,20,4,short,488,221,230,37,0.49002217294900224,0.44388496454469795,0.5361593813533065
EUR_USD,H4,50,1,long,517,236,240,41,0.4957983193277311,0.4508816789849078,0.5407149596705545
EUR_USD,H4,50,2,long,391,184,178,29,0.5082872928176796,0.45678671185491504,0.5597878737804441
EUR_USD,H4,50,3,long,335,163,147,25,0.5258064516129032,0.4702203777496371,0.5813925254761693
EUR_USD,H4,50,4,long,295,142,130,23,0.5220588235294118,0.46269545131372447,0.5814221957450991
EUR_USD,H4,50,1,short,517,228,241,48,0.4861407249466951,0.44090591686482306,0.5313755330285671
EUR_USD,H4,50,2,short,407,177,197,33,0.4732620320855615,0.422659946793052,0.523864117378071
EUR_USD,H4,50,3,short,338,149,162,27,0.4790996784565916,0.4235775470947076,0.5346218098184757
EUR_USD,H4,50,4,short,298,122,150,26,0.4485294117647059,0.3894238621451702,0.5076349613842416
EUR_USD,H4,100,1,long,406,194,176,36,0.5243243243243243,0.4734368748561566,0.575211773792492
EUR_USD,H4,100,2,long,306,148,131,27,0.5304659498207885,0.47190389969756136,0.5890279999440157
EUR_USD,H4,100,3,long,257,129,105,23,0.5512820512820513,0.48755529842627776,0.6150088041378249
EUR_USD,H4,100,4,long,228,113,94,21,0.5458937198067633,0.4780665490822323,0.6137208905312943
EUR_USD,H4,100,1,short,405,190,184,31,0.5080213903743316,0.45735331825516595,0.5586894624934973
EUR_USD,H4,100,2,short,288,134,129,25,0.5095057034220533,0.4490872362486031,0.5699241705955034
EUR_USD,H4,100,3,short,236,111,104,21,0.5162790697674419,0.44947905776232366,0.5830790817725601
EUR_USD,H4,100,4,short,216,102,98,16,0.51,0.44071739612283617,0.5792826038771639
EUR_USD,H4,200,1,long,282,132,125,25,0.5136186770428015,0.452510636447363,0.57472671763824
EUR_USD,H4,200,2,long,208,94,97,17,0.49214659685863876,0.4212450329998628,0.5630481607174147
EUR_USD,H4,200,3,long,169,73,83,13,0.46794871794871795,0.38964729578652735,0.5462501401109086
EUR_USD,H4,200,4,long,145,58,75,12,0.43609022556390975,0.3518104756225256,0.520369975505294
EUR_USD,H4,200,1,short,282,127,130,25,0.49416342412451364,0.4330368687458612,0.555289979503166
EUR_USD,H4,200,2,short,202,91,92,19,0.4972677595628415,0.42482515662154463,0.5697103625041384
EUR_USD,H4,200,3,short,180,82,83,15,0.49696969696969695,0.42067820160985886,0.5732611923295351
EUR_USD,H4,200,4,short,158,74,71,13,0.5103448275862069,0.42897767800810904,0.5917119771643048
GBP_USD,H4,20,1,long,912,438,448,26,0.49435665914221216,0.4614350123799527,0.5272783059044717
GBP_USD,H4,20,2,long,662,316,325,21,0.49297971918876754,0.45427586197010644,0.5316835764074286
GBP_USD,H4,20,3,long,550,261,272,17,0.4896810506566604,0.4472415794965351,0.5321205218167857
GBP_USD,H4,20,4,long,496,234,246,16,0.4875,0.44278330499131224,0.5322166950086877
GBP_USD,H4,20,1,short,911,452,425,34,0.5153933865450399,0.48231682444061075,0.548469948649469
GBP_USD,H4,20,2,short,654,327,305,22,0.5174050632911392,0.4784463818317573,0.5563637447505212
GBP_USD,H4,20,3,short,544,271,254,19,0.5161904761904762,0.47344219868565,0.5589387536953024
GBP_USD,H4,20,4,short,495,244,233,18,0.5115303983228512,0.4666712135907902,0.5563895830549122
GBP_USD,H4,50,1,long,576,270,288,18,0.4838709677419355,0.44240585038269203,0.525336085101179
GBP_USD,H4,50,2,long,403,190,199,14,0.4884318766066838,0.4387572046194862,0.5381065485938814
GBP_USD,H4,50,3,long,350,163,175,12,0.4822485207100592,0.42897715296201067,0.5355198884581077
GBP_USD,H4,50,4,long,311,147,156,8,0.48514851485148514,0.42887382694153614,0.5414232027614342
