tr_n,tr_w,tr_l,tr_t,tr_wr,tr_ci_low,tr_ci_high,te_n,te_w,te_l,te_t,te_wr,te_ci_low,te_ci_high,pair,tf,period,k,atr_period,direction,total_n
534,268,222,44,0.5469387755102041,0.5028624039420697,0.5910151470783385,229,103,110,16,0.4835680751173709,0.41645585263216817,0.5506802976025736,EUR_USD,H4,20,1.0,14,long,763
446,220,181,45,0.5486284289276808,0.49992156807616606,0.5973352897791956,192,95,86,11,0.5248618784530387,0.452109158046786,0.5976145988592914,EUR_USD,H4,20,1.5,14,long,638
303,143,136,24,0.5125448028673835,0.45389220682069753,0.5711973989140694,130,61,57,12,0.5169491525423728,0.4267846884481105,0.6071136166366351,EUR_USD,H4,20,2.0,14,long,433
213,102,94,17,0.5204081632653061,0.450466496608771,0.5903498299218413,92,48,37,7,0.5647058823529412,0.45930380667366194,0.6701079580322205,EUR_USD,H4,20,2.5,14,long,305
529,251,231,47,0.520746887966805,0.4761475548678742,0.5653462210657358,227,103,106,18,0.49282296650717705,0.4250419329038236,0.5606040001105306,EUR_USD,H4,20,1.0,14,short,756
413,211,167,35,0.5582010582010583,0.5081379470887456,0.6082641693133709,177,83,82,12,0.503030303030303,0.42673880767046496,0.5793217983901412,EUR_USD,H4,20,1.5,14,short,590
326,162,138,26,0.54,0.4836010212858425,0.5963989787141576,141,62,61,18,0.5040650406504065,0.4157043368404796,0.5924257444603334,EUR_USD,H4,20,2.0,14,short,467
211,105,85,21,0.5526315789473685,0.48192989100676975,0.6233332668879672,91,40,39,12,0.5063291139240507,0.3960793333964272,0.6165788944516741,EUR_USD,H4,20,2.5,14,short,302
378,188,158,32,0.5433526011560693,0.49086588628152017,0.5958393160306185,162,67,90,5,0.4267515923566879,0.34938290140722394,0.5041202833061519,EUR_USD,H4,50,1.0,14,long,540
315,159,134,22,0.5426621160409556,0.4856186899058422,0.599705542176069,136,55,72,9,0.4330708661417323,0.34689253435724154,0.519249197926223,EUR_USD,H4,50,1.5,14,long,451
303,138,140,25,0.49640287769784175,0.43762790466699536,0.5551778507286881,131,57,64,10,0.47107438016528924,0.38213267922986827,0.5600160811007102,EUR_USD,H4,50,2.0,14,long,434
254,119,112,23,0.5151515151515151,0.45070186065028284,0.5796011696527474,109,56,49,4,0.5333333333333333,0.43790789220354437,0.6287587744631222,EUR_USD,H4,50,2.5,14,long,363
401,194,178,29,0.521505376344086,0.4707417629843539,0.5722689897038181,172,70,96,6,0.42168674698795183,0.3465627691623256,0.4968107248135781,EUR_USD,H4,50,1.0,14,short,573
364,187,146,31,0.5615615615615616,0.5082665019567062,0.6148566211664169,157,71,79,7,0.47333333333333333,0.3934305509222243,0.5532361157444423,EUR_USD,H4,50,1.5,14,short,521
