tr_n,tr_w,tr_l,tr_t,tr_wr,tr_ci_low,tr_ci_high,te_n,te_w,te_l,te_t,te_wr,te_ci_low,te_ci_high,pair,tf,period,k,atr_period,direction,total_n
534,267,226,41,0.5415821501014199,0.49759806703430676,0.585566233168533,229,103,111,15,0.48130841121495327,0.4143638170534977,0.5482530053764089,EUR_USD,H4,20,1.0,14,long,763
446,219,183,44,0.5447761194029851,0.4960945473784271,0.5934576914275431,192,94,90,8,0.5108695652173914,0.4386400802119549,0.5830990502228278,EUR_USD,H4,20,1.5,14,long,638
303,142,137,24,0.5089605734767025,0.45029893052448244,0.5676222164289226,130,61,59,10,0.5083333333333333,0.4188844083247834,0.5977822583418833,EUR_USD,H4,20,2.0,14,long,433
213,101,95,17,0.5153061224489796,0.4453389289704263,0.5852733159275328,92,48,40,4,0.5454545454545454,0.441418777462051,0.6494903134470399,EUR_USD,H4,20,2.5,14,long,305
529,243,240,46,0.5031055900621118,0.45851490620466984,0.5476962739195537,227,103,106,18,0.49282296650717705,0.4250419329038236,0.5606040001105306,EUR_USD,H4,20,1.0,14,short,756
413,204,174,35,0.5396825396825397,0.48943577776934,0.5899293015957393,177,82,82,13,0.5,0.423474856674583,0.5765251433254169,EUR_USD,H4,20,1.5,14,short,590
326,159,142,25,0.5282392026578073,0.471843103907824,0.5846353014077906,141,60,63,18,0.4878048780487805,0.3994675408143805,0.5761422152831804,EUR_USD,H4,20,2.0,14,short,467
211,101,89,21,0.531578947368421,0.4606242160046755,0.6025336787321666,91,40,39,12,0.5063291139240507,0.3960793333964272,0.6165788944516741,EUR_USD,H4,20,2.5,14,short,302
378,186,161,31,0.5360230547550432,0.48355061358636536,0.5884954959237211,162,67,91,4,0.4240506329113924,0.3469907156398809,0.5011105501829038,EUR_USD,H4,50,1.0,14,long,540
315,157,136,22,0.5358361774744027,0.4787312056991946,0.5929411492496108,136,55,74,7,0.4263565891472868,0.3410134308994762,0.5116997473950974,EUR_USD,H4,50,1.5,14,long,451
303,138,141,24,0.4946236559139785,0.43595598246645056,0.5532913293615064,131,57,67,7,0.4596774193548387,0.3719574698920637,0.5473973688176137,EUR_USD,H4,50,2.0,14,long,434
