pair,entry_ts,exit_ts,r
USD_JPY,2016-01-07 06:00:00,2016-01-14 06:00:00,0.061962075814425754
NZD_CHF,2016-01-07 22:00:00,2016-01-08 10:00:00,1.0
NZD_CHF,2016-01-08 06:00:00,2016-01-08 14:00:00,1.0
NZD_CHF,2016-01-11 14:00:00,2016-01-14 06:00:00,1.0
NZD_CHF,2016-01-12 10:00:00,2016-01-13 02:00:00,-1.0
EUR_NOK,2016-01-14 10:00:00,2016-01-15 14:00:00,1.0
USD_JPY,2016-01-19 02:00:00,2016-01-20 06:00:00,-1.0
USD_JPY,2016-01-19 22:00:00,2016-01-20 06:00:00,-1.0
USD_JPY,2016-01-20 14:00:00,2016-01-21 14:00:00,1.0
EUR_NOK,2016-01-21 10:00:00,2016-01-21 14:00:00,-1.0
NZD_CHF,2016-01-22 02:00:00,2016-01-25 18:00:00,1.0
NZD_CHF,2016-01-25 02:00:00,2016-01-25 18:00:00,1.0
USD_JPY,2016-01-25 18:00:00,2016-01-29 02:00:00,1.0
EUR_NOK,2016-01-28 14:00:00,2016-02-02 06:00:00,1.0
USD_JPY,2016-01-28 22:00:00,2016-01-29 02:00:00,1.0
NZD_CHF,2016-02-02 02:00:00,2016-02-02 06:00:00,1.0
EUR_NOK,2016-02-03 22:00:00,2016-02-05 10:00:00,1.0
NZD_CHF,2016-02-04 06:00:00,2016-02-05 02:00:00,1.0
NZD_CHF,2016-02-08 10:00:00,2016-02-08 14:00:00,1.0
USD_JPY,2016-02-08 22:00:00,2016-02-10 14:00:00,-1.0
USD_JPY,2016-02-09 10:00:00,2016-02-10 18:00:00,-1.0
NZD_CHF,2016-02-10 14:00:00,2016-02-11 06:00:00,1.0
EUR_NOK,2016-02-10 14:00:00,2016-02-11 06:00:00,1.0
NZD_CHF,2016-02-15 22:00:00,2016-02-16 02:00:00,1.0
USD_JPY,2016-02-16 06:00:00,2016-02-17 06:00:00,-1.0
EUR_NOK,2016-02-16 10:00:00,2016-02-17 22:00:00,-1.0
NZD_CHF,2016-02-17 14:00:00,2016-02-22 06:00:00,-1.0
EUR_NOK,2016-02-18 10:00:00,2016-02-24 10:00:00,1.0
USD_JPY,2016-02-18 14:00:00,2016-02-19 14:00:00,-1.0
NZD_CHF,2016-02-18 18:00:00,2016-02-19 10:00:00,1.0
USD_JPY,2016-02-21 22:00:00,2016-02-24 14:00:00,-1.0
USD_JPY,2016-02-23 06:00:00,2016-02-25 22:00:00,1.0
USD_JPY,2016-02-24 10:00:00,2016-02-25 14:00:00,1.0
NZD_CHF,2016-02-25 02:00:00,2016-02-25 18:00:00,-1.0
USD_JPY,2016-02-25 06:00:00,2016-02-25 22:00:00,1.0
NZD_CHF,2016-02-25 18:00:00,2016-02-28 22:00:00,1.0
EUR_NOK,2016-02-25 18:00:00,2016-03-01 06:00:00,-1.0
NZD_CHF,2016-02-26 06:00:00,2016-02-26 14:00:00,1.0
NZD_CHF,2016-03-01 18:00:00,2016-03-03 14:00:00,-1.0
NZD_CHF,2016-03-03 14:00:00,2016-03-04 10:00:00,-1.0
NZD_CHF,2016-03-03 22:00:00,2016-03-04 10:00:00,-1.0
NZD_CHF,2016-03-04 10:00:00,2016-03-07 14:00:00,-1.0
NZD_CHF,2016-03-07 06:00:00,2016-03-08 06:00:00,1.0
NZD_CHF,2016-03-07 22:00:00,2016-03-08 06:00:00,1.0
USD_JPY,2016-03-08 14:00:00,2016-03-10 10:00:00,1.0
