pair,entry_ts,exit_ts,r
EUR_USD,2016-01-11 02:00:00,2016-01-13 06:00:00,1.0
CAD_CHF,2016-01-13 14:00:00,2016-01-14 10:00:00,1.0
CHF_JPY,2016-01-13 14:00:00,2016-01-20 06:00:00,-1.0
CHF_JPY,2016-01-14 02:00:00,2016-01-21 02:00:00,-0.3750096320967179
CHF_JPY,2016-01-15 14:00:00,2016-01-21 10:00:00,-1.0
EUR_USD,2016-01-15 18:00:00,2016-01-21 10:00:00,1.0
USD_JPY,2016-01-17 22:00:00,2016-01-20 06:00:00,-1.0
CHF_JPY,2016-01-18 06:00:00,2016-01-21 10:00:00,-1.0
CHF_JPY,2016-01-18 18:00:00,2016-01-21 10:00:00,-1.0
CAD_CHF,2016-01-19 10:00:00,2016-01-19 22:00:00,1.0
EUR_USD,2016-01-20 06:00:00,2016-01-21 10:00:00,1.0
CHF_JPY,2016-01-20 10:00:00,2016-01-21 10:00:00,-1.0
CHF_JPY,2016-01-20 18:00:00,2016-01-21 14:00:00,-1.0
USD_JPY,2016-01-20 22:00:00,2016-01-22 14:00:00,1.0
USD_JPY,2016-01-21 14:00:00,2016-01-27 14:00:00,1.0
CHF_JPY,2016-01-21 14:00:00,2016-01-28 14:00:00,0.5537954305437551
CAD_CHF,2016-01-21 18:00:00,2016-01-22 10:00:00,-1.0
USD_CAD,2016-01-22 18:00:00,2016-01-25 14:00:00,1.0
CAD_CHF,2016-01-22 18:00:00,2016-01-25 14:00:00,1.0
CHF_JPY,2016-01-26 10:00:00,2016-01-29 02:00:00,1.0
CHF_JPY,2016-01-26 18:00:00,2016-01-29 02:00:00,1.0
CAD_CHF,2016-01-26 18:00:00,2016-01-29 02:00:00,-1.0
CHF_JPY,2016-01-27 02:00:00,2016-01-29 02:00:00,1.0
EUR_USD,2016-01-27 14:00:00,2016-02-03 14:00:00,-1.0
EUR_USD,2016-01-28 02:00:00,2016-02-03 14:00:00,-1.0
CAD_CHF,2016-01-28 18:00:00,2016-01-29 06:00:00,-1.0
EUR_USD,2016-01-28 22:00:00,2016-01-29 14:00:00,1.0
CAD_CHF,2016-01-29 10:00:00,2016-02-02 22:00:00,1.0
EUR_USD,2016-02-02 14:00:00,2016-02-03 14:00:00,-1.0
EUR_USD,2016-02-03 22:00:00,2016-02-04 10:00:00,-1.0
USD_CAD,2016-02-04 02:00:00,2016-02-05 18:00:00,1.0
USD_JPY,2016-02-04 02:00:00,2016-02-04 14:00:00,-1.0
CAD_CHF,2016-02-04 06:00:00,2016-02-04 18:00:00,1.0
USD_CAD,2016-02-04 14:00:00,2016-02-05 14:00:00,1.0
EUR_USD,2016-02-04 14:00:00,2016-02-09 14:00:00,-1.0
USD_JPY,2016-02-05 02:00:00,2016-02-08 14:00:00,-1.0
USD_JPY,2016-02-08 02:00:00,2016-02-08 10:00:00,-1.0
CHF_JPY,2016-02-08 18:00:00,2016-02-09 02:00:00,-1.0
CHF_JPY,2016-02-09 06:00:00,2016-02-09 14:00:00,1.0
USD_JPY,2016-02-09 18:00:00,2016-02-10 14:00:00,-1.0
EUR_USD,2016-02-09 18:00:00,2016-02-10 14:00:00,1.0
USD_JPY,2016-02-10 06:00:00,2016-02-10 14:00:00,-1.0
EUR_USD,2016-02-11 02:00:00,2016-02-15 10:00:00,1.0
CHF_JPY,2016-02-11 10:00:00,2016-02-18 10:00:00,-1.0
USD_JPY,2016-02-11 14:00:00,2016-02-12 14:00:00,1.0
EUR_USD,2016-02-11 14:00:00,2016-02-12 14:00:00,1.0
CHF_JPY,2016-02-12 10:00:00,2016-02-18 10:00:00,-1.0
USD_JPY,2016-02-12 14:00:00,2016-02-15 14:00:00,1.0
CAD_CHF,2016-02-15 02:00:00,2016-02-16 02:00:00,-1.0
USD_CAD,2016-02-16 06:00:00,2016-02-23 06:00:00,-0.38725397769301767
CAD_CHF,2016-02-16 06:00:00,2016-02-17 14:00:00,-1.0
CAD_CHF,2016-02-17 18:00:00,2016-02-19 10:00:00,1.0
USD_CAD,2016-02-17 22:00:00,2016-02-19 10:00:00,1.0
CHF_JPY,2016-02-17 22:00:00,2016-02-18 22:00:00,-1.0
CAD_CHF,2016-02-18 14:00:00,2016-02-19 14:00:00,1.0
CHF_JPY,2016-02-19 02:00:00,2016-02-22 18:00:00,-1.0
CHF_JPY,2016-02-19 10:00:00,2016-02-22 22:00:00,-1.0
CAD_CHF,2016-02-22 18:00:00,2016-02-23 14:00:00,1.0
CHF_JPY,2016-02-23 02:00:00,2016-02-25 14:00:00,1.0
USD_JPY,2016-02-23 14:00:00,2016-02-24 14:00:00,-1.0
CHF_JPY,2016-02-24 06:00:00,2016-02-25 02:00:00,1.0
CHF_JPY,2016-02-24 14:00:00,2016-02-25 18:00:00,1.0
USD_JPY,2016-02-24 22:00:00,2016-02-26 10:00:00,1.0
CAD_CHF,2016-02-25 18:00:00,2016-02-29 10:00:00,-1.0
USD_CAD,2016-02-25 22:00:00,2016-03-01 14:00:00,-1.0
CAD_CHF,2016-02-26 18:00:00,2016-03-01 14:00:00,-1.0
USD_CAD,2016-02-28 22:00:00,2016-03-01 18:00:00,-1.0
CAD_CHF,2016-02-29 14:00:00,2016-03-01 14:00:00,-1.0
CHF_JPY,2016-03-01 02:00:00,2016-03-01 14:00:00,1.0
CAD_CHF,2016-03-01 18:00:00,2016-03-07 14:00:00,-1.0
