pair,entry_ts,exit_ts,r
NZD_JPY,2016-01-13 06:00:00,2016-01-13 18:00:00,-1.0
AUD_JPY,2016-01-19 02:00:00,2016-01-19 06:00:00,1.0
CAD_CHF,2016-01-27 10:00:00,2016-01-29 06:00:00,-1.0
EUR_CHF,2016-01-28 02:00:00,2016-02-04 02:00:00,-0.7163957973855646
EUR_CHF,2016-01-29 02:00:00,2016-02-05 02:00:00,-0.3181154587891645
NZD_USD,2016-02-02 14:00:00,2016-02-03 06:00:00,-1.0
CAD_CHF,2016-02-11 10:00:00,2016-02-12 14:00:00,-1.0
AUD_JPY,2016-02-12 06:00:00,2016-02-12 14:00:00,1.0
EUR_CHF,2016-02-12 18:00:00,2016-02-19 18:00:00,-0.18539724085280912
EUR_CHF,2016-02-15 02:00:00,2016-02-22 02:00:00,-0.18275385510620215
NZD_USD,2016-02-15 22:00:00,2016-02-16 02:00:00,1.0
EUR_CHF,2016-02-16 22:00:00,2016-02-23 22:00:00,0.895563016060257
NZD_USD,2016-02-19 06:00:00,2016-02-22 10:00:00,-1.0
AUD_JPY,2016-02-22 06:00:00,2016-02-22 10:00:00,1.0
CAD_CHF,2016-02-29 06:00:00,2016-03-01 14:00:00,-1.0
AUD_JPY,2016-03-09 22:00:00,2016-03-10 10:00:00,1.0
EUR_CHF,2016-03-11 14:00:00,2016-03-18 13:00:00,0.49942129102226035
CAD_CHF,2016-03-15 05:00:00,2016-03-17 05:00:00,-1.0
EUR_CHF,2016-03-16 17:00:00,2016-03-23 17:00:00,0.6015695496431535
AUD_JPY,2016-03-17 09:00:00,2016-03-23 01:00:00,1.0
NZD_JPY,2016-03-23 01:00:00,2016-03-28 21:00:00,1.0
EUR_CHF,2016-03-24 13:00:00,2016-03-31 13:00:00,-0.10730991470236466
CAD_CHF,2016-03-30 05:00:00,2016-04-01 09:00:00,1.0
EUR_CHF,2016-03-30 13:00:00,2016-04-06 13:00:00,0.14378211057485923
NZD_USD,2016-03-31 05:00:00,2016-04-01 13:00:00,1.0
EUR_CHF,2016-03-31 17:00:00,2016-04-07 17:00:00,0.5394482998235363
EUR_CHF,2016-04-01 05:00:00,2016-04-08 05:00:00,0.45795665408275277
CAD_CHF,2016-04-12 09:00:00,2016-04-12 13:00:00,-1.0
NZD_USD,2016-04-13 13:00:00,2016-04-14 01:00:00,1.0
EUR_CHF,2016-04-14 13:00:00,2016-04-21 09:00:00,-1.0
CAD_CHF,2016-04-20 05:00:00,2016-04-20 13:00:00,-1.0
AUD_JPY,2016-04-26 21:00:00,2016-04-27 01:00:00,-1.0
NZD_JPY,2016-04-28 01:00:00,2016-04-28 05:00:00,-1.0
NZD_USD,2016-05-02 13:00:00,2016-05-03 13:00:00,1.0
AUD_JPY,2016-05-03 01:00:00,2016-05-03 05:00:00,-1.0
CAD_CHF,2016-05-06 17:00:00,2016-05-09 13:00:00,1.0
NZD_JPY,2016-05-16 21:00:00,2016-05-20 09:00:00,1.0
NZD_JPY,2016-05-25 05:00:00,2016-05-31 01:00:00,1.0
NZD_USD,2016-06-06 17:00:00,2016-06-08 09:00:00,-1.0
NZD_JPY,2016-06-06 21:00:00,2016-06-07 09:00:00,1.0
NZD_USD,2016-06-08 01:00:00,2016-06-08 21:00:00,-1.0
AUD_JPY,2016-06-28 21:00:00,2016-06-29 09:00:00,1.0
NZD_JPY,2016-07-07 13:00:00,2016-07-10 21:00:00,1.0
CAD_CHF,2016-07-11 01:00:00,2016-07-14 05:00:00,-1.0
NZD_USD,2016-07-13 05:00:00,2016-07-14 01:00:00,1.0
CAD_CHF,2016-07-13 13:00:00,2016-07-20 13:00:00,-0.043627710206246936
CAD_CHF,2016-07-14 13:00:00,2016-07-21 13:00:00,0.4805919839890499
CAD_CHF,2016-07-15 01:00:00,2016-07-21 17:00:00,1.0
NZD_JPY,2016-07-20 21:00:00,2016-07-21 05:00:00,-1.0
EUR_CHF,2016-07-22 05:00:00,2016-07-29 05:00:00,0.13062155623625837
NZD_USD,2016-07-27 13:00:00,2016-07-28 05:00:00,-1.0
EUR_CHF,2016-07-28 01:00:00,2016-07-29 13:00:00,1.0
EUR_CHF,2016-08-04 21:00:00,2016-08-11 21:00:00,-0.13736390371619847
CAD_CHF,2016-08-05 09:00:00,2016-08-12 09:00:00,-0.10008941320912199
CAD_CHF,2016-08-09 05:00:00,2016-08-15 05:00:00,-1.0
CAD_CHF,2016-08-09 13:00:00,2016-08-16 13:00:00,-0.09885779173067391
NZD_JPY,2016-08-18 13:00:00,2016-08-24 21:00:00,1.0
NZD_JPY,2016-08-19 01:00:00,2016-08-23 13:00:00,1.0
NZD_USD,2016-08-19 05:00:00,2016-08-26 05:00:00,-0.5369625224878721
AUD_JPY,2016-08-22 09:00:00,2016-08-29 01:00:00,1.0
NZD_USD,2016-08-24 21:00:00,2016-08-26 17:00:00,1.0
CAD_CHF,2016-08-25 13:00:00,2016-09-01 13:00:00,0.21369519052262514
