pair,entry_ts,exit_ts,r
USD_JPY,2016-01-05 10:00:00,2016-01-06 22:00:00,-1.0
USD_JPY,2016-01-05 18:00:00,2016-01-06 22:00:00,-1.0
USD_JPY,2016-01-06 02:00:00,2016-01-07 06:00:00,-1.0
CHF_JPY,2016-01-06 10:00:00,2016-01-07 22:00:00,1.0
USD_JPY,2016-01-06 10:00:00,2016-01-07 06:00:00,-1.0
CHF_JPY,2016-01-06 18:00:00,2016-01-13 18:00:00,-0.6433573565406591
CHF_JPY,2016-01-07 02:00:00,2016-01-13 22:00:00,-1.0
USD_JPY,2016-01-07 02:00:00,2016-01-10 22:00:00,-1.0
CHF_JPY,2016-01-07 10:00:00,2016-01-14 10:00:00,-0.46036370431400087
USD_JPY,2016-01-07 10:00:00,2016-01-10 22:00:00,-1.0
USD_JPY,2016-01-07 22:00:00,2016-01-10 22:00:00,-1.0
USD_JPY,2016-01-11 02:00:00,2016-01-18 02:00:00,-0.1346606211434106
USD_JPY,2016-01-14 02:00:00,2016-01-20 06:00:00,-1.0
CHF_JPY,2016-01-14 02:00:00,2016-01-21 02:00:00,-0.3750096320967179
USD_JPY,2016-01-15 18:00:00,2016-01-22 06:00:00,1.0
CHF_JPY,2016-01-18 06:00:00,2016-01-21 10:00:00,-1.0
USD_JPY,2016-01-20 10:00:00,2016-01-22 02:00:00,1.0
USD_JPY,2016-01-20 18:00:00,2016-01-22 02:00:00,1.0
CHF_JPY,2016-01-21 14:00:00,2016-01-28 14:00:00,0.5537954305437551
USD_JPY,2016-02-03 18:00:00,2016-02-04 14:00:00,-1.0
USD_JPY,2016-02-04 22:00:00,2016-02-08 14:00:00,-1.0
USD_JPY,2016-02-05 06:00:00,2016-02-08 14:00:00,-1.0
USD_JPY,2016-02-07 22:00:00,2016-02-08 14:00:00,-1.0
USD_JPY,2016-02-08 18:00:00,2016-02-09 02:00:00,-1.0
USD_JPY,2016-02-09 06:00:00,2016-02-10 14:00:00,-1.0
USD_JPY,2016-02-09 14:00:00,2016-02-10 18:00:00,-1.0
USD_JPY,2016-02-10 02:00:00,2016-02-10 18:00:00,-1.0
USD_JPY,2016-02-11 10:00:00,2016-02-14 22:00:00,1.0
CHF_JPY,2016-02-11 10:00:00,2016-02-18 10:00:00,-1.0
CHF_JPY,2016-02-11 18:00:00,2016-02-18 10:00:00,-1.0
USD_JPY,2016-02-11 18:00:00,2016-02-14 22:00:00,1.0
CHF_JPY,2016-02-18 02:00:00,2016-02-18 22:00:00,-1.0
USD_JPY,2016-02-19 02:00:00,2016-02-23 06:00:00,-1.0
CHF_JPY,2016-02-19 02:00:00,2016-02-22 18:00:00,-1.0
CHF_JPY,2016-02-19 10:00:00,2016-02-22 22:00:00,-1.0
CHF_JPY,2016-02-19 18:00:00,2016-02-22 22:00:00,-1.0
USD_JPY,2016-02-19 18:00:00,2016-02-24 14:00:00,-1.0
CHF_JPY,2016-02-23 02:00:00,2016-02-25 14:00:00,1.0
USD_JPY,2016-02-23 02:00:00,2016-02-24 14:00:00,-1.0
CHF_JPY,2016-02-23 10:00:00,2016-02-25 22:00:00,1.0
USD_JPY,2016-02-23 10:00:00,2016-02-24 14:00:00,-1.0
USD_JPY,2016-02-24 06:00:00,2016-02-25 22:00:00,1.0
USD_JPY,2016-02-24 18:00:00,2016-02-26 10:00:00,1.0
USD_JPY,2016-03-01 02:00:00,2016-03-01 14:00:00,1.0
EUR_GBP,2016-03-03 06:00:00,2016-03-10 06:00:00,0.0
