pair,entry_ts,exit_ts,r
USD_JPY,2016-01-05 10:00:00,2016-01-06 22:00:00,-1.0
CHF_JPY,2016-01-05 10:00:00,2016-01-07 06:00:00,-1.0
CAD_CHF,2016-01-05 14:00:00,2016-01-06 22:00:00,1.0
USD_JPY,2016-01-05 18:00:00,2016-01-06 22:00:00,-1.0
CHF_JPY,2016-01-05 18:00:00,2016-01-07 06:00:00,-1.0
CHF_JPY,2016-01-06 02:00:00,2016-01-07 22:00:00,1.0
USD_JPY,2016-01-06 02:00:00,2016-01-07 06:00:00,-1.0
USD_JPY,2016-01-06 10:00:00,2016-01-07 06:00:00,-1.0
CHF_JPY,2016-01-06 10:00:00,2016-01-07 22:00:00,1.0
USD_JPY,2016-01-07 02:00:00,2016-01-10 22:00:00,-1.0
USD_JPY,2016-01-07 10:00:00,2016-01-10 22:00:00,-1.0
USD_JPY,2016-01-07 22:00:00,2016-01-10 22:00:00,-1.0
CHF_JPY,2016-01-10 22:00:00,2016-01-13 10:00:00,-1.0
USD_JPY,2016-01-10 22:00:00,2016-01-17 22:00:00,0.025590500806101833
CHF_JPY,2016-01-12 18:00:00,2016-01-19 18:00:00,-0.20437881613571543
CAD_CHF,2016-01-13 10:00:00,2016-01-13 18:00:00,1.0
CHF_JPY,2016-01-14 02:00:00,2016-01-21 02:00:00,-0.3750096320967179
USD_JPY,2016-01-14 02:00:00,2016-01-20 06:00:00,-1.0
USD_JPY,2016-01-15 18:00:00,2016-01-22 06:00:00,1.0
CHF_JPY,2016-01-18 06:00:00,2016-01-21 10:00:00,-1.0
CAD_CHF,2016-01-19 06:00:00,2016-01-19 14:00:00,1.0
USD_JPY,2016-01-20 06:00:00,2016-01-21 22:00:00,1.0
CHF_JPY,2016-01-20 06:00:00,2016-01-21 14:00:00,-1.0
USD_JPY,2016-01-20 18:00:00,2016-01-22 02:00:00,1.0
CAD_CHF,2016-01-21 02:00:00,2016-01-21 10:00:00,-1.0
CAD_CHF,2016-01-21 14:00:00,2016-01-22 10:00:00,-1.0
CHF_JPY,2016-01-21 14:00:00,2016-01-28 14:00:00,0.5537954305437551
EUR_GBP,2016-01-21 18:00:00,2016-01-22 10:00:00,-1.0
CAD_CHF,2016-01-22 10:00:00,2016-01-26 06:00:00,1.0
EUR_GBP,2016-01-22 10:00:00,2016-01-25 22:00:00,1.0
CHF_JPY,2016-01-22 14:00:00,2016-01-29 02:00:00,1.0
CAD_CHF,2016-01-24 22:00:00,2016-01-25 18:00:00,1.0
EUR_GBP,2016-01-25 02:00:00,2016-01-26 06:00:00,1.0
CHF_JPY,2016-01-25 14:00:00,2016-01-29 02:00:00,1.0
CHF_JPY,2016-01-26 02:00:00,2016-01-29 02:00:00,1.0
USD_JPY,2016-01-26 06:00:00,2016-01-29 02:00:00,1.0
CAD_CHF,2016-01-26 14:00:00,2016-01-27 10:00:00,1.0
CHF_JPY,2016-01-26 18:00:00,2016-01-29 02:00:00,1.0
EUR_GBP,2016-01-26 18:00:00,2016-01-27 18:00:00,1.0
CHF_JPY,2016-01-27 02:00:00,2016-01-29 02:00:00,1.0
