pair,entry_ts,exit_ts,r
EUR_USD,2016-01-06 14:00:00,2016-01-07 18:00:00,1.0
EUR_GBP,2016-01-06 14:00:00,2016-01-07 10:00:00,1.0
EUR_JPY,2016-01-06 14:00:00,2016-01-13 14:00:00,0.26860016983473606
EUR_CHF,2016-01-06 18:00:00,2016-01-13 18:00:00,0.5045529458342196
GBP_USD,2016-01-06 22:00:00,2016-01-12 14:00:00,-1.0
NZD_CHF,2016-01-07 06:00:00,2016-01-08 14:00:00,-1.0
AUD_USD,2016-01-07 06:00:00,2016-01-13 22:00:00,-1.0
CAD_JPY,2016-01-07 10:00:00,2016-01-10 22:00:00,-1.0
CAD_CHF,2016-01-07 10:00:00,2016-01-10 22:00:00,-1.0
GBP_CHF,2016-01-07 10:00:00,2016-01-10 22:00:00,-1.0
AUD_NZD,2016-01-07 10:00:00,2016-01-14 06:00:00,0.999999999999986
NZD_JPY,2016-01-07 14:00:00,2016-01-08 14:00:00,-1.0
USD_JPY,2016-01-07 14:00:00,2016-01-14 14:00:00,0.06611570247934116
GBP_JPY,2016-01-07 14:00:00,2016-01-10 22:00:00,-1.0
AUD_JPY,2016-01-07 14:00:00,2016-01-08 18:00:00,-1.0
CHF_JPY,2016-01-07 18:00:00,2016-01-13 22:00:00,-1.0
GBP_USD,2016-01-07 18:00:00,2016-01-12 14:00:00,-1.0
AUD_CAD,2016-01-07 18:00:00,2016-01-14 18:00:00,0.871301262174821
USD_SEK,2016-01-08 02:00:00,2016-01-15 02:00:00,0.3327481393303294
AUD_CHF,2016-01-08 02:00:00,2016-01-08 14:00:00,-1.0
USD_CHF,2016-01-08 02:00:00,2016-01-15 02:00:00,0.4692387904066758
USD_HUF,2016-01-08 02:00:00,2016-01-15 02:00:00,-0.06677188995532522
USD_PLN,2016-01-08 02:00:00,2016-01-15 02:00:00,0.6382865167602293
USD_CZK,2016-01-08 02:00:00,2016-01-15 02:00:00,-0.11727730614429646
NZD_JPY,2016-01-08 06:00:00,2016-01-08 14:00:00,-1.0
NZD_CHF,2016-01-08 06:00:00,2016-01-08 14:00:00,-1.0
USD_JPY,2016-01-08 06:00:00,2016-01-15 06:00:00,-0.49252061796122026
EUR_CZK,2016-01-10 22:00:00,2016-01-17 22:00:00,-0.07091579513719316
USD_CZK,2016-01-11 02:00:00,2016-01-18 02:00:00,0.07060067523002354
GBP_JPY,2016-01-11 02:00:00,2016-01-15 10:00:00,-1.0
NZD_JPY,2016-01-11 02:00:00,2016-01-13 02:00:00,0.9999999999999877
AUD_CAD,2016-01-11 02:00:00,2016-01-14 14:00:00,0.9999999999999925
GBP_USD,2016-01-11 02:00:00,2016-01-15 14:00:00,-1.0
NZD_CHF,2016-01-11 02:00:00,2016-01-12 22:00:00,0.9999999999999886
GBP_CHF,2016-01-11 02:00:00,2016-01-15 14:00:00,-1.0
USD_NOK,2016-01-11 02:00:00,2016-01-14 22:00:00,-1.0
NZD_USD,2016-01-11 02:00:00,2016-01-14 10:00:00,-1.0
NZD_CAD,2016-01-11 06:00:00,2016-01-18 06:00:00,0.6262815609636917
AUD_JPY,2016-01-11 06:00:00,2016-01-12 06:00:00,-1.0
USD_CHF,2016-01-11 06:00:00,2016-01-18 06:00:00,0.42342035489838015
AUD_USD,2016-01-11 06:00:00,2016-01-15 06:00:00,-1.0
CAD_CHF,2016-01-11 06:00:00,2016-01-14 10:00:00,-1.0
USD_JPY,2016-01-11 06:00:00,2016-01-18 06:00:00,-0.3133714583085868
CAD_JPY,2016-01-11 06:00:00,2016-01-12 06:00:00,-1.0
AUD_CHF,2016-01-11 06:00:00,2016-01-15 06:00:00,-1.0
NZD_CAD,2016-01-11 22:00:00,2016-01-18 22:00:00,0.19796390196140992
GBP_AUD,2016-01-12 18:00:00,2016-01-19 18:00:00,-0.644583244703139
GBP_USD,2016-01-12 18:00:00,2016-01-19 10:00:00,-1.0
GBP_JPY,2016-01-12 22:00:00,2016-01-15 06:00:00,-1.0
EUR_JPY,2016-01-13 02:00:00,2016-01-20 02:00:00,-0.06661254397469471
CAD_JPY,2016-01-13 02:00:00,2016-01-13 22:00:00,-1.0
CHF_JPY,2016-01-13 02:00:00,2016-01-20 02:00:00,-0.508516807103375
EUR_AUD,2016-01-13 10:00:00,2016-01-13 18:00:00,0.9999999999999905
EUR_NZD,2016-01-13 10:00:00,2016-01-13 22:00:00,1.0
EUR_USD,2016-01-13 14:00:00,2016-01-20 14:00:00,0.43867733254690233
USD_NOK,2016-01-13 18:00:00,2016-01-20 18:00:00,0.3077628187631159
EUR_HUF,2016-01-13 18:00:00,2016-01-20 18:00:00,-0.32792312891384734
EUR_PLN,2016-01-13 18:00:00,2016-01-15 10:00:00,0.9999999999999865
USD_ZAR,2016-01-13 18:00:00,2016-01-15 14:00:00,1.0
EUR_NOK,2016-01-13 18:00:00,2016-01-20 18:00:00,0.40552953158943994
GBP_NZD,2016-01-13 22:00:00,2016-01-19 14:00:00,-1.0
GBP_AUD,2016-01-13 22:00:00,2016-01-19 14:00:00,-1.0
USD_SGD,2016-01-13 22:00:00,2016-01-20 22:00:00,-0.1319911913247066
USD_HUF,2016-01-14 02:00:00,2016-01-15 10:00:00,-1.0
CAD_JPY,2016-01-14 06:00:00,2016-01-15 06:00:00,-1.0
GBP_JPY,2016-01-14 06:00:00,2016-01-15 14:00:00,-1.0
CHF_JPY,2016-01-14 06:00:00,2016-01-21 06:00:00,-0.5835890442095623
AUD_JPY,2016-01-14 10:00:00,2016-01-15 06:00:00,-1.0
AUD_USD,2016-01-14 14:00:00,2016-01-15 06:00:00,-1.0
NZD_USD,2016-01-14 14:00:00,2016-01-19 22:00:00,-1.0
NZD_CAD,2016-01-14 18:00:00,2016-01-19 18:00:00,0.999999999999992
GBP_USD,2016-01-14 18:00:00,2016-01-19 14:00:00,-1.0
USD_NOK,2016-01-15 02:00:00,2016-01-18 14:00:00,0.9999999999999866
EUR_HUF,2016-01-15 02:00:00,2016-01-22 02:00:00,-0.38655924210703774
EUR_NOK,2016-01-15 02:00:00,2016-01-18 14:00:00,0.9999999999999876
NZD_JPY,2016-01-15 14:00:00,2016-01-19 06:00:00,0.9999999999999873
NZD_USD,2016-01-15 14:00:00,2016-01-21 14:00:00,1.0
USD_HUF,2016-01-15 14:00:00,2016-01-22 14:00:00,-0.10815607753957827
NZD_CHF,2016-01-15 18:00:00,2016-01-19 22:00:00,-1.0
CAD_JPY,2016-01-15 18:00:00,2016-01-20 06:00:00,-1.0
AUD_JPY,2016-01-15 18:00:00,2016-01-19 06:00:00,1.0
AUD_CHF,2016-01-15 18:00:00,2016-01-19 10:00:00,1.0
GBP_JPY,2016-01-17 22:00:00,2016-01-20 06:00:00,-1.0
CAD_CHF,2016-01-17 22:00:00,2016-01-20 06:00:00,-1.0
AUD_CAD,2016-01-17 22:00:00,2016-01-24 22:00:00,-0.8508373663290661
GBP_CHF,2016-01-17 22:00:00,2016-01-22 10:00:00,0.9999999999999897
USD_JPY,2016-01-17 22:00:00,2016-01-24 22:00:00,0.8054934997754563
AUD_USD,2016-01-17 22:00:00,2016-01-21 14:00:00,0.9999999999999892
USD_NOK,2016-01-17 22:00:00,2016-01-22 06:00:00,-1.0
USD_CZK,2016-01-17 22:00:00,2016-01-24 22:00:00,0.4223727105040041
GBP_USD,2016-01-18 02:00:00,2016-01-25 02:00:00,0.0919978238078234
AUD_NZD,2016-01-18 02:00:00,2016-01-19 22:00:00,0.9999999999999861
GBP_NZD,2016-01-18 10:00:00,2016-01-19 14:00:00,-1.0
AUD_USD,2016-01-19 02:00:00,2016-01-21 14:00:00,1.0
GBP_USD,2016-01-19 02:00:00,2016-01-26 02:00:00,-0.2246933822893954
USD_SGD,2016-01-19 14:00:00,2016-01-26 14:00:00,-0.5713039281205904
GBP_NZD,2016-01-19 18:00:00,2016-01-21 14:00:00,-1.0
