label,half,fill_rule,strategy,pair,direction,n,mean_r,nw_se,nw_lo,lag95,lagmax
atr:EUR_NOK:long:limit,train,mid_touch,atr,EUR_NOK,long,357,0.10619852164905386,0.0643145968972998,-0.019858088269653767,3,5
atr:EUR_NOK:long:limit,test,mid_touch,atr,EUR_NOK,long,153,0.2646927987081266,0.10067851772269353,0.06736290397164732,3,6
atr:EUR_NOK:long:limit,full,mid_touch,atr,EUR_NOK,long,510,0.15374680476677569,0.05473710624813697,0.04646207652042722,3,6
atr:NZD_CHF:short:limit,train,mid_touch,atr,NZD_CHF,short,815,0.1196111327395689,0.05030151288117456,0.021020167492466768,5,8
atr:NZD_CHF:short:limit,test,mid_touch,atr,NZD_CHF,short,350,0.2221376682742078,0.07865258821857994,0.06797859536579112,5,10
atr:NZD_CHF:short:limit,full,mid_touch,atr,NZD_CHF,short,1165,0.15041309620491106,0.04256585008126091,0.06698403004563967,5,10
atr:USD_JPY:long:limit,train,mid_touch,atr,USD_JPY,long,749,0.0866782553966846,0.052213753315350345,-0.01566070110140208,7,11
atr:USD_JPY:long:limit,test,mid_touch,atr,USD_JPY,long,322,0.14304330237467358,0.07738850539745315,-0.008638168204334579,5,8
atr:USD_JPY:long:limit,full,mid_touch,atr,USD_JPY,long,1071,0.10362460939006692,0.043302341457463416,0.01875202013343863,7,11
ichimoku:USD_SGD:short:limit,train,mid_touch,ichimoku,USD_SGD,short,116,0.16609039144311669,0.09523545493296545,-0.020571100225495603,2,3
ichimoku:USD_SGD:short:limit,test,mid_touch,ichimoku,USD_SGD,short,51,0.2513155022020348,0.10908764224085377,0.037503723409961415,2,2
ichimoku:USD_SGD:short:limit,full,mid_touch,ichimoku,USD_SGD,short,167,0.1921172216748821,0.07470013849586643,0.0457049502229839,2,3
macd:AUD_JPY:long:limit,train,mid_touch,macd,AUD_JPY,long,140,0.17641258277146782,0.09413924228997492,-0.008100332116883019,1,3
macd:AUD_JPY:long:limit,test,mid_touch,macd,AUD_JPY,long,61,0.3442622950819672,0.14375770606886598,0.062497191186989876,3,6
macd:AUD_JPY:long:limit,full,mid_touch,macd,AUD_JPY,long,201,0.22735204770151984,0.07702858387611032,0.07637602330434362,1,6
macd:CAD_CHF:short:limit,train,mid_touch,macd,CAD_CHF,short,228,0.1259977689008821,0.0811220893694094,-0.03300152626316033,2,4
macd:CAD_CHF:short:limit,test,mid_touch,macd,CAD_CHF,short,98,0.3306957510876683,0.10617816595106608,0.12258654582357878,3,4
macd:CAD_CHF:short:limit,full,mid_touch,macd,CAD_CHF,short,326,0.18753274514108162,0.06797127389522264,0.05430904830644523,3,4
macd:EUR_CHF:short:limit,train,mid_touch,macd,EUR_CHF,short,196,0.16839696155982925,0.0725084858064278,0.026280329379230777,3,5
macd:EUR_CHF:short:limit,test,mid_touch,macd,EUR_CHF,short,84,0.19326965700973203,0.11018174914849689,-0.022686571321321874,3,5
macd:EUR_CHF:short:limit,full,mid_touch,macd,EUR_CHF,short,280,0.17585877019480006,0.06071731272407725,0.05685283725560865,3,5
macd:NZD_JPY:long:limit,train,mid_touch,macd,NZD_JPY,long,93,0.22580645161290333,0.10615530635248603,0.017742051162030703,1,3
macd:NZD_JPY:long:limit,test,mid_touch,macd,NZD_JPY,long,41,0.4634146341463415,0.1508426884648336,0.16776296475526764,1,1
macd:NZD_JPY:long:limit,full,mid_touch,macd,NZD_JPY,long,134,0.29850746268656725,0.08780423396159699,0.12641116412183714,1,3
macd:NZD_USD:short:limit,train,mid_touch,macd,NZD_USD,short,166,0.2289156626506024,0.07981643715292083,0.07247544583087756,1,2
macd:NZD_USD:short:limit,test,mid_touch,macd,NZD_USD,short,72,0.25,0.12103072956898178,0.012779770044795719,1,2
macd:NZD_USD:short:limit,full,mid_touch,macd,NZD_USD,short,238,0.23529411764705882,0.06671563835522093,0.10453146647082581,1,2
atr:EUR_NOK:long:limit,train,executable,atr,EUR_NOK,long,207,0.03949481585940367,0.07102722719550145,-0.09971854944377917,2,3
atr:EUR_NOK:long:limit,test,executable,atr,EUR_NOK,long,90,0.12779553075364783,0.12567114733544843,-0.11851991802383108,2,3
atr:EUR_NOK:long:limit,full,executable,atr,EUR_NOK,long,297,0.06625260825159887,0.06246443016020962,-0.05617767486241197,2,3
atr:NZD_CHF:short:limit,train,executable,atr,NZD_CHF,short,471,-0.0034486984938067924,0.05484003575000996,-0.1109351685638263,3,5
atr:NZD_CHF:short:limit,test,executable,atr,NZD_CHF,short,203,0.1114897613364381,0.0865657643714374,-0.0581791368315792,3,7
atr:NZD_CHF:short:limit,full,executable,atr,NZD_CHF,short,674,0.03116926492687528,0.04664631443770441,-0.060257511371025356,3,7
atr:USD_JPY:long:limit,train,executable,atr,USD_JPY,long,660,0.05103351211935668,0.05309904426951442,-0.05304061464889159,6,10
atr:USD_JPY:long:limit,test,executable,atr,USD_JPY,long,283,0.12388672567012331,0.07813246427983449,-0.0292529043183523,4,6
atr:USD_JPY:long:limit,full,executable,atr,USD_JPY,long,943,0.07289720187001093,0.04366393223649865,-0.012684105313526414,5,10
ichimoku:USD_SGD:short:limit,train,executable,ichimoku,USD_SGD,short,81,0.2126668479716314,0.10297103701858408,0.01084361541520662,1,3
ichimoku:USD_SGD:short:limit,test,executable,ichimoku,USD_SGD,short,35,0.16602637548108756,0.11529542945238189,-0.05995266624558093,2,2
ichimoku:USD_SGD:short:limit,full,executable,ichimoku,USD_SGD,short,116,0.19859429161672595,0.08258797497005117,0.036721860675425655,1,3
macd:AUD_JPY:long:limit,train,executable,macd,AUD_JPY,long,116,0.14394622058625425,0.10493041599770768,-0.06171739476925278,1,1
macd:AUD_JPY:long:limit,test,executable,macd,AUD_JPY,long,50,0.24,0.162323134518774,-0.07815334365679705,3,5
