label,half,fill_rule,pool,n,mean_r,nw_se,nw_lo,lag95,lagmax
limit,train,mid_touch,full_pool,2864,0.13373883577686638,0.0245547809058175,0.08561146520146408,23,31
limit,test,mid_touch,full_pool,1228,0.21641166667739475,0.04300942562171149,0.13211319245884023,21,34
limit,full,mid_touch,full_pool,4092,0.15854876645767013,0.021716937539731727,0.11598356887979594,22,34
limit,train,mid_touch,live_replicable,1500,0.1156140679834534,0.02481355995553201,0.06697949047061066,9,18
limit,test,mid_touch,live_replicable,643,0.1811908264262509,0.04110337591120606,0.10062820964028701,9,15
limit,full,mid_touch,live_replicable,2143,0.135290155561017,0.02141211893968109,0.09332240243924207,9,18
combined,train,mid_touch,full_pool,15528,0.09502706653368835,0.022336098385531432,0.05124831369804674,119,175
combined,test,mid_touch,full_pool,6655,0.1741159726084325,0.037307342618132074,0.10099358107689364,119,173
combined,full,mid_touch,full_pool,22183,0.11875409488546325,0.019419395074851378,0.08069208053875454,119,175
combined,train,mid_touch,live_replicable,3231,0.07322024729466725,0.019585048853457725,0.03483355154189011,20,50
combined,test,mid_touch,live_replicable,1386,0.14105882493646862,0.03216198930362016,0.07802132590137312,20,36
combined,full,mid_touch,live_replicable,4617,0.09358504448148482,0.016904866018526366,0.06045150708517314,20,50
limit,train,executable,full_pool,2008,0.07231655527354677,0.026207305309736296,0.020950236866463634,15,27
limit,test,executable,full_pool,862,0.15802704299368905,0.046873045563727955,0.06615587368878226,15,25
limit,full,executable,full_pool,2870,0.09805956587102505,0.023221572364078704,0.052545284037430785,15,27
limit,train,executable,live_replicable,1227,0.059409631700167664,0.027093205817452413,0.006306948297960933,7,15
limit,test,executable,live_replicable,526,0.10921123786294495,0.045960947428153945,0.019127780903763228,7,12
limit,full,executable,live_replicable,1753,0.07435295448489149,0.02352688952063038,0.028240251024455938,7,15
combined,train,executable,full_pool,14672,0.08458229100531818,0.022967744776774907,0.039565511242839364,111,168
combined,test,executable,full_pool,6289,0.1631388320749338,0.038536434127173266,0.08760742118567419,113,168
combined,full,executable,full_pool,20961,0.10815187674964394,0.019987877095680333,0.06897563764211048,112,168
combined,train,executable,live_replicable,2990,0.04616270639919433,0.020189357086374937,0.006591566509899456,18,42
combined,test,executable,live_replicable,1282,0.10980381594587309,0.034878723095758506,0.04144151867818642,18,35
combined,full,executable,live_replicable,4272,0.06526099816858622,0.017696538280349457,0.03057578313910128,18,42
