strategy,pair,direction,entry_mode,entry_ts,exit_ts,r
stoch,CAD_CHF,short,mid,2016-01-05 14:00:00,2016-01-06 06:00:00,0.5
stoch,CAD_CHF,short,mid,2016-01-13 10:00:00,2016-01-13 14:00:00,0.4999999999999922
stoch,CAD_CHF,short,mid,2016-01-19 06:00:00,2016-01-19 10:00:00,0.500000000000008
stoch,CAD_CHF,short,mid,2016-01-21 02:00:00,2016-01-21 10:00:00,-1.0
stoch,CAD_CHF,short,mid,2016-01-21 14:00:00,2016-01-21 18:00:00,0.5000000000000079
stoch,CAD_CHF,short,mid,2016-01-22 10:00:00,2016-01-25 18:00:00,0.49999999999999223
stoch,CAD_CHF,short,mid,2016-01-24 22:00:00,2016-01-25 06:00:00,0.5
stoch,CAD_CHF,short,mid,2016-01-26 14:00:00,2016-01-26 18:00:00,0.5000000000000077
stoch,CAD_CHF,short,mid,2016-01-27 18:00:00,2016-01-29 02:00:00,-1.0
stoch,CAD_CHF,short,mid,2016-01-29 06:00:00,2016-01-29 10:00:00,0.5000000000000077
stoch,CAD_CHF,short,mid,2016-01-29 14:00:00,2016-02-01 14:00:00,0.4999999999999924
stoch,CAD_CHF,short,mid,2016-01-31 22:00:00,2016-02-01 10:00:00,0.5
stoch,CAD_CHF,short,mid,2016-02-03 14:00:00,2016-02-04 10:00:00,-1.0
stoch,CAD_CHF,short,mid,2016-02-04 02:00:00,2016-02-04 10:00:00,0.5
stoch,CAD_CHF,short,mid,2016-02-12 10:00:00,2016-02-12 14:00:00,-1.0
stoch,CAD_CHF,short,mid,2016-02-12 18:00:00,2016-02-15 10:00:00,-1.0
stoch,CAD_CHF,short,mid,2016-02-15 02:00:00,2016-02-16 02:00:00,-1.0
stoch,CAD_CHF,short,mid,2016-02-15 14:00:00,2016-02-16 14:00:00,0.5
stoch,CAD_CHF,short,mid,2016-02-16 02:00:00,2016-02-16 06:00:00,0.5
stoch,CAD_CHF,short,mid,2016-02-17 22:00:00,2016-02-18 22:00:00,0.5000000000000077
stoch,CAD_CHF,short,mid,2016-02-18 14:00:00,2016-02-18 22:00:00,0.5
stoch,CAD_CHF,short,mid,2016-02-22 14:00:00,2016-02-23 06:00:00,0.5000000000000077
stoch,CAD_CHF,short,mid,2016-02-25 02:00:00,2016-02-25 10:00:00,-1.0
stoch,CAD_CHF,short,mid,2016-02-25 14:00:00,2016-02-26 10:00:00,-1.0
stoch,CAD_CHF,short,mid,2016-02-25 22:00:00,2016-02-26 10:00:00,-1.0
stoch,CAD_CHF,short,mid,2016-02-26 10:00:00,2016-03-01 14:00:00,-1.0
stoch,CAD_CHF,short,mid,2016-02-29 14:00:00,2016-03-01 14:00:00,-1.0
stoch,CAD_CHF,short,mid,2016-03-01 18:00:00,2016-03-02 14:00:00,0.5000000000000074
stoch,CAD_CHF,short,mid,2016-03-02 06:00:00,2016-03-03 10:00:00,0.5000000000000074
stoch,CAD_CHF,short,mid,2016-03-04 18:00:00,2016-03-08 14:00:00,0.5000000000000074
stoch,CAD_CHF,short,mid,2016-03-07 22:00:00,2016-03-08 06:00:00,0.5
stoch,CAD_CHF,short,mid,2016-03-09 22:00:00,2016-03-10 10:00:00,-1.0
stoch,CAD_CHF,short,mid,2016-03-17 01:00:00,2016-03-17 13:00:00,0.5
stoch,CAD_CHF,short,mid,2016-03-17 09:00:00,2016-03-21 09:00:00,0.5
stoch,CAD_CHF,short,mid,2016-03-23 01:00:00,2016-03-23 13:00:00,0.5000000000000074
stoch,CAD_CHF,short,mid,2016-03-23 09:00:00,2016-03-23 13:00:00,0.4999999999999925
stoch,CAD_CHF,short,mid,2016-03-25 09:00:00,2016-03-30 13:00:00,-1.0
stoch,CAD_CHF,short,mid,2016-03-29 01:00:00,2016-03-31 09:00:00,-1.0
stoch,CAD_CHF,short,mid,2016-03-29 09:00:00,2016-04-01 09:00:00,0.5000000000000075
stoch,CAD_CHF,short,mid,2016-03-30 21:00:00,2016-03-31 13:00:00,0.5
stoch,CAD_CHF,short,mid,2016-03-31 13:00:00,2016-04-01 09:00:00,0.5
stoch,CAD_CHF,short,mid,2016-04-07 05:00:00,2016-04-07 13:00:00,0.5000000000000075
stoch,CAD_CHF,short,mid,2016-04-08 13:00:00,2016-04-12 09:00:00,-1.0
stoch,CAD_CHF,short,mid,2016-04-10 21:00:00,2016-04-11 17:00:00,-1.0
stoch,CAD_CHF,short,mid,2016-04-11 17:00:00,2016-04-12 13:00:00,-1.0
stoch,CAD_CHF,short,mid,2016-04-12 05:00:00,2016-04-12 13:00:00,-1.0
stoch,CAD_CHF,short,mid,2016-04-12 17:00:00,2016-04-13 13:00:00,-1.0
stoch,CAD_CHF,short,mid,2016-04-13 09:00:00,2016-04-15 13:00:00,0.4999999999999926
stoch,CAD_CHF,short,mid,2016-04-15 05:00:00,2016-04-15 09:00:00,0.5
stoch,CAD_CHF,short,mid,2016-04-17 21:00:00,2016-04-18 13:00:00,-1.0
stoch,CAD_CHF,short,mid,2016-04-19 01:00:00,2016-04-20 13:00:00,-1.0
stoch,CAD_CHF,short,mid,2016-04-19 09:00:00,2016-04-20 13:00:00,-1.0
stoch,CAD_CHF,short,mid,2016-04-19 21:00:00,2016-04-20 13:00:00,-1.0
stoch,CAD_CHF,short,mid,2016-04-20 17:00:00,2016-04-21 09:00:00,0.5000000000000072
stoch,CAD_CHF,short,mid,2016-04-21 05:00:00,2016-04-21 13:00:00,0.5
stoch,CAD_CHF,short,mid,2016-04-22 13:00:00,2016-04-29 13:00:00,0.5000000000000072
stoch,CAD_CHF,short,mid,2016-04-24 21:00:00,2016-04-28 09:00:00,0.4999999999999928
stoch,CAD_CHF,short,mid,2016-04-26 21:00:00,2016-04-27 17:00:00,0.4999999999999928
stoch,CAD_CHF,short,mid,2016-04-27 09:00:00,2016-04-27 17:00:00,0.5
stoch,CAD_CHF,short,mid,2016-05-05 13:00:00,2016-05-06 09:00:00,0.5000000000000073
