pair,entry_ts,exit_ts,r
USD_JPY,2016-01-07 22:00:00,2016-01-10 22:00:00,-1.0
USD_JPY,2016-01-18 06:00:00,2016-01-20 06:00:00,-1.0
USD_JPY,2016-01-20 18:00:00,2016-01-22 02:00:00,1.0
USD_JPY,2016-01-22 02:00:00,2016-01-29 02:00:00,1.0
USD_JPY,2016-01-22 14:00:00,2016-01-29 02:00:00,1.0
USD_JPY,2016-01-27 22:00:00,2016-01-29 02:00:00,1.0
USD_JPY,2016-02-11 18:00:00,2016-02-14 22:00:00,1.0
USD_JPY,2016-03-02 06:00:00,2016-03-02 18:00:00,-1.0
USD_JPY,2016-03-02 22:00:00,2016-03-08 14:00:00,-1.0
USD_JPY,2016-03-04 02:00:00,2016-03-08 14:00:00,-1.0
USD_JPY,2016-03-10 10:00:00,2016-03-10 14:00:00,-1.0
USD_JPY,2016-03-29 01:00:00,2016-03-29 21:00:00,-1.0
USD_JPY,2016-03-30 09:00:00,2016-04-03 21:00:00,-1.0
USD_JPY,2016-03-30 21:00:00,2016-04-03 21:00:00,-1.0
USD_JPY,2016-05-02 09:00:00,2016-05-03 05:00:00,-1.0
USD_JPY,2016-05-03 09:00:00,2016-05-03 21:00:00,1.0
USD_JPY,2016-05-04 13:00:00,2016-05-09 09:00:00,1.0
USD_JPY,2016-05-13 09:00:00,2016-05-19 05:00:00,1.0
USD_JPY,2016-05-18 13:00:00,2016-05-29 21:00:00,1.0
USD_JPY,2016-05-27 13:00:00,2016-05-30 01:00:00,1.0
USD_JPY,2016-05-31 09:00:00,2016-06-01 05:00:00,-1.0
USD_JPY,2016-06-06 17:00:00,2016-06-09 05:00:00,-1.0
USD_JPY,2016-06-07 01:00:00,2016-06-08 13:00:00,-1.0
USD_JPY,2016-06-28 01:00:00,2016-06-30 13:00:00,1.0
USD_JPY,2016-08-05 09:00:00,2016-08-08 13:00:00,1.0
USD_JPY,2016-08-11 01:00:00,2016-08-16 01:00:00,-1.0
USD_JPY,2016-08-16 13:00:00,2016-08-26 13:00:00,1.0
USD_JPY,2016-08-22 01:00:00,2016-08-26 17:00:00,1.0
USD_JPY,2016-08-29 01:00:00,2016-08-31 05:00:00,1.0
