strategy,pair,direction,entry_mode,n_all,n_live,tr_n,tr_mean,tr_lo,te_n,te_mean,te_lo,pass_live,te_pass_live
stoch,CAD_CHF,short,mid,1679,442,309,-0.029947396632845107,-0.14002016178932272,133,0.10300463208954565,-0.06130606238637852,False,False
stoch,CHF_JPY,long,mid,1763,463,324,0.061299591468086265,-0.04401256876812604,139,0.17997814086522415,0.018145782807548333,False,True
stoch,EUR_GBP,long,mid,1914,321,224,0.015520228189944807,-0.1113862221918415,97,0.022717859128895068,-0.1535942281197272,False,False
stoch,USD_JPY,long,mid,1878,520,364,0.0051140519001767,-0.09505248163038968,156,0.06453435025970097,-0.09146612200061369,False,False
bb,AUD_CAD,short,mid,220,138,96,0.08521819768623101,-0.11138765396239289,42,0.2534448787905226,-0.028047565078055503,False,False
bb,CAD_CHF,short,mid,1059,374,261,-0.0015643091247520182,-0.12069815996642705,113,0.16224486250645095,-0.01244329235321906,False,False
bb,CHF_JPY,long,mid,295,154,107,0.17856425170995652,-2.241289143084524e-05,47,0.06382978723404255,-0.22456714609019668,False,False
bb,EUR_CAD,long,mid,296,150,105,0.1585811342949924,-0.0244699370378835,45,0.23843737557371117,-0.03040214647352199,False,False
bb,USD_JPY,long,mid,341,191,133,0.0970272088905325,-0.06789197177023719,58,0.16339640712525919,-0.09096453043801392,False,False
macd,AUD_JPY,long,limit,201,170,118,0.15845560667801267,-0.0197491734294368,52,0.19230769230769232,-0.0770244153172672,False,False
macd,CAD_CHF,short,limit,326,197,137,0.043323860311621123,-0.12116770552235907,60,0.18176139831627994,-0.05540884182194247,False,False
macd,EUR_CHF,short,limit,280,140,98,0.20977196569378762,0.04434727725182602,42,0.09373338351715856,-0.15730006682525977,False,False
macd,NZD_JPY,long,limit,134,112,78,0.1025641025641027,-0.11962070093187996,34,0.4117647058823529,0.10083959284048133,False,True
macd,NZD_USD,short,limit,238,200,140,0.2571428571428571,0.09648808181846044,60,0.2,-0.05001477922416603,False,False
sma,CAD_JPY,long,mid,257,136,95,0.11578947368421053,-0.08500932717171664,41,0.17073170731707318,-0.13462136652132453,False,False
sma,EUR_CAD,long,mid,400,159,111,0.10982150910292666,-0.06699797094592864,48,0.17971601914456312,-0.07069958325820011,False,False
sma,EUR_GBP,long,mid,269,107,74,0.0382442277110806,-0.18563539295262219,33,0.25511001709943276,-0.0022246331375047057,False,False
ema,CHF_JPY,long,mid,256,155,108,0.13908646641986555,-0.0398393268047435,47,0.17073815772964065,-0.11006875430480387,False,False
ema,EUR_CAD,long,mid,394,147,102,0.11136363808267012,-0.0767578425497537,45,0.2821325229899479,0.024616563207711106,False,True
ema,EUR_GBP,short,mid,344,129,90,0.10349992635951176,-0.09638377695039714,39,0.06906179150023499,-0.20315285025792146,False,False
ema,GBP_CAD,long,mid,283,120,84,0.18188550070035744,-0.027955545785116664,36,0.3740354175781502,0.08203903161318671,False,True
rsi,CHF_JPY,long,mid,565,214,149,0.11793779150619832,-0.03680937554860514,65,0.2241966181148536,-0.00851971170520302,False,False
rsi,EUR_GBP,long,mid,393,128,89,-0.055740706901192684,-0.2558727196730162,39,0.20486461365875994,-0.02991968022256966,False,False
rsi,USD_JPY,long,mid,1187,393,275,0.032388073751295536,-0.08278817690468934,118,0.08839924618152668,-0.08951476530666262,False,False
cci,CAD_CHF,short,mid,1114,369,258,-0.018039943165627625,-0.13764727872724375,111,0.17306454650012257,-0.0029069036108888835,False,False
cci,CHF_JPY,long,mid,816,261,182,0.055701839531144215,-0.08407896951181335,79,0.18478983005878927,-0.030371598650596215,False,False
cci,EUR_USD,short,mid,913,306,214,-0.013640250141468002,-0.1439907107945377,92,0.03800082836316972,-0.16104454985534228,False,False
cci,USD_CAD,long,mid,443,190,133,-0.0035397522279311247,-0.16612508881020313,57,0.12494027631518509,-0.11435362094928589,False,False
cci,USD_JPY,long,mid,596,289,202,0.1132966004942912,-0.02014832982183358,87,0.009335725650542479,-0.19908264746764542,False,False
atr,EUR_NOK,long,limit,510,292,204,0.1295454278755648,-0.0035699836685243735,88,0.2537387026342602,0.05669882417225408,False,True
atr,NZD_CHF,short,limit,1165,483,338,0.12041895753033993,0.01511042088742652,145,0.15931464911770649,-0.0010117560495659372,False,False
atr,USD_JPY,long,limit,1071,436,305,0.020165675186623055,-0.08975316174997436,131,0.08839352759967532,-0.08196074622400885,False,False
ichimoku,USD_SGD,short,limit,167,113,79,0.1736890257970756,-0.008478808877671884,34,0.17304450884336076,-0.11408482367181794,False,False
candle,USD_JPY,long,mid,416,264,184,0.10042240169962369,-0.0388093401530645,80,0.15655521017865667,-0.058216586079103544,False,False
