strategy,pair,direction,entry_mode,tr_n,te_n,tr_mean,te_mean,tr_iid_lo,te_iid_lo,tr_lag95,te_lag95,tr_lagmax,te_lagmax,se_infl_te,tr_nw_lo,te_nw_lo,tr_nwmax_lo,te_nwmax_lo,orig_pass,nw_pass,nwmax_pass,note
stoch,CAD_CHF,short,mid,1175,504,0.05624995687073948,0.10922273138704634,0.00024302509399300176,0.026678299245096487,8,9,13,13,1.9938163588106605,-0.04790737441701106,-0.05535570774630978,-0.051186545221283054,-0.059048293091325296,True,False,False,
stoch,CHF_JPY,long,mid,1234,529,0.06648067417126428,0.13150590555570346,0.013430753288993992,0.049233045478673396,10,9,16,13,1.867180113502239,-0.03700852532656114,-0.022112342661079365,-0.041200564030093964,-0.024808702959418727,True,False,False,
stoch,EUR_GBP,long,mid,1339,575,0.07944629915819147,0.08151518241465534,0.02875784325315546,0.015708616985283627,12,16,16,20,2.596284517518071,-0.027376605358029202,-0.08933738456066238,-0.030490467679129704,-0.09171813907164887,True,False,False,
stoch,USD_JPY,long,mid,1314,564,0.05651634811595724,0.11910020787178714,0.004777523720383793,0.03782974990123074,11,7,17,11,1.663439276552659,-0.04854514449247717,-0.016088263939858474,-0.053614422714781215,-0.021380521216958756,True,False,False,
bb,AUD_CAD,short,mid,154,66,0.15340767230828492,0.23073281620834205,0.0009229828262842799,0.013569801352968314,2,2,3,4,1.1260575801006283,-0.023769883387211227,-0.013805242787056887,-0.029245511046299938,0.038604866162840173,True,False,False,
bb,CAD_CHF,short,mid,741,318,0.07629101614816026,0.14414608533386858,0.005947557597008116,0.04013840519923072,6,6,9,8,1.533168184239887,-0.03580956986231225,-0.015315180765157116,-0.0387481283706053,-0.015914487229305857,True,False,False,
bb,CHF_JPY,long,mid,206,89,0.17587017316438985,0.23358057194427437,0.04728012758566133,0.033751453355992916,3,3,5,5,1.2920567995969563,0.010752176767950788,-0.024609999485181194,0.008086657555941151,-0.04823119284067265,True,False,False,
bb,EUR_CAD,long,mid,207,89,0.13308798097929794,0.2273813965200566,0.002789626788721855,0.04181868985381737,3,3,5,5,1.3490440176367768,-0.04671915168096635,-0.022950862804521494,-0.051675280785711736,-0.03262777573523365,True,False,False,
bb,USD_JPY,long,mid,238,103,0.12613389852969642,0.1988057438181071,0.002837991258249184,0.009354667668008854,4,2,7,3,1.125626278807529,-0.04688517345918636,-0.014445366044809838,-0.05838894161543337,-0.024299370894187905,True,False,False,
macd,AUD_JPY,long,limit,140,61,0.17641258277146782,0.3442622950819672,0.013323900912450948,0.10669451855122997,1,3,3,6,1.1860409185524439,-0.008100332116883019,0.062497191186989876,-0.02460845868690756,0.0197674142645749,True,False,False,
